thottacharya,தொட்டாச்சார்ய
kandirukkavumillai,கண்டிருக்கவுமில்லை
vilakaathiruththal,விலகாதிருத்தல்
thiramaiyattravarkalaaka,திறமையற்றவர்களாக
kanakkumae,கணக்குமே
saayippinu,சாயிப்பினு
thooraththilarunthu,தூரத்திலருந்து
chinnamondril,சின்னமொன்றில்
pattukkoattaiyaiyum,பட்டுக்கோட்டையையும்
marumaganmagal,மருமகன்மகள்
ennukirathaam,எண்ணுகிறதாம்
kaanthangalai,காந்தங்களை
nerukkadiyillaathu,நெருக்கடியில்லாது
jyotisar,ஜ்யோதிசர்
kulappaadagargalum,குலப்பாடகர்களும்
maariyiruppinum,மாறியிருப்பினும்
thekkumaasi,தெக்குமாசி
munnuruvam,முன்னுருவம்
oonath,ஊனத்
evarukkung,எவருக்குங்
meenththirukkum,மீந்திருக்கும்
anthasthukkum,அந்தஸ்துக்கும்
echcharikkumpadi,எச்சரிக்கும்படி
karainthazhigindranavaa,கரைந்தழிகின்றனவா
thalaimaiththuvaththin,தலைமைத்துவத்தின்
perunandri,பெருநன்றி
nirubikkavum,நிருபிக்கவும்
padiyalakkath,படியளக்கத்
thavarkalaip,தவர்களைப்
seerkedumpothu,சீர்கெடும்போது
varpuruththiyathum,வற்புறுத்தியதும்
munnaettrathirkaaka,முன்னேற்றதிற்காக
dwyer,ட்வயர்
pavyaavukkum,பவ்யாவுக்கும்
thuvalaith,துவாலைத்
lorna,லோர்னா
vilakkukalaiththaan,விளக்குகளைத்தான்
sinthippeerkalaaga,சிந்திப்பீர்களாக
tharanilaigalaip,தரநிலைகளைப்
ilaiyathalaimuraikku,இளையதலைமுறைக்கு
maruththothukka,மறுத்தொதுக்க
parveena,பர்வீனா
christiana,கிரிஸ்டியானா
vasamaanathaakumenavum,வசமானதாகுமெனவும்
manitharkalvaazhum,மனிதர்கள்வாழும்
maekaththirku,மேகத்திற்கு
muyarasikku,முயறசிக்கு
aasaippadugindrathu,ஆசைப்படுகின்றது
periotsinol,பீரியட்ஸினால்
manikozhikkum,மணிகொழிக்கும்
aththirumanatthukku,அத்திருமணத்துக்கு
aandagalukkum,ஆண்டகளுக்கும்
periyavarukku,பெரியவருக்கு
aarambiththanar,ஆரம்பித்தனர்
palkunanudan,பல்குனனுடன்
thodarpadaiyavar,தொடர்படையவர்
pirpaathikalil,பிற்பாதிகளில்
sirumbaanmaiyinarin,சிறும்பான்மையினரின்
vaazhk,வாழ்க்
ulakamaakayuththaththirku,உலகமாகயுத்தத்திற்கு
thiraikkathaiyaasiriyanaaka,திரைக்கதையாசிரியனாக
jishaavudan,ஜிஷாவுடன்
nacharavu,நச்சரவு
kudipugugiradhu,குடிபுகுகிறது
isaivattukal,இசைவட்டுகள்
akkiramatthinaal,அக்கிரமத்தினால்
kottanguchi,கொட்டங்குச்சி
puthinaik,புதினைக்
thayaasanthai,தயாசந்தை
virainththuvarap,விரைந்துவரப்
vazhipaattukkaerpa,வழிபாட்டுக்கேற்ப
achchamariyaathavan,அச்சமறியாதவன்
paadugiraayaam,பாடுகிறாயாம்
poathiththathaik,போதித்ததைக்
vettappattup,வெட்டப்பட்டுப்
vadakizhakkilullathu,வடகிழக்கிலுள்ளது
thootharkaludanaana,தூதர்களுடனான
soosaippillaigal,சூசைப்பிள்ளைகள்
pulidhalapathi,புலிதளபதி
thayaarppaduththalaam,தயார்ப்படுத்தலாம்
ganeshbairavar,கணேஷ்பைரவர்
aaththupparanththu,ஆத்துப்பறந்து
thalaimaipikku,தலைமைபிக்கு
melarani,மேலாரணி
thintrathu,தின்றது
kadaivaiththiruntha,கடைவைத்திருந்த
pudhiyakkatchi,புதியக்கட்சி
arivoottip,அறிவூட்டிப்
kedukkaamal,கெடுக்காமல்
isaiyulakukkuk,இசையுலகுக்குக்
vilakkaththukkaagak,விளக்கத்துக்காகக்
kichchippaalayaththaich,கிச்சிப்பாளையத்தைச்
panbirunthum,பண்பிருந்தும்
siroopaanmaiyina,சிறூபான்மையின
sammasam,சம்மசம்
raathaakirusnanukku,ராதாகிருஸ்ணனுக்கு
vallurgal,வல்லுர்கள்
perutthavaraiyil,பெருத்தவரையில்
yagachi,யாகாச்சி
ivviruvargalum,இவ்விருவர்களும்
maaruthaladaiyak,மாறுதலடையக்
kaiyaniththullanar,கையனித்துள்ளனர்
mithamaanathoru,மிதமானதொரு
muthalurumalai,முதலுறுமலை
latitute,லேட்டிட்யூட்
asaiththapin,அசைத்தபின்
theevaiththuvittu,தீவைத்துவிட்டு
thaelthalukkaana,தேல்தலுக்கான
vilangkikonda,விளங்கிகொண்ட
nirvaagingira,நிர்வாகிங்கிற
niruththamondru,நிறுத்தமொன்று
sencharigal,செஞ்சரிகள்
kuripidakthakkathu,குறிபிடக்தக்கது
baldoda,பல்டோடா
ezhuththukaloodaagavum,எழுத்துகளூடாகவும்
uththaraviduvathaagak,உத்தரவிடுவதாகக்
paasanangkalai,பாசனங்களை
nuzhainthumae,நுழைந்துமே
pinnaiyitta,பின்னையிட்ட
thaakkappadaathavaaru,தாக்கப்படாதவாறு
vaendivarumaam,வேண்டிவருமாம்
uuttiyaaka,ஊட்டியாக
thozhiyavum,தொழியவும்
ozhukuvaan,ஒழுகுவான்
sudhuvella,சுதுவெல்ல
aspiring,ஆஸ்பைரிங்
aaraaychchikkattu,ஆராய்ச்சிக்கட்டு
udhiravittu,உதிரவிட்டு
unavunnuvathaiyum,உணவுண்ணுவதையும்
pathiripatti,பாதிரிப்பட்டி
duveettugalukkum,டுவீட்டுகளுக்கும்
polaikkiraan,பொழைக்கிறான்
netrtraikkum,நேற்றைக்கும்
eerappathamulla,ஈரப்பதமுள்ள
virivaakkaththilthaan,விரிவாக்கத்தில்தான்
manithanukkaavathu,மனிதனுக்காவது
pirachchanaikkaakavae,பிரச்சனைக்காகவே
kanavuppennaaga,கனவுப்பெண்ணாக
oottappayirchi,ஓட்டப்பயிற்சி
thaaivaanudan,தாய்வானுடன்
ulavuththagavalin,உளவுத்தகவலின்
mayamaakkividuvaargal,மயமாக்கிவிடுவார்கள்
anubavikkamudiyum,அனுபவிக்கமுடியும்
aatchiyaayittrae,ஆட்சியாயிற்றே
thambiyaanathaal,தம்பியானதால்
mudikkaathavar,முடிக்காதவர்
thavamanikku,தவமணிக்கு
kaanappadavaendu,காணப்படவேண்டு
lempattin,லெம்பட்டின்
pidikkakkoodiyathaaga,பிடிக்கக்கூடியதாக
sachcharavugalukkidaiye,சச்சரவுகளுக்கிடையே
udalmenmaiyil,உடல்மென்மையில்
veettinum,வீட்டினும்
santhathiyudan,சந்ததியுடன்
akkaanigalukkaana,அக்காணிகளுக்கான
oongkiyathan,ஓங்கியதன்
thirumanjanaththinpoathu,திருமஞ்சனத்தின்போது
jaljeevan,ஜல்ஜீவன்
vaettaipattri,வேட்டைபற்றி
subramanyam,சுப்ரமண்யம்
eechchampaalaiyamaththil,ஈச்சம்பாளையமத்தில்
thvanip,த்வனிப்
pachchaiyaik,பச்சையைக்
porulukkaagavoa,பொருளுக்காகவோ
vanjamilaathaavathu,வஞ்சமிலாதாவது
munvaruvathoadu,முன்வருவதோடு
sinthuveliyilum,சிந்துவெளியிலும்
sattamiyattrappadum,சட்டமியற்றப்படும்
vachchithu,வச்சிது
kkavai,க்கவை
aalavanththaarukkuch,ஆளவந்தாருக்குச்
maempaduththuvathin,மேம்படுத்துவதின்
kaiyileye,கையிலேயே
illennum,இல்லென்னும்
sammanthiyammaalum,சம்மந்தியம்மாளும்
poorvagaaranaagamam,பூர்வகாரணாகமம்
uruvagikkappadugira,உருவகிக்கப்படுகிற
immuthumaiyai,இம்முதுமையை
naangkalthan,நாங்கள்தன்
salugaigalinaalum,சலுகைகளினாலும்
asurappidiyil,அசுரப்பிடியில்
vazhigettathu,வழிகெட்டது
arasiyalvaathiyaam,அரசியல்வாதியாம்
thayaaraakirathoa,தயாராகிறதோ
varisaigalaana,வரிசைகளான
ettappattirukka,எட்டப்பட்டிருக்க
pidiththavaraiyae,பிடித்தவரையே
thuniyellaam,துணியெல்லாம்
manitharkalukkum,மனிதர்களுக்கும்
mathamaattrai,மதமாற்றை
sanjeevathanusan,சஞ்சீவதனுசன்
thangkumadamaaga,தங்குமடமாக
kathaisonnaal,கதைசொன்னாள்
unnoadathaanae,உன்னோடதானே
muganthanneer,முகந்தந்நீர்
aarambikkiraanunga,ஆரம்பிக்கிறானுங்க
murivadainththathaaka,முறிவடைந்ததாக
maathiriyinaal,மாதிரியினால்
anio,ஆனியோ
alikkappattirunthana,அளிக்கப்பட்டிருந்தன
kooramudiyaatheninum,கூறமுடியாதெனினும்
naaigalukkaagavae,நாய்களுக்காகவே
sothukkuvippu,சொதுக்குவிப்பு
saappidugiroamthaanae,சாப்பிடுகிறோம்தானே
oormaamattum,ஓர்மாமட்டும்
thaervaanaiyangkalum,தேர்வாணையங்களும்
nerirum,நேரிரும்
nattuvaiththathaagavum,நட்டுவைத்ததாகவும்
inthappadaththinai,இந்தப்படத்தினை
oyarlens,ஒயர்லென்ஸ்
kiraamasaevagaridaththil,கிராமசேவகரிடத்தில்
naattilirunthaa,நாட்டிலிருந்தா
grapputh,கிராப்புத்
selvanaayagaththin,செல்வநாயகத்தின்
karsaraanathu,கர்சரானது
thevaiyiraathu,தேவையிராது
nilachari,நிலச்சரி
ajinkya,அஜிங்க்ய
oththukkolvathaagavum,ஒத்துக்கொள்வதாகவும்
nichchayamaanavudan,நிச்சயமானவுடன்
pudhupaalam,புதுபாலம்
rainos,ரெய்னோஸ்
jeeyarsamy,ஜீயர்சாமி
kadhaikkalamaagum,கதைக்களமாகும்
therivippaaraaga,தெரிவிப்பாராக
pattiyalidugiraar,பட்டியலிடுகிறார்
chandralekavaip,சந்திரலேகாவைப்
seithiyaalarlidam,செய்தியாளர்ளிடம்
maathangalaakivittathu,மாதங்களாகிவிட்டது
kaalamirukkum,காலமிருக்கும்
kuzhappamillaamalum,குழப்பமில்லாமலும்
paengkidam,பேங்கிடம்
valanththirukkaangka,வளந்திருக்காங்க
nallarangalaaga,நல்லறங்களாக
singangalukkuth,சிங்கங்களுக்குத்
paenalai,பேனலை
thuppaattaakkalai,துப்பாட்டாக்களை
vaiththathantri,வைத்ததன்றி
murkaalakattap,முற்காலகட்டப்
nambikkittirunthaa,நம்பிக்கிட்டிருந்தா
uruvaavathoadu,உருவாவதோடு
maathirippalligalil,மாதிரிப்பள்ளிகளில்
vetrtrivaela,வெற்றிவேல
vimarsanapoorvamaana,விமர்சனபூர்வமான
orero,ஒரேரோ
vethumbuvaen,வெதும்புவேன்
izhupadalaam,இழுபடலாம்
aathibagavanudan,ஆதிபகவனுடன்
kepaavaich,கேபாவைச்
enakkalikka,எனக்களிக்க
aart,ஆர்ட்
naathiyattravanaaki,நாதியற்றவனாகி
silmishaththil,சில்மிஷத்தில்
ubayoagappadugiraargal,உபயோகப்படுகிறார்கள்
pakadaikaayaaga,பகடைகாயாக
singapura,சிங்கபூரா
kavinmugil,கவின்முகில்
mathivaasanum,மதிவாசனும்
aevalargalaip,ஏவலர்களைப்
varalatchumiyudanthaan,வரலட்சுமியுடன்தான்
sorkkaththukkuth,சொர்க்கத்துக்குத்
nachimalai,நாச்சிமலை
penniyavaathigalaaka,பெண்ணியவாதிகளாக
pirammachcharyaththaik,பிரம்மச்சர்யத்தைக்
raadhaavaai,ராதாவாய்
puuniyaavai,பூனியாவை
seenakkalaikal,சீனக்கலைகள்
soluyusan,சொலுயூசன்
rangaethaamni,ரங்கேதாம்நி
mumbaiyoa,மும்பையோ
nadaipettrapoathu,நடைபெற்றபோது
payakkakkoodiyathu,பயக்கக்கூடியது
thiduvaayae,திடுவாயே
patharaththodangkiyathu,பதறத்தொடங்கியது
vetrtripettrathaith,வெற்றிபெற்றதைத்
paduththavarthaan,படுத்தவர்தான்
koonaaga,கூனாக
panineramum,பணிநேரமும்
palaathkaarangkalaip,பலாத்காரங்களைப்
puliyethirpaalarkalae,புலியெதிர்பாளர்களே
jaavaraiyum,ஜாவரையும்
mattumillaiyael,மட்டுமில்லையேல்
vaasuvumsaravananum,வாசுவும்சரவணனும்
paandsgalai,பாண்ட்ஸ்களை
asakaasam,அசகாசம்
ethiraanathenpathaal,எதிரானதென்பதால்
irachchikkadaikku,இறச்சிக்கடைக்கு
veliyaakkuvathae,வெளியாக்குவதே
thozhilaalarnalath,தொழிலாளர்நலத்
mutkaattil,முட்காட்டில்
dakshinagni,தக்ஷிணாக்னி
nadunilaivaatham,நடுநிலைவாதம்
kamelesh,கமேலேஷ்
kaarukkullai,காறுக்குள்ளை
avathaaranaalil,அவதாரநாளில்
thappiththullanar,தப்பித்துள்ளனர்
kasinathar,காசிநாதர்
seyattriranin,செயற்றிறனின்
asaiththuvittaargal,அசைத்துவிட்டார்கள்
oottalkalai,ஓட்டல்களை
adiveril,அடிவேரில்
vaikkappattullathanai,வைக்கப்பட்டுள்ளதனை
paariyapirachchinaiyaaka,பாரியபிரச்சினையாக
pearezhilaiththaan,பேரெழிலைத்தான்
masajkooda,மசாஜ்கூட
viruppaththukkaagap,விருப்பத்துக்காகப்
yuyuthsuvudan,யுயுத்ஸுவுடன்
thiranattravaiyum,திறனற்றவையும்
valluvanaar,வள்ளுவனார்
saernthavargalaiyum,சேர்ந்தவர்களையும்
jamaluddin,ஜமாலுதீனின்
rigaith,ரிகைத்
vathaeraavukkaana,வதேராவுக்கான
thadaasanaththai,தடாசனத்தை
vembaagaththil,வெம்பாகத்தில்
pechalo,பேச்சாலோ
valammigu,வளம்மிகு
yosephus,யோசிபஸ்
paathukaappatharkup,பாதுகாப்பதற்குப்
uvarnilaththaavarangkal,உவர்நிலத்தாவரங்கள்
thaervaanavargal,தேர்வானவர்கள்
moasamaagak,மோசமாகக்
maaninudaiya,மானினுடைய
sivappikal,சிவப்பிகள்
paatalaayirukkintrana,பாடலாயிருக்கின்றன
sonthangalidamthaan,சொந்தங்களிடம்தான்
oramkattiyullathu,ஓரம்கட்டியுள்ளது
puuthaeviyaana,பூதேவியான
kankalangacheythathu,கண்கலங்கச்செய்தது
mattravanellaam,மற்றவனெல்லாம்
sivaamigaththaan,சிவாமிகத்தான்
urpaththiyaavathaakak,உற்பத்தியாவதாகக்
kazhangalilthaan,களங்களில்தான்
pirathaesangkalilumkooda,பிரதேசங்களிலும்கூட
naduththara,நடுத்தர
koottaththila,கோட்டத்தில
migakkeezhae,மிகக்கீழே
vazhikaattakkoodiyavai,வழிகாட்டக்கூடியவை
pichchaiyalitthavan,பிச்சையளித்தவன்
urinchukkoodiyathu,உரிஞ்சுக்கூடியது
mariyathaikkuriya,மரியதைக்குரிய
panimooppai,பணிமூப்பை
uram,உரம்
kadarpuligalinaal,கடற்புலிகளினால்
kudikellaam,குடிக்கெல்லாம்
vittrirukkiraal,விற்றிருக்கிறாள்
pennilaivaathamum,பெண்ணிலைவாதமும்
poongkuzha,பூங்குழ
thirumanaththileye,திருமணத்திலேயே
jabangalil,ஜபங்களில்
miraandiyaay,மிராண்டியாய்
oththuzhaikkumvarai,ஒத்துழைக்கும்வரை
naemgalaaga,நேம்களாக
karuththuruvagam,கருத்துருவகம்
munkuvikka,முன்குவிக்க
kaingakaryangal,கைங்ககர்யங்கள்
ellukkaattil,எள்ளுக்காட்டில்
mugangkoduppavargal,முகங்கொடுப்பவர்கள்
kothapalli,கொத்தப்பள்ளி
sundakkaradu,சுண்டக்கரடு
vaaivaiththaan,வாய்வைத்தான்
saranadaivoarukku,சரணடைவோருக்கு
vaasippirkumaana,வாசிப்பிற்குமான
yoavaanaividap,யோவானைவிடப்
nadaisaari,நடைசாரி
chinalova,சினாலோவா
amaichukkalaam,அமைச்சுக்கலாம்
aasirvathippathu,ஆசிர்வதிப்பது
serving,சர்விங்
aerpaadamaal,ஏற்பாடமால்
koottamaippirkaaga,கூட்டமைப்பிற்காக
thirukkoneswarak,திருக்கோணேஸ்வரக்
vilakkoliyaalum,விளக்கொளியாலும்
thannalathalo,தன்னலத்தாலோ
kaalchakkaraththa,கால்சக்கறத்த
thagarththerivathum,தகர்த்தெறிவதும்
muththuvaeni,முத்துவேணி
ragbovaith,ராக்போவைத்
pattavaraana,பட்டவரான
vaekavaippathillai,வேகவைப்பதில்லை
serampore,செராம்பூர்
vaayana,வாயன
kuraichchukkitte,குறைச்சுக்கிட்டே
kumbakoanaththirkae,கும்பகோணத்திற்கே
thoaithu,தோய்து
jayasundara,ஜெயசுந்தரா
mannondru,மண்ணொன்று
veliyaepoaip,வெளியேபோய்ப்
vayalkaaniyil,வயல்காணியில்
kankalanginaan,கண்கலங்கினான்
paesukiravarkalaith,பேசுகிறவர்களைத்
visaarippaare,விசாரிப்பாரே
vaayeduththu,வாயெடுத்து
porulvaangkaatha,பொருள்வாங்காத
santhathiyaarin,சந்ததியாரின்
krishnapaktharkal,கிருஷ்ணபக்தர்கள்
pukaiyaathoa,புகையாதோ
pushpanjali,புஷ்பாஞ்சலி
mozhippeyarppuk,மொழிப்பெயர்ப்புக்
saerkkaikalaik,சேர்க்கைகளைக்
vikkettudan,விக்கெட்டுடன்
noothanach,நூதனச்
magneesiyaththai,மக்னீசியத்தை
sendrapiragu,சென்றபிறகு
salukutty,சாலுக்குட்டி
mugarvatharkaagavae,முகர்வதற்காகவே
memovukku,மெமோவுக்கு
samaalippavaraaith,சமாளிப்பவராய்த்
kankaaniththidungal,கண்காணித்திடுங்கள்
inhaelarukku,இன்ஹேலருக்கு
maadavatta,மாடவட்ட
samareshin,சமரேஷின்
vaethaniraivu,வேதநிறைவு
viralkanukkalil,விரல்கணுக்களில்
somakkizhavanum,சோமக்கிழவனும்
kooriyavudanae,கூறியவுடனே
theriyavara,தெரியவர
vidhdhuvaan,வித்துவான்
commandope,கமாண்டோப்
kaakkirathae,காக்கிறதே
magizhugindraen,மகிழுகின்றேன்
adlandis,அட்லாண்டிஸ்
ubanishathangkalukku,உபநிஷதங்களுக்கு
vaarikka,வாரிக்க
pazhivaangkappadumpoathu,பழிவாங்கப்படும்போது
seyaliyilum,செயலியிலும்
ethiraanavarkalaavar,எதிரானவர்களாவர்
vaeruvagaiyilaana,வேறுவகையிலான
graamchiyum,கிராம்சியும்
kaayatriya,காயத்ரிய
maranthalirth,மரந்தளிர்த்
kadithamaayitrae,கடிதமாயிற்றே
maerpaguthiyai,மேற்பகுதியை
thayirinai,தயிரினை
palanalippathaagavum,பலனளிப்பதாகவும்
thiranaalarkalaip,திறனாளர்களைப்
isaiyamaippaalargalai,இசையமைப்பாளர்களை
vetson,வெட்சன்
apputhiya,அப்புதிய
nigazhnththanavaam,நிகழ்ந்தனவாம்
payanapaduththukiraar,பயனபடுத்துகிறார்
vanjchavizhigal,வஞ்சவிழிகள்
ippizhaippu,இப்பிழைப்பு
kattigalaiyumae,கட்டிகளையுமே
asuncion,அசுன்சியோன்
kaathumadalaiyum,காதுமடலையும்
kayirugaludan,கயிறுகளுடன்
jilard,ஜிலார்ட்
ernstpall,எர்னஸ்ட்பால்
imayaththu,இமயத்து
maanthreegangkal,மாந்த்ரீகங்கள்
eppadippattavarunnu,எப்படிப்பட்டவருன்னு
kadikkavendaam,கடிக்கவேண்டாம்
olichchitharalaal,ஒளிச்சிதறலால்
kankalendru,கண்களென்று
thurkkiththanthaal,துர்க்கித்தந்தாள்
utpadukiravargalum,உட்படுகிறவர்களும்
aerpattiruppathaik,ஏற்பட்டிருப்பதைக்
maruvaasippirku,மறுவாசிப்பிற்கு
achuvadikkattai,அச்சுவடிக்கட்டை
siththaalapaakkaththil,சித்தாலபாக்கத்தில்
istikara,இஸ்திகாரா
idhazhondraith,இதழொன்றைத்
kudichittiya,குடிச்சிட்டியா
maathaanu,மாதானு
pirathiyupakaara,பிரதியுபகார
vazhangkappadavullanar,வழங்கப்படவுள்ளனர்
laton,லாட்டன்
sattikku,சட்டிக்கு
athanullaethaan,அதனுள்ளேதான்
unnaavirathamaanathu,உண்ணாவிரதமானது
karudhumpadi,கருதும்படி
thanimaippadukiraan,தனிமைப்படுகிறான்
orungkinaiya,ஒருங்கினைய
uruthiyenpathai,உறுதியென்பதை
anaiyoa,அணையோ
oliperukkimoolam,ஒலிபெருக்கிமூலம்
kalvinatham,கல்விநாதம்
poruthi,பொருதி
theojanas,தியோஜனஸ்
migaprabalamaana,மிகப்ரபலமான
ubavaasangkalil,உபவாசங்களில்
varuvathaar,வருவதார்
pottovidam,போட்டோவிடம்
porulukkuth,பொருளுக்குத்
erikkaavittaal,எரிக்காவிட்டால்
perunarum,பெருநரும்
oodam,ஊடம்
kuzhidhoandrip,குழிதோன்றிப்
poornimaathaan,பூர்ணிமாதான்
kappalkalaiyung,கப்பல்களையுங்
thavith,தவித்
meivisuvaasaththilum,மெய்விசுவாசத்திலும்
kaippaesiyinaiyae,கைப்பேசியினையே
pikaavai,பிகாவை
singhadeevu,சிங்கதீவு
visaalamaagiya,விசாலமாகிய
alavuppadithaan,அளவுப்படிதான்
sindhippatharkoa,சிந்திப்பதற்கோ
echcharaai,எச்சராய்
emittaavirku,எமிட்டாவிற்கு
kandarulinar,கண்டருளினர்
paerichchaim,பேரிச்சைம்
udhyoagaththilputhiya,உத்யோகத்தில்புதிய
veliyidappadath,வெளியிடப்படத்
urumalgal,உருமல்கள்
saaivezhuththilum,சாய்வெழுத்திலும்
theriyamudiyaatha,தெரியமுடியாத
aarippoanathu,ஆறிப்போனது
sendrupaarththu,சென்றுபார்த்து
samarpiththulloam,சமர்பித்துள்ளோம்
sevvanal,செவ்வனல்
pidichchikittaaru,பிடிச்சிகிட்டாரு
ikkiraamaththaich,இக்கிராமத்தைச்
nigaayakkalukkum,நிகாயக்களுக்கும்
pertrant,பெர்ட்ரண்ட்
angkeegaththu,அங்கீகத்து
permudos,பெர்முடாஸ்
neruppalaiperukku,நெருப்பலைப்பெருக்கு
ivvizhaigal,இவ்விழைகள்
visaeshamaanavargalaa,விசேஷமானவர்களா
ammaangalai,அம்மான்களை
koodangalukkuch,கூடங்களுக்குச்
iththaththuvasaarpaal,இத்தத்துவசார்பால்
yaampaadath,யாம்பாடத்
swarojkar,ஸ்வரோஜ்கர்
nambukiraanae,நம்புகிறானே
puththanaanathu,புத்தனானது
kaniththuviduveergal,கணித்துவிடுவீர்கள்
ottraippadi,ஒற்றைப்படி
odhukkavirunthaar,ஒதுக்கவிருந்தார்
kaaviyanganniyaiyum,காவியங்கண்ணியையும்
uruthipaduththappattath,உறுதிபடுத்தப்பட்டத்
bhadrati,பத்ராதி
serugikkolla,செருகிக்கொள்ள
intection,இன்டக்ஷன்
lambaith,லாம்பைத்
vaachikkapaduvathu,வாசிக்கபடுவது
aarppaattathai,ஆர்ப்பாட்டதை
ezhunththupoanaalum,எழுந்துபோனாலும்
kavaapaththaavin,கவாபத்தாவின்
aathikkaththukkuk,ஆதிக்கத்துக்குக்
aeippaalargalai,ஏய்ப்பாளர்களை
vilambaraththai,விளம்பரத்தை
arangkaettrappadak,அரங்கேற்றப்படக்
eruvaagirathu,எருவாகிறது
myspeedu,மைஸ்பீடு
erukkinaal,எருக்கினால்
thuraiyaivittu,துறையைவிட்டு
thirumbiyathaaga,திரும்பியதாக
oomaththangkaai,ஊமத்தங்காய்
porulkollamudiyum,பொருள்கொள்ளமுடியும்
nadaththumpadi,நடத்தும்படி
kingaik,கிங்கைக்
paanukoadanum,பானுகோடனும்
maranaveede,மரணவீடே
indepentent,இண்டிபெண்டென்ட்
kalikkiraar,களிக்கிறார்
ivvamaichchin,இவ்வமைச்சின்
vivagararam,விவகரரம்
thirattappaduvathaagavum,திரட்டப்படுவதாகவும்
niraivettruvathaiye,நிறைவேற்றுவதையே
asaivillaamal,அசைவில்லாமல்
allaahvirkup,அல்லாஹ்விற்குப்
theermaanaththinmeethaana,தீர்மானத்தின்மீதான
idhuguriththup,இதுகுறித்துப்
ippadippaith,இப்படிப்பைத்
muthalidaththirkaana,முதலிடத்திற்கான
kudiyaayirunthu,குடியாயிருந்து
entrainththum,என்றைந்தும்
inaiyapoavathillai,இணையபோவதில்லை
poattinilai,போட்டிநிலை
mahajanak,மஹாஜனக்
keerimalaiyilirunthu,கீரிமலையிலிருந்து
thudiththiruppaai,துடித்திருப்பாய்
marainthulla,மறைந்துள்ள
pettrirukkavaendiya,பெற்றிருக்கவேண்டிய
naraitthirukka,நரைத்திருக்க
valiyuruththiyathaalum,வலியுறுத்தியதாலும்
immeen,இம்மீன்
saathanangalaagavoa,சாதனங்களாகவோ
paeraaththu,பேராத்து
veeradipatti,வீரடிப்பட்டி
irumaiyilirunththu,இருமையிலிருந்து
piranavaththilirunthu,பிரணவத்திலிருந்து
urimaiyaanavanae,உரிமையானவனே
sarommaavukku,சரோம்மாவுக்கு
seenaip,சீனைப்
iththaakkudhalil,இத்தாக்குதலில்
serththathillai,சேர்த்ததில்லை
irupathukiraamaik,இருபதுகிராமைக்
ippadangkalukkum,இப்படங்களுக்கும்
ulveethivalaththinaith,உள்வீதிவலத்தினைத்
kidaichchudumunga,கிடைச்சுடுமுங்க
sugaathaaraththuraiyaana,சுகாதாரத்துறையான
maraththandil,மரத்தண்டில்
petrtraagavum,பெற்றாகவும்
podugaiyum,பொடுகையும்
adikkireegalae,அடிக்கிறீகளே
prispaenukku,பிரிஸ்பேனுக்கு
birender,பைரேண்டர்
vivarikkapadukirathu,விவரிக்கபடுகிறது
hilvarsam,ஹில்வர்சம்
selkai,செல்கை
nadaimuraippaduththalin,நடைமுறைப்படுத்தலின்
varuvaarnae,வருவார்னே
veezhchchivarai,வீழ்ச்சிவரை
athiramapattinam,அதிராமபட்டினம்
kaanappadumaayin,காணப்படுமாயின்
kiranangalin,கிரணங்களின்
idaiyanbu,இடையன்பு
anthoaniyaarum,அந்தோனியாரும்
viruththaachalam,விருத்தாசலம்
hindhippaadalgalaik,ஹிந்திப்பாடல்களைக்
ozhukkamillaamal,ஒழுக்கமில்லாமல்
adippathuthaanae,அடிப்பதுதானே
climatil,கிளைமேட்டில்
adaiyaalamattravargalaai,அடையாளமற்றவர்களாய்
ellaamaedaigalilum,எல்லாமேடைகளிலும்
vivaasaayigalukku,விவாசாயிகளுக்கு
azhainthathil,அழைந்ததில்
adichanganna,அடிச்சாங்கன்னா
manbadimamvarai,மண்படிமம்வரை
thayaarikkalaakaathu,தயாரிக்கலாகாது
anthappanippen,அந்தப்பணிப்பெண்
pasiththathu,பசித்தது
konrad,கொன்ராட்
pathralekha,பத்ரலேகா
mudivuseithiruppathu,முடிவுசெய்திருப்பது
kalamirangiyathanmoolam,களமிறங்கியதன்மூலம்
mandalaththukkai,மண்டலத்துக்கை
rajeyin,ராஜேயின்
ottukkul,ஒட்டுக்குள்
perungalampoal,பெருங்கலம்போல்
idamperathu,இடம்பெறது
panimanaigalukkuk,பணிமனைகளுக்குக்
valaiyalaiyae,வளையலையே
manitharaippattriyum,மனிதரைப்பற்றியும்
paththiyulaaththuthal,பத்தியுலாத்துதல்
interlaghenil,இண்டர்லாகெனில்
arambikkiraan,அரம்பிக்கிறான்
muthaliravirkaana,முதலிரவிற்கான
thaamathappaduththuvaan,தாமதப்படுத்துவான்
azhagutheivamum,அழகுதெய்வமும்
etharththu,எதர்த்து
azhuthukondirunththana,அழுதுகொண்டிருந்தன
kudiyaeriyadhaagavum,குடியேறியதாகவும்
kadhariyiruppaal,கதறியிருப்பாள்
karudhathakkadhu,கருதத்தக்கது
anthasa,அந்தச
bhunas,பூனாஸ்
kuttrangaloa,குற்றங்களோ
thazhalaattamidukirathu,தழலாட்டமிடுகிறது
chendilkar,செந்தில்கர்
aayathapadaiyillaatha,ஆயதபடையில்லாத
iscar,இஸ்கார்
dwendieth,ட்வெண்டியத்
sernthavarenpathaagum,சேர்ந்தவரென்பதாகும்
sekariththavarkal,சேகரித்தவர்கள்
