shindhanchem,शिंधांचें
aashiyaabhitarlo,आशियाभितरलो
aadivar,आदिवर
vishnuchich,विष्णुचीच
acchonko,अच्छोंको
jambalsar,जांबळसार
lolanyaachi,लोळण्याची
hyaavaroonach,ह्यावरूनच
xello,शेळो
gharatalyank,घरातल्यांक
kholikarnasah,खोलीकरणासह
prarthanechi,प्रार्थनेची
sooras,सूरस
jivancharya,जीवनचर्या
theron,थेरॉन
khokalyanantar,खोकल्यानंतर
kalkalvati,कलकलवती
binadhaastagireelaa,बिनधास्तगिरीला
yogabhyasach,योगाभ्यासच
kothadipaashi,कोठडीपाशी
uthavalyaavarach,उठवल्यावरच
jehvaa,जेह्वा
sukvaicho,सुकवायचो
maadhyamach,माध्यमच
kaantaara,कांतारा
profesaraanchehee,प्रोफेसरांचेही
thambavit,थांबावीत
jambhulpada,जांभूळपाडा
taavaachi,तावाची
vihirishi,विहिरीशी
freekvar,फ्रीकवर
vastuvarun,वस्तूवरून
kasnara,कसणारा
tayaravalyakade,टायरवाल्याकडे
miksarghetlai,मिक्सरघेतलाय
minitaamadhye,मिनिटामध्ये
arrangementcha,अरेंजमेंटचा
calsiumala,कॅल्शियमला
vyavasayikapana,व्यावसायिकपणा
shyo,श्यो
lokkannio,लोककाण्यो
roodon,रुदन
daakhavalyaabarobar,दाखवल्याबरोबर
dekhabhaalibaddal,देखभालीबद्दल
vyangaavarun,व्यंगावरुन
jaisalmir,जैसलमीर
mandiraanshi,मंदिरांशी
dvaaraanvar,द्वारांवर
vismrutitsuddha,विस्मृतीतसुद्धा
rashtrapurushana,राष्ट्रपुरुषांना
daivatashastraantalyo,दैवतशास्त्रांतल्यो
saakshaatkaaraatun,साक्षात्कारातून
asthirahit,अस्थिरहित
pushpashayyaa,पुष्पशय्या
vidrohach,विद्रोहच
golipasun,गोळीपासून
gayakavadakanchi,गायकवादकांची
koravit,कोरावीत
shvitra,श्वित्र
daginyaansaathee,दगिन्यांसाठी
sharirakanti,शरीरकांती
bactriyecho,बॅक्ट्रियेचो
sanatkumaar,सनत्कुमार
romaniyamadhye,रोमानियामध्ये
sandarbhachaukatahee,संदर्भचौकटही
aurangajebaaviruddh,औरंगजेबाविरुद्ध
vahimadhye,वहिमध्ये
driveraacher,ड्रायवराचेर
dakhvilehi,दाखविलेही
shabdaprayogaak,शब्दप्रयोगाक
flinteesaarako,फ्लिंटीसारको
dukaanaamule,दुकानामुळे
ullekhilyaanusaar,उल्लेखिल्यानुसार
jamatintlya,जमातींतल्या
rangvan,रंगवण
gugamal,गुगामल
dambhiktela,दांभिकतेला
naukaanayan,नौकानयन
motuchya,मोटूच्या
formwar,फॉर्मवर
thodayaabahut,थोडयाबहुत
varsaanch,वर्सांच
krenchya,क्रेनच्या
varnaachim,वर्णाचीं
tyachyapekshahi,त्याच्यापेक्षाही
trasatunhi,त्रासातूनही
kaaryakshamateche,कार्यक्षमतेचे
vinodaakaritaa,विनोदाकरिता
hindimadhech,हिंदीमधेच
bhadbhada,भडभडा
gangulisarkhi,गांगुलीसारखी
amrutamadhil,अमृतामधील
shrotagan,श्रोतगण
asatyancha,असत्यांचा
brahmotsavaane,ब्रह्मोत्सवाने
spilmonla,स्पिलमनला
uchalle,उचल्ले
diptiman,दीप्तीमान
laghuuddegaanchi,लघुउद्देगांची
visarvaadiparyant,विसरवाडीपर्यंत
goyas,गोयस
ghaalvilyaas,घालविल्यास
upegakartyaanchi,उपेगकर्त्यांची
pratapanchya,प्रतापांच्या
lodashedingamadhyech,लोडशेडिंगमध्येच
zaalyaakaarane,झाल्याकारणे
sargaani,सर्गांनी
priyakaraabarobar,प्रियकराबरोबर
baalagatos,बाळगतोस
girisaahebaanchyaa,गिरीसाहेबांच्या
aanibaanishi,आणीबाणीशी
kelleaachi,केळ्याची
ekadryak,एकाद्र्याक
bedikkatapane,बेदिक्कतपणे
fayaajbhaai,फयाजभाई
mahotsawa,महोत्सवा
shakentlyan,शाकेंतल्यान
talkudar,तालकुदार
andhvishvasavar,अंधविश्वासावर
sarakarababatahi,सरकारबाबतही
daangree,दांगरी
mudhyankhali,मुद्यांखाली
baalrakshak,बालरक्षक
arangzebaat,अरंगजेबात
kavitancho,कवितांचो
ichaaraayachi,इचारायची
vyanjanamadhe,व्यंजनांमधे
lokasaahityaatadekhil,लोकसाहित्यातदेखील
kashtamaraanshi,कष्टमरांशी
posnara,पोसणारा
gauravun,गौरवून
tevhasarkhi,तेव्हासारखी
hindeebhaashaavaale,हिंदीभाषावाले
himayugaamadhye,हिमयुगामध्ये
pasarakhor,पसाराखोर
vishvasacha,विश्वासाचा
paadagaanvakaraanchi,पाडगांवकरांची
enjalchaahi,एंजलचाही
horna,हरणां
stensuddhaa,स्टेनसुद्धा
bhatebuva,भाटेबुवा
tarrans,टॅरन्स
taankyaancho,टांक्यांचो
ozyaa,ओझ्या
towerberobercha,टॉवरबरोबरचा
koleevaadyaamadhun,कोळीवाड्यामधुन
magnon,मॅग्नन
jinkalyavarapan,जिंकल्यावरपण
spelman,स्पेलमन
praghatapramane,प्रघाताप्रमाणे
vikramkade,विक्रमकडे
karyakramalach,कार्यक्रमालाच
baalaabaabat,बाळाबाबत
aashraytar,आश्रयतर
vikatagadaache,विकटगडाचे
mottean,मोट्यान
sampaadakamahoday,संपादकमहोदय
jahiratmadhil,जाहीरातमधील
barfaakhaalun,बर्फाखालून
ganapatibappacha,गणपतीबाप्पाचा
tabletennis,टेबलटेनिस
mrutadehaanvareel,मृतदेहांवरील
papudryani,पापुद्र्यांनी
purnakrutichyo,पूर्णाकृतीच्यो
vyaktinsathi,व्यक्तींसाठी
frostachyaach,फ्रॉस्टच्याच
talukyatlya,तालुक्यांतल्या
buddhisamarthya,बुद्धिसामर्थ्य
paasasat,पाससत
dhutyaa,धुत्या
gairavyavahaaraatil,गैरव्यवहारातील
scotlandshi,स्कॉटलंडशी
ghaataanvaril,घाटांवरील
sanvandhach,संवंधच
hangamasarkhya,हंगामासारख्या
bildingabaddal,बिल्डींगबद्दल
mudrevarun,मुद्रेवरुन
aparnaasatra,अपर्णासत्र
karavayachem,करावयाचें
loklekha,लोकलेखा
jaagaamule,जागांमुळे
ramaayanaacho,रामायणाचो
chittavrutticha,चित्तवृत्तीचा
weelfred,विल्फ्रेड
suchanemaage,सुचनेमागे
courtmarshalche,कोर्टमार्शलचे
patyaanmadhun,पट्यांमधून
mejpaachim,मेजपाचीं
pedling,पेडलींग
rajyabhishekache,राज्यभिषेकाचे
asmitavale,अस्मितावाले
mhananyaaadhee,म्हणण्याआधी
kshetraakade,क्षेत्राकडे
tupyaanehi,तुप्यानेही
sainyaas,सैन्यास
khatrinchya,खत्रींच्या
disanyala,दिसण्याला
emaat,एमात
aakalanaachi,आकलनाची
chintunach,चिंतूनच
dakvaaychi,डकवायची
nokarimadhye,नोकरीमध्ये
dhandyavarchya,धंद्यावरच्या
punyanagarichyaa,पुण्यनगरीच्या
bhatantlyan,भाटांतल्यान
sarchand,सरचंद
pilagyaanmadim,पिळग्यांमदीं
daavaachech,डावाचेच
ekankintlya,एकांकींतल्या
dedeepyamaan,देदीप्यमान
jahagirdaranchi,जहागिरदारांची
aagoti,आगोटी
mrutyuvishayee,मृत्युविषयी
vyaktimatvaak,व्यक्तिमत्वाक
ratnapeti,रत्नपेटी
amerikesarkhya,अमेरीकेसारख्या
readiovelyaan,रेडिओवेल्यान
khunshichi,खुनशीची
yovajanek,योवजणेक
kaushalyaaivajee,कौशल्याऐवजी
karyavallinchya,कार्यावळींच्या
umyaacho,उम्याचो
cardif,कार्डिफ
katrutva,कतृत्व
vaastavyaamulam,वास्तव्यामुळं
subbume,सुब्बुमे
gabbarache,गब्बरचे
ibaadtalo,इबाडटलो
banduki,बंदुकी
samundreeya,समुंदरीया
yaahukade,याहूकडे
sandhisaadhupanaa,संधिसाधूपणा
muthukrushnan,मुथुकृष्णन
chokhobachya,चोखोबाच्या
utarloch,उतरलोच
patavalyaavar,पटवल्यावर
architecturela,आर्कीटेक्चरला
congrechyaa,काँग्रेच्या
pritila,प्रितीला
nakaarach,नकारच
naaslolo,नासलोलो
nachyale,नाच्याले
nipchit,निपचीत
thamila,थमिला
ragaade,रगाडे
moscomadhil,मॉस्कोमधील
garzulahi,गरजूलाही
milayanaparyant,मिलयनपर्यंत
akbarakadun,अकबराकडून
fulsingaak,फुलसिंगाक
angathyachya,अंगठ्याच्या
gajalinkhatir,गजालींखातीर
accountchaa,अकाउंटचा
nhyaay,न्ह्याय
modyhenaant,मोड्य्हेनांत
vyaktinirpeksh,व्यक्तिनिरपेक्ष
labhota,लाभता
tyachyavarchya,त्याच्यावरच्या
chakraanpramaanech,चक्रांप्रमाणेच
fansischo,फांसिस्को
sukshmajivancha,सूक्ष्मजीवांचा
samprerakaachi,संप्रेरकाची
kursundila,कुरसुंदीला
nivadnukichaach,निवडणुकीचाच
kolejintlean,कॉलेजिंतल्यान
jagannathsabhecha,जगन्नाथसभेचा
anyaayaavirodhaan,अन्यायाविरोधान
naagarikaanvaril,नागरिकांवरील
duniyaach,दुनियाच
rashiyaabaaheril,रशियाबाहेरील
chalanukay,चलणूकय
prushthabhagavaracha,पृष्ठभागावरचा
niyantranaamule,नियंत्रणामुळे
vilapaavar,विलपावर
bharapaakhaatir,भरपाखातीर
punarnirmanachya,पुनर्निर्माणाच्या
shakalenaat,शकलेनात
navalaane,नवलाने
chimukalya,चिमुकल्या
tishiparyantachyaa,तिशीपर्यंतच्या
samitinedekhil,समितीनेदेखील
aghadich,आघाडीच
firavalet,फिरवलेत
janmaal,जन्माल
haranyamage,हरण्यामागे
veshyavyavasayachi,वेश्याव्यवसायाची
putaputaayachi,पुटपुटायची
mhayanaalyaanni,म्हयनाळ्यांनी
kalpatarooch,कल्पतरूच
jadatvaapaasoon,जडत्वापासून
sarpapramane,सर्पाप्रमाणे
nirpradh,निरप्रध
fredman,फ्रेडमन
tyakarita,त्याकरीता
sthaapanepaasunache,स्थापनेपासूनचे
shukaa,शुका
laayillyaa,लायिल्ल्या
gundamam,गुंडमां
kadeni,कडेनी
chetashri,चेतश्री
aavantar,आवंतर
matadaranche,मतदारांचे
bev,बेव
dabyaach,डब्याच
nishkarshaache,निष्कर्षाचे
paryayachya,पर्यायाच्या
patryaavaroon,पत्र्यावरून
mandaleenchyaa,मंडळींच्या
merigo,मेरिगो
dhamalyachi,धमाल्याची
engineersaaheb,इंजिनियरसाहेब
sangtela,सांगतेला
musibatonka,मुसीबतोंका
jeevatyaanchi,जीवत्यांची
victimales,विक्टिमलेस
recessive,रिसेसिव्ह
sambalapachim,सांबाळपाचीं
tapmanabarobar,तापमानाबरोबर
bhrunhatyeche,भ्रुणहत्येचे
parlament,पार्लमेंट
nasbandisathi,नसबंदीसाठी
tabiyatdaar,तबियतदार
matretil,मात्रेतील
lutitun,लुटीतून
lekhana,लेखना
dhuratun,धुरातून
rukhakhala,रूखाखाला
rihalaa,रिहला
fitmudrit,फितमुद्रीत
upamyaache,उपम्याचे
bailgada,बैलगाडा
aaslich,आसलीच
lingaanyaapramaanech,लिंगाण्याप्रमाणेच
khobragadencha,खोब्रागडेंचा
betachya,बेटाच्या
daatit,दाटीत
karyavalim,कार्यावळीं
lobhaan,लोभान
distilaris,डिस्टीलरीस
vyakhyananchya,व्याख्यानांच्या
sanatanihi,सनातनीही
arabastaan,अरबस्तान
maghari,माघारी
parivaaraantil,परिवारांतील
samajanyaajoge,समजण्याजोगे
suncity,सनसिटी
hajaarchi,हजारची
sarjora,सारजोरा
striyaahi,स्त्रियाहि
upaharagruhamadhye,उपहारगृहामध्ये
vishambhooz,विशमभूज
raajen,राजेन
shikovapaakhaatir,शिकोवपाखातीर
beltus,बेल्टस
vishramahi,विश्रामही
anubhavakathanaachyaa,अनुभवकथनाच्या
tipnari,टिपणारी
kabeelyaat,कबील्यात
sukhakaari,सुखकारी
shikshikecha,शिक्षिकेचा
manastaapaatun,मनस्तापातून
presidentchyaa,प्रेसिडेन्टच्या
zipachyaa,झिपच्या
frugal,फ्रुगल
yatali,याताली
ghetr,घेत्र
vibhaavasu,विभावसु
mitraakadech,मित्राकडेच
handpumpaache,हॅन्डपंपचें
lannister,लॅनिस्टर
asanyachi,आसण्याची
antarnaadaatun,अंतर्नादातून
subap,सुबप
metupalaayam,मेटुपलायम
suhrudanmadhye,सुहृदांमध्ये
rajkaranabarobarach,राजकारणाबरोबरच
milanyaasaatheech,मिळण्यासाठीच
dhuye,धुये
aabachya,आबाच्या
combinationchi,कॉम्बिनेशनची
nadisi,नदीसी
maharajamadhehi,महाराजांमधेही
evaperation,इव्हॅपरेशन
pavtich,पावतीच
jiyelem,जियेलें
roganvarhi,रोगांवरही
pratisaadaamulam,प्रतिसादामुळं
kaatyaantahi,काट्यांतही
sambandaanvishim,संबंदांविशीं
yuddhanaukaanchi,युद्धनौकांची
nangarasahi,नांगरासही
aabhaasipanaahi,आभासीपणाही
gandhaavaroon,गंधावरून
bhaaushyaa,भाऊश्या
abhinetyaakaden,अभिनेत्याकडेन
beetalsanee,बीटल्सनी
amrutanubhav,अमृतानुभव
bhangarapadak,भांगरापदक
utsukateni,उत्सुकतेनी
sthani,स्थानी
kirayatyachya,किरायत्याच्या
endevharamadhye,एंडेव्हरमध्ये
dantveesh,दंतविष
satuhi,सतूही
dharnadware,धरणाद्वारे
ganim,गाणीं
colestrolche,कोलेस्ट्रॉलचे
vastukleshi,वास्तुकलेशी
prakaravelyan,प्रकारांवेल्यान
dogaainche,दोगांयचें
haney,हांणेय
shikailelim,शिकयलेलीं
aayushyabharach,आयुष्यभरच
gograas,गोग्रास
febuch,फेबुच
raayegadaahun,रायेगडाहून
shidh,शिध्द
papamasyam,पापमस्यां
mainetens,मैनेटेन्स
balgandharw,बालगंधर्व
kruteevaale,कृतीवाले
holivudapataachyaa,हॉलिवूडपटाच्या
harovpak,हारोवपाक
satvikte,सात्विकते
aanyaale,आण्याले
mahitsuddha,माहितसुद्धा
bevharaleekrest,बेव्हरलीक्रेस्ट
vhietanaamachyaa,व्हियेतनामच्या
favarayche,फवारायचे
vishnumurtinchi,विष्णूमूर्तींची
akkaakade,अक्काकडे
aakdevarishivaay,आकडेवारीशिवाय
dhunarya,धुणाऱ्या
samajavilyabaddal,समजाविल्याबद्दल
vivechanaant,विवेचनांत
harlele,हरलेले
batterywali,बॅटरीवाली
makhachitra,मखचित्र
aagrahaanantar,आग्रहानंतर
rationingchya,रेशनिंगच्या
vasahatavadavangda,वसाहतवादावांगडा
urdhvaretanaadvaare,उर्ध्वरेतनाद्वारे
nilparvatache,नीलपर्वताचे
ambamatechya,अंबामातेच्या
shinnemahi,शिणेमाही
politishans,पोलिटिशन्स
tejaasahit,तेजासहित
nhestaa,न्हेसता
dialogchehi,डायलॉगचेही
upatanyaachee,उपटण्याची
haatuntalyaanuch,हातुंतल्यानूच
aavzaachea,आवजाच्या
tokeejasamoreel,टॉकीजसमोरील
baandalem,बांदलें
kavitentalen,कवितेंतलें
yoddhyaanshee,योद्ध्यांशी
mulyavardhan,मुल्यवर्धन
sambandhitaachaa,संबंधिताचा
bonga,बोंगा
kilavarcha,किलावरचा
pepperstower,पेपरस्टॉवर
atmaram,आत्माराम
adkavat,अडकवत
sonaavanechyaa,सोनावणेच्या
kaalzaavaylo,काळजावयलो
vyakitmatva,व्यकित्मत्व
septembermadhyech,सप्टेंबरमध्येच
bhokaa,भोका
bharakatavanare,भरकटवणारे
milunga,मिलुंगा
davikadil,डावीकडील
aambekarach,आंबेकरच
maheshwarchi,महेश्वरची
fuldanit,फुलदानीत
janevarila,जानेवारीला
misters,मिस्टरांची
rojgaaraak,रोजगाराक
mhatvaakaanshi,म्हत्वाकांशी
rekhatanashi,रेखाटनाशी
radubaipatanchi,रडूबाईपटांची
shabdyojanetla,शब्दयोजनेतला
pustakancha,पुस्तकांचा
samudraapramaane,समुद्राप्रमाणे
trekking,ट्रॅकिंगाक
raaplaai,रापलाय
sinhaprastaraachyaa,सिंहप्रस्तराच्या
tredsamadhye,ट्रेड्समध्ये
chalichya,चालीच्या
strategist,स्ट्रॅटेजिस्ट
khushabuchyaa,खुशबूच्या
sagalyaavarshi,सगळ्यावर्षी
pujarijincha,पुजारीजींचा
chavlani,चावलांनी
muvisarkhya,मुविसारख्या
pornno,पोरनो
unchaaiecher,उंचायेचेर
nilanbari,निलांबरी
hallekhoraanchi,हल्लेखोरांची
dashakaanpurviparyant,दशकांपूर्वीपर्यंत
vikaachaa,विकाचा
shokaantikaahi,शोकांतिकाही
dadank,दादांक
jodanyacham,जोडण्याचं
paalvaniche,पालवणीचे
jalsundaryaa,जलसुंदर्या
benola,बेनॉला
anubhavapan,अनुभवपण
karsalla,करसल्ला
nitambanchya,नितंबांच्या
vyakhanani,व्याखानांनी
kaushalyas,कौशल्यास
shuddhikarnasathi,शुद्धीकरणासाठी
dharmagranthatala,धर्मग्रंथातला
aatopep,आटोपेप
saanganyaavarunach,सांगण्यावरूनच
sahapravashyacham,सहप्रवाश्याचं
khidkivalila,खिडकीवालीला
romnana,रोमनाना
prasadbhau,प्रसादभाऊ
kandomadhaarak,कंडोमधारक
aalvar,आल्वर
samanjasahi,समंजसही
kaadyachyaapetyaachi,काड्यच्यापेट्याची
veshyavyavasayavar,वेश्याव्यवसायावर
caspian,कॅस्पियन
skodaatun,स्कोडातून
patanajaleenchyaa,पतञजलींच्या
tumhihun,तुम्हीहून
maargaansaathee,मार्गांसाठी
paratavyantala,परताव्यांतला
shaasanavyavasthet,शासनव्यवस्थेत
aayarving,आयर्विंग
vaidoobuvak,वैदूबुवाक
shalyakriyaamadhye,शल्यक्रियामध्ये
ramdevraichea,रामदेवरायच्या
monophonic,मोनोफोनीक
gothyataat,गोठ्यतात
absens,अॅब्सेन्स
vaaparo,वापरो
vinars,विनर्स
samajvadich,समाजवादीच
shilaalekhaavarun,शिलालेखावरुन
vittadhikari,वित्ताधिकारी
kashtaanbaddal,कष्टांबद्दल
audumbaraachim,औदुंबराचीं
prakshikshan,प्रक्षिक्षण
gunjel,गुंजेल
mhaapashentalee,म्हापशेंतली
pashchimabhintilaa,पश्चिमभिंतीला
paapanyaant,पापण्यांत
petavilelyaa,पेटविलेल्या
charchank,चर्चांक
krimaachyaa,क्रीमाच्या
devdangar,देवडांगर
terminologyt,टर्मिनॉलॉजीत
navikanchyach,नाविकांच्याच
daamalenvaroon,दामलेंवरून
virena,विरेना
pahapa,पहापा
malikeshi,मालिकेशी
tungbhadrela,तुंगभद्रेला
daryaasaarangaanvar,दर्यासारंगांवर
mrutyuleki,मृत्युलेकी
kavyadarshacher,काव्यादर्शाचेर
vachanakade,वाचनाकडे
maidanaparyantach,मैदानापर्यंतच
khandavyache,खांडव्याचे
thappadkhau,थप्पडखाऊ
marvyachya,मारव्याच्या
raashtravaadijaval,राष्ट्रवादीजवळ
shaharanpurta,शहरांपुरता
yuddhabhumitun,युद्धभूमीतून
methadachyaa,मेथडच्या
faatyaa,फाट्या
reformamadhil,रिफॉर्ममधील
tambakhusarkha,तंबाखूसारखा
sabamishansamadhye,सबमिशन्समध्ये
diditanee,दिदीतांणी
mansasarkho,माणसासारखो
kirtanavellar,कीर्तनावेळार
savyaabhonvatanim,सव्याभोंवतणीं
nishpadit,निष्पादीत
vrudanvanatil,वृदांवनातील
shlokaamadhun,श्लोकामधून
ghaalunach,घालुनच
kerli,केरली
chidipaayi,चिडीपायी
parame,परमे
vednaharan,वेदनाहरण
ganshatru,गणशत्रु
barobaray,बरोबरय
agnimitranak,अग्निमित्रणक
shivsamichya,शिवसामीच्या
anasuyak,अनसूयक
dambisakakanchya,डांबिसकाकांच्या
durgapujechi,दुर्गापूजेची
sundaratenusar,सुंदरतेनुसार
depositus,डिपॉझिटस
aparihaaryach,अपरिहार्यच
sansaratli,संसारातली
pashchimala,पश्चिमला
kavitevarvi,कवितेवरवी
sthityantare,स्थित्यंतरे
lokaankadech,लोकांकडेच
tahach,तहच
ordaramaage,ऑर्डरमागे
vajechi,वाजेची
influezaa,इन्फ्लुएझा
frenadisachya,फ्रेनाडिसाच्या
begla,बेगला
dusyaa,दुस्या
metrickechi,मॅट्रिकेची
prakalpana,प्रकल्पाना
faadit,फाडीत
urulli,उरूळी
govindjichem,गोविंदजीचें
shankechaadekhil,शंकेचादेखील
vastusthitinishth,वस्तुस्थितीनिष्ठ
vaatyaache,वाट्याचे
prabhavashanali,प्रभावशानली
nigargattaasaarkham,निगरगट्टासारखं
aafrikeviruddhachaa,आफ्रिकेविरूद्धचा
olalach,ओलालाच
varshanpurta,वर्षांपुरता
shuraanchi,शुरांची
yahusarkha,याहूसारखा
chaayaachitraavar,छायाचित्रावर
purviche,पूर्वीचे
jinkataach,जिंकताच
mutationshi,म्युटेशनशी
sandeshahi,संदेशही
shaharipanaachi,शहरीपणाची
khadupekshaa,खडूपेक्षा
elea,इलें
lodgemadhale,लॉजमधले
kaayadyaanee,कायद्यानी
jahaajaanpaikim,जहाजांपैकीं
kaalimaateche,कालीमातेचे
achambyaatun,अचंब्यातून
junchya,ज्यूंच्या
chenduncha,चेंडूंचा
chitagaanvache,चितगांवचे
ambrosiano,आंब्रोसियानो
ferms,फर्म्स
rakhalchya,राखालच्या
yanamadhye,यानामध्ये
jinechi,जीणेची
kamgarvishv,कामगारविश्व
bollingchaahi,बॉलिंगचाही
lavnyakarita,लावण्याकरिता
kumaarikechi,कुमारीकेची
sadhanani,साधनानी
karnatakmadhun,कर्नाटकमधून
adaninche,अदानींचे
magaslela,मागासलेला
ekaapaddhateene,एकापद्धतीने
parasparaaviruddh,परस्पराविरुद्ध
divsatla,दिवसातला
gayalim,गायलीं
notabadaleemule,नोटबदलीमुळे
rastyaananch,रस्त्यानंच
khaleefaanche,खलीफांचे
kutumbaatlyaan,कुटुंबातल्यान
uddishtaank,उद्दिश्टांक
chinsarkhya,चीनसारख्या
nijamshahicha,निजामशाहीचा
varnillan,वर्णिलां
lokamadlo,लोकांमदलो
matapetyaadvaare,मतपेट्याद्वारे
gulzarna,गुलजारना
padleli,पडलेली
chiraahi,चिराही
deshamukhachya,देशमुखाच्या
samaajatach,समाजतच
tarkavanichya,तर्कवाणीच्या
achivhamentach,अचिव्हमेंटच
muktibaahinichyaa,मुक्तीबाहिनीच्या
vegalavapachi,वेगळावपाची
kimtit,किमतीत
sekyularavaadyaanaa,सेक्युलरवाद्यांना
daruvalyakade,दारुवाल्याकडे
sakram,सक्रम
vidyaartyaanche,विद्यार्त्यांचे
transfusion,ट्रान्सफ्युजन
kakutsor,काकुत्सोर
sheltarchaa,शेल्टरचा
menduvade,मेंदूवडे
hopp,होप्प
saaliyanavar,सालियनवर
nyaavech,न्यावेच
nashinchya,नाशींच्या
hokardarshak,होकारदर्शक
prabandhaavaroon,प्रबंधावरून
janmaarg,जन्मार्ग
jatidharmavishayak,जातीधर्माविषयक
taasbharaat,तासभरात
satyaaprat,सत्याप्रत
tapobanaparyantasuddha,तपोबनपर्यंतसुद्धा
sadgruhasthana,सदगृहस्थाना
kishshanvar,किश्शांवर
ulhaasite,उल्हासिते
lehsudha,लेहसुद्धा
pathirakhyala,पाठिराख्याला
faasanyaachee,फासण्याची
aavadlelya,आवडलेल्या
shastrarthakavi,शास्त्रार्थकवी
myintang,म्यिनटांग
mitramarfat,मित्रामार्फत
jiesateemadhye,जीएसटीमध्ये
vikaanyaasaathich,विकाण्यासाठीच
manachiya,मनाचिया
varnavruttaant,वर्णवृत्तांत
hindufobia,हिंदूफोबिया
saahebaavar,साहेबावर
paravaparyantchya,परवापर्यंतच्या
suseri,सुसेरी
dravatahee,द्रवतही
jaraave,जरावे
chumbita,चुंबिता
rekhatanache,रेखाटनाचे
nemalli,नेमाळी
matadharala,मताधाराला
sukhashayyevar,सुखशय्येवर
aamchyaabarobarche,आमच्याबरोबरचे
pradakshinaahi,प्रदक्षिणाही
saimm,सैंम
kesaank,केसांक
yuktivaadaabaddal,युक्तिवादाबद्दल
virudad,विरूदद
laharun,लहरून
stafmadhalya,स्टाफमधल्या
sarvotkrushtach,सर्वोत्कृष्टच
vinaayakako,विनायकको
haileene,हैलीने
sanghgan,संघगान
thembaatun,थेंबातुन
bachaavapatumadhalaa,बचावपटूंमधला
anun,अनून
aykoli,आयकली
saalunkesaaheb,साळूंकेसाहेब
anukaranpriy,अनुकरणप्रिय
punjayaamikinantar,पुंजयामिकीनंतर
udavachya,उडवाच्या
nirpiya,निरपिया
kalcharatarfe,कल्चरतर्फे
pallini,पळींनी
saahebaanchyaavelee,साहेबांच्यावेळी
rashtrapramukhakadun,राष्ट्रप्रमुखाकडून
mhadyachya,म्हाड्याच्या
shipayanchyamage,शिपायांच्यामागे
pankhaat,पंखात
likhananchi,लिखाणांची
parisak,पॅरिसाक
aatmadnyaanaache,आत्मज्ञानाचे
devkikrushnna,देवकीकृष्ण
radlaach,रडलाच
ulathavanyat,उलथवण्यात
krantichya,क्रांतिच्या
scholarly,स्कॉलरली
anushaktinagarmadhye,अणुशक्तीनगरमध्ये
pavyache,पाव्याचे
madyalayachya,मद्यालयाच्या
vargaanchehi,वर्गांचेही
premikaako,प्रेमिकाको
mohite,मोहिते
isbtvarun,आयएसबीटीवरून
bhavpannache,भावपणाचें
nirshelonaa,निर्शेलोना
kumarinchya,कुमारींच्या
bhutadki,भुताडकी
subsidisation,सबसिडायझेशन
kumpanaanech,कुंपणानेच
ganvaachya,गंवाच्या
rashtrabhaktans,राष्ट्रभक्तांस
vyaktirekha,व्यक्तीरेखा
daavachiechchaak,डावचीच्चाक
jaavampi,जावंपी
mohanbari,मोहनबाडी
kalaamaani,कलामांनी
ladhayamadhale,लढायांमधले
ashmyugeen,अश्मयुगीन
nanvavishi,नांवाविशी
chivadyasathi,चिवड्यासाठी
jaichandraja,जयचंदराजा
sanyojanaatun,संयोजनातून
maitrinini,मैत्रीणीनी
ghamelyaatil,घमेल्यातील
frahchaayajeekaran,फ्रँचायजीकरण
usiki,उसीकी
paatalichem,पातळीचें
pushkarinitaibaddal,पुष्करिणीतैबद्दल
jumalevaale,जुमलेवाले
pareesaraane,परीसराने
vruttamaadhyame,वृत्तमाध्यमे
tikek,टिकेक
housekeepeengche,हाऊसकिपींगचे
lebalsarkha,लेबलसारखा
mudhyaansaathi,मुद्यांसाठी
sadakaanvar,सडकांवर
itsaashaktichyaa,इत्साशक्तीच्या
lohamaargaachi,लोहमार्गाची
socreteeschyaa,सॉक्रेटीसच्या
mandapaasamor,मंडपासमोर
vanvasacho,वनवासाचो
naallyaachi,नाल्ल्याची
smaranavastoomparyant,स्मरणवस्तूंपर्यंत
lakdasarkh,लाकडासारखं
varnashi,वर्णाशी
pratyekaakade,प्रत्येकाकडे
dandyavar,दांड्यावर
malkivarun,मालकीवरून
shod,शोड
piechadiechyaa,पिएचडीच्या
adivasimsah,आदिवासींसह
itihaasaabarobarach,इतीहासाबरोबरच
paushaache,पौषाचे
niyamgiri,नियामगिरी
gomantbhumi,गोमंतभूमी
hamiltonmadhye,हॅमिल्टनमध्ये
gavantlyan,गावांतल्यान
pranaaleensobat,प्रणालींसोबत
prefaransapramaane,प्रेफरंसप्रमाणे
dvibhaajak,द्विभाजक
maalavyaapaasun,माळव्यापासून
golandaajaavar,गोलंदाजावर
onkaaranaathajeenchyaa,ओंकारनाथजींच्या
swamibhakt,स्वामिभक्त
raajyer,राज्येर
saayakalavaalyaashee,सायकलवाल्याशी
vyaktivadacho,व्यक्तिवादाचो
nhava,न्हावा
bhaktibhavan,भक्तीभावान
harijanaank,हरिजनांक
ramdhun,रामधुन
nabhonaatyaanchi,नभोनाट्यांची
mahaasatteviruddh,महासत्तेविरुद्ध
sthitibaddal,स्थितीबद्दल
therapy,थेरॅपी
gothavanyaasandarbhat,गोठवण्यासंदर्भात
