namdharirao,নামধারীরাও
natyatottwo,নাট্যতত্ত্ব
podopiste,পদপিষ্টে
cineplexgulite,সিনেপ্লেক্সগুলিতে
mhair,মাহার
hamaler,হামালের
intezamia,ইনটজামিয়া
bailsiske,বেইলসিসকে
mafiz,মাফিজ
tibadat,তিবাদত
raibak,রাইবাক
hulaifara,হুলাইফার
kokkhoguloteo,কক্ষগুলোতেও
porichchonnotamulok,পরিচ্ছন্নতামূলক
momenbhai,মোমেনভাই
efbir,এফবির
ashwarashmi,অশ্বরশ্মি
bhagyodebota,ভাগ্যদেবতা
akini,আকিনি
tourneur,টার্নার
dambulu,দাম্বালু
loadshadong,লোডশেডং
krishnanagarikera,কৃষ্ণনাগরিকেরা
bichokrome,বিচক্রমে
karjaloyguloteo,কার্যালয়গুলোতেও
kurigramke,কুড়িগ্রামকে
hologramke,হলোগ্রামকে
biswamuslimsaha,বিশ্বমুসলিমসহ
pradurbar,প্রাদুর্বার
gangadashpur,গঙ্গাদাশপুর
brahmomeyer,ব্রাহ্মমেয়ের
bonute,বনুতে
enfercement,এনফের্সমেন্ট
ganomadhojomer,গণমাধযমের
nishidher,নিশিধের
dhyanmatroi,ধ্যানমাত্রই
prajapatimitra,প্রজাপতিমিত্র
sanrakkhanbidra,সংরক্ষণবিদরা
bonodherok,বনধেরক
royster,রয়েস্টার
dantaghate,দন্তাঘাতে
ilori,ইলোরি
chhotokotha,ছোটকথা
kokpiter,ককপিটের
adityanater,আদিত্যনাতের
olodum,ওলোডাম
fanchizider,ফ্যাঞ্চাইজিদের
archara,আর্চার
nabatarrupe,নবতররূপে
prottadishto,প্রত্যাদিষ্ট
badhyokarider,বাধ্যকারীদের
koneeke,কনিকে
pirle,পিরলে
onubade,অনুবাদে
tarputra,তারপুত্র
singrauli,সিঙ্গরাউলি
saifunnahar,সাইফুন্নাহার
antahpreronar,অন্তঃপ্রেরণার
hantikumrul,হাঁটিকুমরুল
tatrankarachana,তত্রাঙ্করচনা
maarawi,মারাভি
jopurbak,জোপূর্বক
butigate,বিউটিগেট
kiofio,কিওফিও
ekbrinte,একবৃন্তে
mahatwam,মহত্বম
aluru,আলুরু
missanthropic,মিস্যানথ্রোপিক
modijike,মোদিজীকে
hayaker,হায়াকের
muving,মুভিং
metzger,মেটজগার
chinkir,চিনকির
condentset,কনডেন্টসেট
onushilonartho,অনুশীলনার্থ
tiktotar,তিক্ততার
tindhara,তিনধারা
khilgaon,খিলগাঁও
democrateder,ডেমোক্রেটদের
sadalbale,সদলবলে
chaloktiro,চালকটিরও
sharatcharcha,শরৎচর্চা
haldasongkranto,হালদাসংক্রান্ত
debkripar,দেবকৃপার
infocus,ইনফোকাস
pukepsi,পুকেপসি
mcvey,ম্যাকভি
tottabadhane,তত্ত্বাবধানে
aputrok,অপুত্রক
atmagopansthal,আত্মগোপনস্থল
shreemat,শ্রীমৎ
patira,পাটিরা
angeliki,এঞ্জেলিকি
nibaronnirmane,নিবারণনির্মাণে
sahityapremi,সাহিত্যপ্রেমী
kanasaltim,কনসাল্টিং
shuiyeche,শুইয়েছে
tijul,তিজুল
jindapoler,জিন্দাপোলের
shanteecukteer,শান্তিচুক্তির
swajanbarger,স্বজনবর্গের
indexicality,ইনডেক্সিকালিটি
shakunike,শকুনিকে
helpline,হেল্পলাইনে
officars,অফিসার্স
alevera,অ্যালেভেরা
akhirke,আখিরকে
rahnumke,রাহনুমকে
suspensan,সাসপেনশন
pobitrobabuo,পবিত্রবাবুও
rahesabz,রাহেসাবজ
portugijti,পর্তুগীজটি
shikhiachilo,শিখিয়াছিল
jomadarkeo,জমাদারকেও
ramanandi,রামানন্দি
actorke,অ্যাক্টরকে
sarkaribidhi,সরকারিবিধি
belkuli,বেলকুলি
parichitang,পরিচিতং
zameeruddin,জমীরুদ্দীন
sombhogbasona,সম্ভোগবাসনা
protinidhideri,প্রতিনিধিদেরই
brandet,ব্রান্ডেট
dukokkher,দুকক্ষের
prochuro,প্রচুরও
notto,নট্ট
banorgulor,বানরগুলোর
sthaponakari,স্থাপনাকারী
storiteo,স্টোরিতেও
kick,কিক
rupantarkami,রুপান্তরকামী
sujarpur,সুজারপুর
bidhigulo,বিধিগুলো
ispahanisaha,ইস্পাহানীসহ
recads,রিক্যাডস
bohirdwondo,বহির্দ্বন্দ্ব
semtoi,সেমতোই
ghasar,ঘাসার
junglesophor,জঙ্গলসফর
tishat,তিশাত
kundubabur,কুণ্ডুবাবুর
ekhtelafe,এখতেলাফে
cayi,কই
latpadaung,লাতপাদুয়াং
stonewall,স্টোনওয়াল
telepress,টেলিপ্রেস
manabakalpana,মানবকল্পনা
ally,এলী
abaninath,অবনীনাথ
greengots,গ্রিনগোটস
samajnirmito,সমাজনির্মিত
cameraguloke,ক্যামেরাগুলোকে
nakhchivan,নাখচিভান
aramkedarata,আরামকেদারাটা
patikorder,পাটিকরদের
prostorfolokguloke,প্রস্তরফলকগুলোকে
muktsource,মুক্তসোর্স
abotoronshil,অবতরণশীল
bamdeven,বামদেবেন
taposdar,তাপসদার
masdi,মাসদি
seifert,সিফের্ট
platoon,প্ল্যাটুন
bamshaktir,বামশক্তির
helmetdhari,হেলমেটধারী
dilliteo,দিল্লিতেও
benchole,বেঞ্চলে
kweraner,ক্বেরানের
hatgulite,হাতগুলিতে
mousumikei,মৌসুমীকেই
shilpey,শিল্পে
basudebsoho,বাসুদেবসহ
occulus,অকুলাস
nirsar,নিরসার
hraske,হ্রাসকে
pieris,পাইরিস
crcr,সিআরসিআর
ghaimara,ঘাইমারা
wildlife,উইল্ডলাইফ
sosmabeshe,সসমাবেশে
sombharei,সম্ভারেই
modjeski,মোদজেস্কি
shefiner,শেফিনের
shulthis,শুলথিস
dwijendrababur,দ্বিজেন্দ্রবাবুর
bhimappa,ভিমাপ্পা
tamanah,তামানাহ
kaliaganjke,কালিয়াগঞ্জকে
osadharone,অসাধারণে
constellation,কনস্টেলেশন
poriskarvabe,পরিস্কারভাবে
janalum,জানালুম
phainda,ফাইন্ড
tasimke,তাসিমকে
protishrutidata,প্রতিশ্রুতিদাতা
mupus,মুপুস
brahmangranther,ব্রাহ্মণগ্রন্থের
britishbharata,বৃটিশভারত
rabindragabeshana,রবীন্দ্রগবেষণা
tongeete,টঙ্গীতে
dukkhoguli,দুঃখগুলি
godaunsamuher,গোডাউনসমূহের
erdogaon,এরদোগাঁ
staudinger,স্টোডিংগার
technologinirvor,টেকনোলজিনির্ভর
nrishongshobadi,নৃশংসবাদী
aponatike,আপনাটিকে
ognosongjog,অগ্নসংযোগ
ansaruzzamaner,আনসারুজ্জামানের
nagendraprasader,নগেন্দ্রপ্রসাদের
bejira,বেজিরা
antararam,অন্তরারাম
gohir,গহির
kabindrababur,কবীন্দ্রবাবুর
himagaro,হিমাগারও
sthitabosta,স্থিতাবস্তা
vivant,ভিভান্ত
bikashini,বিকাশিনী
arupkatha,অরূপকথা
nityoproyojone,নিত্যপ্রয়োজনে
rahmatullahi,রাহমতুল্লাহি
ushapatir,ঊষাপতির
oviparous,অভিপেরাস
bujhiben,বুঝিবেন
jitomatazo,জিটমেটাজ
legendes,লেজেন্ডেস
mainamati,ময়নামতি
sheorcell,শিওরসেল
falada,ফলদ
stutishunno,স্তুতিশূন্য
lokjonke,লোকজনকে
malbai,মালবাই
pbdf,পিবিডিএফ
fashionshilp,ফ্যাশনশিল্প
uporjuktota,উপর্যুক্ততা
lalbahinir,লালবাহিনীর
mene,মেনে
adenocarcinoma,এডিনোকারসিনোমা
neermombhaabe,নির্মমভাবে
thamateo,থামাতেও
buttermilke,বাটারমিল্কে
batinah,বাতিনাহ
antoinette,অ্যান্তোয়ানেতা
gandharyang,গান্ধার্যাং
farukhabade,ফারুখাবাদে
mukhbhongitei,মুখভঙ্গিতেই
benzir,বেনজির
karchilan,করছিলান
canfiguratian,কনফিগারেশন
mohonubhobotar,মহনুভবতার
chuljat,চুলজাত
thatano,থাটানো
anukirtane,অনুকীর্তনে
rakhalraj,রাখালরাজ
cosmeticske,কসমেটিকসকে
camedian,কমেডিয়ান
gahabadhu,গহবধু
porasorsho,পরাসর্শ
rasmier,রাসমিয়ার
adarshyer,আদর্শ্যের
ethiopica,ইথিওপিকা
community,কমুউনিটি
shobhi,শোভি
guggulung,গুগ্গুলুং
tarunrai,তরুণরাই
khundkar,খোন্দকার
unnoyonkoroner,উন্নয়নকরণের
cortisol,কর্টিসোল
samudrajantite,সমুদ্রযানটিতে
sompuri,সোমপুরী
suparibahi,সুপারিবাহী
alokprodo,আলোকপ্রদ
sandhiprastab,সন্ধিপ্রস্তাব
strugglerke,স্ট্রাগলারকে
pashasari,পাশাসারি
fleur,ফ্লার
brullin,ব্রুলিন
sphotikpatre,স্ফটিকপাত্রে
ultechilen,উল্টেছিলেন
poducherry,পদুচেরীর
saundarunanda,সৌন্দরুনন্দ
standoff,স্ট্যান্ডঅফ
laurire,লরিরে
purushbeshdhari,পুরুষবেশধারী
bhagabdalap,ভগবদালাপ
santonu,শান্তনু
gallery,গ্যালারি
gurudambar,গুরুদম্বার
papaike,পাপাইকে
pathanohoyeche,পাঠানোহয়েছে
amadanite,আমাদানীতে
tusharkei,তুষারকেই
ushare,উষারে
heseke,হেসেকে
badshahkhyato,বাদশাহখ্যাত
tourubaa,তৌরুবা
rakiuddin,রকিউদ্দীন
nibbrite,নিববৃতে
poriprekkhoite,পরিপ্রেক্ষইতে
mazin,মাজিন
deras,দেরাস
rajabalir,রাজাবলীর
jeebonasher,জীবনাশের
hyperbaric,হাইপারব্যারিক
panchendrier,পঞ্চেন্দ্রিয়ের
onnobishojong,অন্যবিষযং
nagarkanda,নগরকান্দায়
contruck,কনট্রাক
navaske,নাভাসকে
ghiniye,ঘিনিয়ে
projahitoishonar,প্রজাহিতৈষণার
anukromik,আনুক্রমিক
nisshabdei,নিঃশব্দেই
shivamma,শিবম্মা
billpay,বিলপে
bernicater,বার্নিক্যাটের
gutirrez,গুটিয়েরেজ
shaishabti,শৈশবটি
hearne,হেয়ার্ন
autopilot,অটোপাইলট
clanking,ক্ল্যাঙ্কিং
kalimutwa,কালিমুত্ব
sanglapkei,সংলাপকেই
jonojatir,জনজাতির
kokkorer,কক্করের
meruvolluker,মেরুভল্লুকের
bichchinnotar,বিচ্ছিন্নতার
aishwari,ঐশ্বরী
orthobibhagke,অর্থবিভাগকে
turngulo,টার্নগুলো
masatsugu,মাসাৎসুগু
hematology,হেমাটলজি
sajogitai,সযোগিতায়
shonibare,শনিবারে
zinco,জিনকো
sangaskritikarmio,সংস্কৃতিকর্মীও
shalababur,শালাবাবুর
manjulata,মঞ্জুলতা
lakhang,লাখাং
ritudidi,ঋতুদিদি
utguli,উৎগুলি
totoner,টোটনের
metallurgical,মেটালারজিকাল
singhbi,সিংবি
diboratrir,দিবরাত্রির
assist,এসিস্ট
podotyaper,পদত্যাপের
malikhali,মালিখালি
rokkhasoho,রক্ষাসহ
istofao,ইস্তফাও
ruddhashwaskar,রুদ্ধশ্বাসকর
motobistarito,মতোবিস্তারিত
iqabal,ইকাবল
demberel,ডেম্বেরেল
muktijaddha,মুক্তিযাদ্ধা
hebrer,হেব্রের
sompadonateo,সম্পাদনাতেও
doorottoke,দূরত্বকে
beshirbhageri,বেশীরভাগেরই
jontrosombhoge,যন্ত্রসম্ভোগে
sorentino,সোরেন্তিনো
jaatrapoth,যাত্রাপথ
himul,হিমুল
tirgulo,তীরগুলো
rolguloke,রোলগুলোকে
sorbosonmoti,সর্বসন্মতি
janoargulo,জানোয়ারগুলো
badamgulor,বাদামগুলোর
utyam,উত্যম
surendrakumarke,সুরেন্দ্রকুমারকে
lambah,লাম্বাহ
gachmastar,গাছমাস্টার
bondhujog,বন্ধুযোগ
pulishtake,পুলিশতাকে
dudonder,দুদণ্ডের
cheronbiler,চেরনবিলের
angika,অঙ্গিকা
dudhara,দুধারা
omarghani,ওমরগনি
shayaner,শয়নের
mourabitun,মৌরাবিতুন
tothyosutroke,তথ্যসূত্রকে
pratidinabistaarita,প্রতিদিনবিস্তারিত
pitritantrik,পিতৃতান্ত্রিক
porishkarer,পরিষ্কারের
bolsunda,বোলসুন্ডা
ratnappa,রত্নপ্পা
suchaksamuhe,সূচকসমূহে
promottosyo,প্রমত্তস্য
rabibarbar,রবিবারবার
companyti,কোম্পানীটি
thalaivas,থালাইভাস
boledake,বলেডাকে
damail,দামাইল
mohamanoborupe,মহামানবরূপে
charkisorganjsanglagna,চরকিশোরগঞ্জসংলগ্ন
sahittochokrer,সাহিত্যচক্রের
heoprotiponno,হেওপ্রতিপন্ন
chhintaikarir,ছিন্তাইকারীর
okungsho,অকুংশ
porineetike,পরিনীতিকে
losmir,লসমির
prokotroop,প্রকটরূপ
beuchat,বেউচ্যাট
dharmotsahi,ধর্মোৎসাহী
phast,ফাস্ট
pindonirbopone,পিণ্ডনির্বপণে
pahadikanya,পাহাড়িকন্যা
nanabhabarsanwitam,নানাভাবারসান্বিতম্
lijeenda,লিজেন্ড
chakmarao,চাকমারাও
dubonter,ডুবন্তের
golos,গোলোস
sebasmitir,সেবাসমিতির
shombhobonaa,সম্ভবনা
hanskhaliteo,হাঁসখালিতেও
kaisedor,কাইসেদোর
noupothtite,নৌপথটিতে
sadpura,সদপুরা
anuredh,অনুরেধ
proposed,প্রোপোসড
poschimeo,পশ্চিমেও
diyechhile,দিয়েছিলে
madushanka,মাদুশাঙ্কা
sthirsankalper,স্থিরসঙ্কল্পের
yoginighat,যোগিনীঘাট
bhramyom,ভ্রাম্যম
odhidoptorgonpurto,অধিদপ্তরগণপূর্ত
mrityudandasaha,মৃত্যুদণ্ডসহ
ishwarbishwashmukto,ঈশ্বরবিশ্বাসমুক্ত
fakirchand,ফকিরচাঁদ
drishtikonke,দৃষ্টিকোণকে
kaajkorey,কাজকরে
brindabono,বৃন্দাবনও
padmeshwa,পদ্মেশ্ব
rhincodon,রিনকোডন
thissisnama,থিসিসনামা
anuchchedsaho,অনুচ্ছেদসহ
pourohitten,পৌরোহিত্যেন
muktodharai,মুক্তধারায়
gauridevira,গৌরীদেবীরা
madul,মাদুল
jeledeke,জেলেদেকে
durmulyer,দুর্মুল্যের
forster,ফরস্টার
chithira,চিথিরা
utms,ইউটিএমএস
nirbicharbad,নির্বিচারবাদ
adishloker,আদিশ্লোকের
sadima,সাদিমা
samajaritir,সমাজরীতির
urdhotoner,ঊর্ধ্বতনের
ganadalsaha,গণদলসহ
bhabanipatir,ভবানীপতির
bigyanpatra,বিজ্ঞানপত্র
mokkel,মক্কেল
korab,কোরাব
shutkake,শুটকাকে
professionalism,প্রফেশন্যালিজম
neoliberal,নিওলিবারাল
bashboneo,বাঁশবনেও
palkar,পালকারের
bokeder,বকেদের
joshakangkhar,যশাকাঙ্ক্ষার
umarani,উমারানী
khamyang,খামইয়াং
titten,টিটেন
hadsiti,হাদসিটি
dhoata,ধোয়াটা
bibortonbado,বিবর্তনবাদও
bulurani,বুলুরানি
bernadine,বার্নাডিন
chaklateo,চাকলাতেও
netrisammelane,নেতৃসম্মেলনে
krishanchandar,কৃষণচন্দর
bishanke,বিষণকে
corded,কর্ডেড
kapurdero,কাপুরদেরও
satarusaha,সাতারুসহ
chalachchitrasangsad,চলচ্চিত্রসংসদ
rosalynn,রোজালিন
keijonei,কেইজনেই
kormokortaraa,কর্মকর্তারা
bejir,বেজির
fakinni,ফকিন্নী
kathatateo,কথাটাতেও
penless,পেনলেস
almehiri,আলমেহিরি
khomaini,খোমাইনি
bhabalna,ভাবলনা
bokrotoler,বক্রতলের
presidentship,প্রেসিডেন্টশিপ
kaurabpati,কৌরবপতি
bohiragote,বহিরাগতে
malitolar,মালিটোলার
nibaronke,নিবারণকে
kolpobigganeri,কল্পবিজ্ঞানেরই
tendulkarder,তেন্ডুলকরদের
shilabrishtite,শিলাবৃষ্টিতে
nisaachar,নিশাচর
skulkarmike,স্কুলকর্মীকে
rokongulo,রোকনগুলো
basrar,বসরার
porikkhokgon,পরীক্ষকগণ
poritripto,পরিতৃপ্ত
qauntara,কাউন্টার
neshagrostera,নেশাগ্রস্তেরা
haitang,হাইতাং
senadhyokkhoder,সেনাধ্যক্ষদের
kortrittoporayonotar,কর্তৃত্বপরায়ণতার
minogue,মিনোগ
acidithiobacillus,এসিডিথিওব্যাসিলাস
bhumikarakha,ভূমিকারাখা
lakurtala,লাকুরতলা
fekahobider,ফেকাহবিদের
nimnomatrar,নিম্নমাত্রার
storbohul,স্তরবহুল
rajpora,রাজপোরার
sulogne,সুলগ্নে
babylonian,বাবিলন
umph,উম্ফ
tulanmulak,তুলানমূলক
chhadaibar,ছাড়াইবার
birendrakishorer,বীরেন্দ্রকিশোরের
shadhokeri,সাধকেরই
intisar,ইনতিসার
uttranchal,উত্তরাঞ্চল
lebukunjer,লেবুকুঞ্জের
nirokkhorra,নিরক্ষররা
zot,জোট
stimita,স্তিমিত
padmasri,পদ্মশ্রী
laksmipencha,লক্ষ্মীপেঁচা
tamakur,তামাকুর
iddatkale,ইদ্দতকালে
mcgrara,ম্যাকগ্রারা
prokritibidder,প্রকৃতিবিদদের
ostapenko,ওস্টাপেঙ্কো
bakhejer,বাখেজের
gosalkhanata,গোসলখানাটা
mojomake,মজমাকে
anjumke,আঞ্জুমকে
tenguri,টেঙ্গুরী
atmosomaner,আত্মসমানের
likheochilo,লিখেওছিল
biozid,বায়োজিদ
roptanimukhi,রপ্তানিমুখী
maurusi,মৌরুসী
kandararu,কান্ডারারু
ittekaf,ইত্তেকাফ
sachek,সাচেক
mahmudun,মাহমুদুন
harshotpadan,হর্ষোৎপাদন
downloadnamaj,ডাউনলোডনামাজ
asimrai,অসীমরাই
muzaffarabad,মুজফফরাবাদ
dursamparker,দূরসম্পর্কের
kanair,কানাইর
doptorero,দপ্তরেরও
lakshmidaser,লক্ষ্মীদাসের
hanimaner,হানিমানের
gabtolike,গাবতলীকে
rotunda,রোটানডা
sutaner,সুতানের
samre,সমরে
songkochojonok,সংকোচজনক
porjobekkhonagare,পর্যবেক্ষণাগারে
candidatemaster,ক্যান্ডিডেটমাস্টার
floori,ফ্লোরি
hasmatullah,হাসমতুল্লাহ
jalmat,জলমত
boroshe,বর্ষে
jurisdiction,জুরিস্ডিকশন
amboseli,আম্বোসেলি
shubhankardake,শুভঙ্করদাকে
khartumer,খারতুমের
linnon,লিনন
saberei,সবেরই
chartbustere,চার্টবাস্টারে
galra,গলরা
onugotosiddho,অনুগতসিদ্ধ
barokke,বারককে
chhitmoholobasike,ছিটমহলবাসীকে
iclosure,আইক্লোজার
semifinaltite,সেমিফাইনালটিতে
harresed,হ্যারেসড
kashimnagarstha,কাশিমনগরস্থ
alkhellate,আলখেল্লাতে
khotigrostha,ক্ষতিগ্রস্থা
aainbidhir,আইনবিধির
bibahobrittanto,বিবাহবৃত্তান্ত
hotashadirno,হতাশাদীর্ণ
matribhumio,মাতৃভূমিও
ajrailero,আজরাইলেরও
nephrotik,নেফ্রটিক
sonarchand,সোনারচাঁদ
acinelli,আসিনেলি
mejina,মেজিন
hatdutite,হাতদুটিতে
karagarontorin,কারাগারন্তরীন
viru,ভীরু
leekhche,লিখছে
sifatke,সিফাতকে
bekkaler,বেক্কলের
muhurtajanita,মুহুর্তজনিত
asabdhanatabosoto,অসাবধানতাবশত
indrapurbasi,ইন্দ্রপুরবাসী
kosobe,কসবে
murkhadiger,মূর্খদিগের
gachgulokeo,গাছগুলোকেও
papian,পাপিয়ান
moukik,মৌকিক
hafik,হাফিক
gunavimanino,গুণাভিমানিনো
rishidi,রাশিদি
salimuddi,সলিমুদ্দি
schmieding,স্মিডিং
lokachhen,লোকাচ্ছেন
cholach,চলাচ
sangshodhanitei,সংশোধনীতেই
tamjanmadine,তমজন্মদিনে
seargent,সার্জেন্ট
kayekgun,কয়েকগুণ
jeebonacharon,জীবনাচারণ
monosamongol,মনসামঙ্গল
userderkei,ইউজারদেরকেই
sainyasamantasaha,সৈন্যসামন্তসহ
emonsthane,এমনস্থানে
freshman,ফ্রেশম্যান
porikkhal,পরীক্ষাল
anurupao,অনুরূপাও
porshudiner,পরশুদিনের
kotthir,কঠির
kalojogoter,কালোজগতের
dvarakeshvara,দ্বারকেশ্বর
agapanthus,আগাপান্থাস
bojaleo,বোজালেও
shobangike,শবাঙ্গীকে
frankenstein,ফ্রাঙ্কেনস্টেইন
hessan,হেসান
ghuski,ঘুসকি
julku,জুলকু
jontroo,যন্ত্রও
innovemon,ইনোভেমন
erk,ইরক
proneeter,প্রনীতের
nipidhote,নিপিধোতে
emnet,এমনেট
presite,প্রেসিতে
byakhyasohokare,ব্যাখ্যাসহকারে
bachheli,বাছেলি
megapixels,মেগাপিক্সেলসহ
upopotibhabe,উপপতিভাবে
builderderke,বিল্ডারদেরকে
durghotonarodh,দূর্ঘটনারোধ
kanepakkhar,কনেপক্ষর
bhasanike,ভাসানীকে
bichargatigan,বিচারগতিগণ
kolyanobidhanarthe,কল্যাণবিধানার্থে
lexis,লেক্সিস
sonetti,সোনেত্তি
ishwadari,ঈশ্বদরী
encapylitis,এনক্যাপালাইটিস
palaben,পালাবেন
bhumipujan,ভূমিপূজন
terrizake,টেরিজাকে
thaugsuban,থাউগসুবান
aloksom,আলোকসম
namah,নামাহ্
blaise,ব্লেস
sugandhidhaner,সুগন্ধিধানের
pukurpad,পুকুরপাড়
piatt,পাইট
soudhoi,সৌধই
parichalanasaha,পরিচালনাসহ
chartsamuho,চার্টসমূহ
dhritodermadhye,ধৃতদেরমধ্যে
agradeshe,অগ্রদেশে
bolakidasher,বলাকীদাসের
nirdeshina,নির্দেশিনা
arettara,আরেত্তারা
vanlal,ভানলাল
drishtikturakam,দৃষ্টিকটুরকম
birchandrapure,বীরচন্দ্রপুরে
survivour,সারভাইভার
pushyider,পুষ্যিদের
mamlagulikeo,মামলাগুলিকেও
doabi,দোয়াবি
magariber,মাগারিবের
ekschekar,এক্সচেকার
dibhake,ডিভাকে
shahartalitei,শহরতলীতেই
antiseptic,আন্টিসেপ্টিক
parimarjana,পরিমার্জনা
soshiyala,সোশিয়াল
chandrabhir,চন্দ্রভীর
nakvi,নাকভি
dsa,ডিএসএ
podakpali,পোড়াকপালি
ekosoptahei,একসপ্তাহেই
flicking,ফ্লিকিং
mumbaikarder,মুম্বইকরদের
golkhalite,গোলখালীতে
porospobirodhi,পরস্পবিরোধী
ladaka,লাদাকা
ila,ইলা
samyaksambuddha,সম্যকসম্বুদ্ধ
dinera,দিনেরা
orte,অর্তে
chaitanyarupini,চৈতন্যরূপিণী
sukhdevke,সুখদেবকে
chamundatantre,চামুণ্ডাতন্ত্রে
begunkhola,বেগুনখোলা
dakkhinadhipati,দক্ষিণাধিপতি
normandac,নরম্যান্ডাক
totostotha,ততস্তথা
medvedevkeo,মেদভেদেভকেও
bitecode,বাইটকোড
baygon,বেইগন
richder,রিচদের
isramail,ইসরামাইল
kortobyokkhetro,কর্তব্যক্ষেত্র
barmakira,বারমাকীরা
jeebonsmritimulok,জীবনস্মৃতিমূলক
samardweep,সমরদ্বীপ
belmer,বেলমারের
malikandi,মালিকান্দি
lendrim,লেন্ড্রিম
srilanka,শ্রীলংকায়
guruswamy,গুরুস্বামী
nitiva,নিতিভা
angurguli,আঙ্গুরগুলি
generalised,জেনারালাইসড
malanchite,মালঞ্চিতে
jibboichitrosomriddho,জীববৈচিত্রসমৃদ্ধ
matrisnehobonchito,মাতৃস্নেহবঞ্চিত
protipholoni,প্রতিফলনই
photopaper,ফটোপেপার
touritoposis,টুরিটোপসিস
prottokkhon,প্রত্যক্ষণ
sternberger,স্টের্নবার্গের
biometrics,বায়োমেট্রিক্স
bentinck,বেন্টিনক
udeh,উদেহ
lipezige,লাইপজিগে
purushbeshe,পুরুষবেশে
anchalbishesher,অঞ্চলবিশেষের
drafts,ড্রাফ্ট্স
cleopetrao,ক্লিওপেট্রাও
trar,ত্রার
jholayani,ঝোলায়নি
elittantrer,এলিটতন্ত্রের
bohubishoye,বহুবিষয়ে
officertir,অফিসারটির
gondomurkho,গণ্ডমূর্খ
alon,আলন
abirei,আবিরেই
rahbare,রাহবারে
nistobdhoi,নিস্তব্ধই
temte,তেমতে
adalatguli,আদালতগুলি
preuner,প্রিউনার
rambasan,রামবসান
patitalayati,পতিতালয়টি
chennareddy,চেন্নারেড্ডী
mostafizur,মোসতাফিজুর
nokshashilpo,নকশাশিল্প
accordion,একর্ডিওন
khidirpore,খিদিরপুর
torquilstone,টরকুইলস্টোনে
arputhamer,আরপুথামের
stakeholderderke,স্টেকহোল্ডারদেরকে
hasahasinak,হাসাহাসিনাক
sutarthang,সুতার্থং
lanyi,লান্নি
raktasnane,রক্তস্নানে
gromov,গ্রোমোভ
mclaglen,ম্যাকলাগ্লেন
ashtangik,অষ্টাঙ্গিক
broadley,ব্রডলি
sangkirnadrishti,সংকীর্ণদৃষ্টি
mormobostuke,মর্মবস্তুকে
expholiated,এক্সফোলিয়েটেড
chhyak,ছ্যাক
jigyasabadkalin,জিজ্ঞাসাবাদকালীন
chekgulir,চেকগুলির
shayeri,শায়েরী
mahurider,মহুরীদের
imamallar,ইমামল্লার
fendosder,ফেন্ডসদের
papmukh,পাপমুখ
atasi,অতসী
hanadari,হানাদারি
ikhe,ইখে
madhobidevike,মাধবীদেবীকে
bidyabalang,বিদ্যাবলং
sponsorosder,স্পন্সরসদের
mukharochak,মুখরোচক
strikerder,ষ্ট্রাইকারদের
sadaner,সদনের
russelli,রুসেলি
narwal,নারওয়াল
jagnur,জগনুর
laagaalen,লাগালেন
artonader,আর্তনাদের
nepalite,নেপালিতে
bokarke,বোকারকে
dharmendrasinh,ধর্মেন্দ্রসিং
cholishnutake,চলিষ্ণুতাকে
bajepratapur,বাজেপ্রতাপুরের
mukaiyama,মুকাইয়ামা
akkhamya,অক্ষম্য
julumbader,জুলুমবাদের
nisprayojan,নিষ্প্রয়োজন
dolobolshuddho,দলবলশুদ্ধ
santragachi,সাঁত্রাগাছি
esbob,এসবব
myro,মায়রো
hanszarumarka,হাঁসজারুমার্কা
srishtiresha,সৃষ্টিরেষা
pudu,পুড়ু
nirdeshakaareeder,নির্দেশকারীদের
jomaih,জোমাইহ
mustafizurkeo,মুস্তাফিজুরকেও
brahmodhormoi,ব্রাহ্মধর্মই
bly,ব্লি
tripoli,ট্রিপলি
atuler,আতুলের
arubi,আরুবি
bufter,বাফটার
henesta,হেনেস্তা
boardgooloteo,বোর্ডগুলোতেও
jhalurchar,ঝালুরচর
takabina,তাকাবিনা
badkumar,বড়কুমার
ustck,ইউএসটিসিকে
jyotipriyobabu,জ্যোতিপ্রিয়বাবু
raratonga,রারাটোঙ্গা
hridye,হৃদ্যে
munchanti,মুঞ্চন্তী
entarten,এনটারটেন
anticaithera,এন্টিকাইথেরা
tirtire,তীরটিরে
eshani,ঈশানী
puraskul,পুরস্কুল
pandunandan,পাণ্ডুনন্দন
anyadwarer,অন্যদ্বারের
uttarbhabanipur,উত্তরভবানীপুর
honecker,হোনেকার
marsala,মার্শাল
gintike,জিনটিকে
shuva,সুভা
akimon,আকিমন
upodrobi,উপদ্রবি
rameswardham,রামেশ্বরধাম
uzafa,উজাফা
meteorological,মিটিওরোলজিক্যাল
etekafer,এতেকাফের
amerudandider,অমেরুদন্ডীদের
tisai,তিসাই
picaridine,পিকারিডিন
mercer,মারসারের
dulavaita,দুলাভাইটা
nirobotake,নিরবতাকে
shunichen,শুনিছেন
bandher,বান্ধের
brittantaguli,বৃত্তান্তগুলি
sobuj,সবুজ
vido,ভিডো
bidoddho,বিদদ্ধ
poriprekkhiti,পরিপ্রেক্ষিতি
bangladesham,বাংলাদেশম
puranobidder,পুরাণবিদদের
sciencelaber,সাইন্সল্যাবের
jonomansohin,জনমানসহীন
nadem,নাদেম
jalalkhali,জালালখালি
