chainij,चाइनिज
srishtani,सृष्टानि
garmabay,गरमाबय
veeren,वीरेन
paijaar,पैजार
nalin,नलिन
inginiering,इन्जिनियरिङ्ग
barrachoura,बर्राचौर
pahunchavaak,पहुँचवाक
takneekon,तकनीकों
chhetraphal,छेत्रफल
sabdina,सबदिना
baderee,बड़ेरी
shakuni,शकुनि
yikaa,यिका
rautelo,रौतेलो
nijatanaynirmanfalitn,निजतनयनिर्माणफलितं
commandar,कमान्डर
sanshleshak,संश्लेषक
bajito,बजितो
chandrikishor,चन्द्रिकिशोर
raajpratinidi,राजप्रतिनिधि
chokhgar,चोखगर
nishakarjik,निशाकरजीक
chobharam,चोभारम
nityananda,नित्यानन्दा
tourai,तोडै
northwestern,नर्थवेस्टर्न
deedh,डीढ़
dhimire,धिमिरे
aprogee,अपरोगी
flite,फ्ल्याट
dhaala,ढाला
raheek,रहिक
aasun,आसुन
chatrasabh,छात्रसभ
pracharyake,प्राचार्यके
snehl,स्नेहल
lekhhajokha,लेखाजोखा
nimochha,निमोछा
khaelaye,खेलए
uttarjeevita,उत्तरजीविता
konection,कनेक्सन
badanak,बदनक
roopbhed,रूपभेद
hunaje,हुनजे
koondoo,कुण्डू
baunsiyo,बौंसियो
kaithiken,कैथीकें
galaaken,गलाकेँ
indrabhadatt,इन्द्रभदत्त
subhkamna,शुभकामना
rahaiga,रहैगा
treevikram,त्रिविक्रम
samanthasan,सामन्थासँ
aaikon,आइकोन
munbaak,मुनबाक
paddhatya,पद्धत्या
virodhiyo,विरोधियो
jamghata,जमघट
siddhantatah,सिद्धांततः
manroochikah,मनरूचिकाः
khemakasn,खेमकासँ
daridrataken,दरिद्रताकें
maraneey,मरणीय
khaansaana,खाङ्साङ
gulijar,गुलिजार
talbaarahi,तालबाराही
baurava,बौरवा
rachnatmaktasan,रचनात्मकतासँ
pratipakshaviheen,प्रतिपक्षविहीन
mukundal,मुकुन्दल
baasha,बाशा
baadhat,बढ्त
dhareme,धारेमे
bochagnja,बोचागञ्ज
nennane,नेन्नाने
bhashakavi,भाषाकवि
mahendroo,महेन्द्रू
kholide,खोलिदे
swadhyaysan,स्वाध्यायसँ
gracie,ग्रेसी
kiyai,कियै
madhyamgramak,मध्यमग्रामक
faprthoom,फापरथुम
rahabani,रहबनि
nauman,नौमन
kavirayak,कविरायक
apankh,अपंख
saarna,सार्न
atimahatvapoorn,अतिमहत्त्वपूर्ण
avtaranee,अवतरणी
bhorasut,भोरासुत
jeevnavadhi,जीवनावधि
groupdwaara,ग्रुपद्वारा
bachabaa,बचबा
fagunak,फागुनक
ravisasi,रविससि
jaip,जैप
anokhelal,अनोखेलाल
poobaree,पूबारी
rahtinh,रहतिन्ह
americali,अमेरिकाली
jistaak,जिस्ताक
kochar,कोचर
jhoolaave,झूलावे
vishwekshwro,विश्वेकश्व्रो
rekardak,रेकर्डक
hirneek,हिरणीक
poorvaraja,पुर्वराजा
khatthi,खट्ठी
margasbha,मार्गसभ
kharmeek,खार्मीक
jaisankar,जयशङ्कर
sahakrit,सहकृत
ekstended,एक्स्टेन्डेड
smridhhik,समृद्धिक
parampad,परमपद
setalmentak,सेटलमेन्टक
brisheshchandra,बृशेषचन्द्र
dhanushdhari,धनुषधारी
vijayaah,विजयाः
penisulame,पेनिसुलामे
bhashyatwen,भाष्यत्वेन
bandinau,बन्दिनौ
beemargrast,बीमारग्रस्त
aaswadait,आस्वादैत
chaliai,छलियै
parivaahak,परिवाहक
jhinguneek,झिंगुनीक
jaunpurak,जौनपुरक
pajaratai,पजरतै
ijrayaldwara,इजरायलद्वारा
goring,गोरिङ
goreer,गोरीर
tilkotsavah,तिलकोत्सवः
laangh,लाँघ
sarfuddeenak,सर्फुद्दीनक
rahau,रहौ
ikshak,इक्षाक
dohorait,दोहोरैत
baraas,बरास
tatbandhsan,तटबन्धसँ
upjilaa,उपजिला
eahsaan,एहसान
sankshiptaan,संक्षिप्तां
khandubala,खण्डूबला
ferlak,फेरलक
nandnaa,नन्दना
naliye,नलिये
bhidhikay,भिड़िकय
lakhin,लखिन
nichol,निचोल
royinhawa,रोइनिहवा
dwayme,द्वयमे
paraebalaa,पड़एबला
girap,गिरप
eershyaean,ईर्ष्याएँ
awyawharita,अव्यवहारिता
reyaasatak,रियासतक
haripoorwa,हरिपुर्वा
zanyudhhak,जनयुद्धक
fulparasi,फुलपरासी
kanphres,कान्फ्रेस
naatyah,नाट्यः
kairevan,कैरेवान
ghanton,घण्टों
bachaknau,बचकनौ
pahunchenihaar,पहुंचेनिहार
muchhad,मुछड़
sanyoji,संयोजि
visheshte,विशेषते
vishakt,विषाक्त
trivarshaabhyantare,त्रिवर्षाभ्यन्तरे
motakeeke,मोटकीके
faishanaparast,फैशनपरस्त
ardhaparichit,अर्धपरिचित
gopati,गोपति
uttarbang,उत्तरबङ्ग
beejdhaar,बीजधार
agnistatwam,अग्निस्तत्त्वम्
aywaak,अयवाक
bhartiyapraydwipe,भारतीयप्रायद्वीपे
ojgunak,ओजगुणक
bhagalpurwasime,भागलपुरवासीमे
amitken,अमितकेँ
rachnakarah,रचनाकारः
ambamataa,अम्बामाता
aamejan,आमेजन
yogeshwar,योगेश्वर
namri,नमारि
kherahi,खेरही
tokarapur,टोकरपुर
yatsanvatsamribhavo,यत्संवत्समृभवो
sahasgar,सहसगर
uthabailel,उठाबैलेल
jambo,जम्बो
gautamrupi,गौतमरूपी
galli,गल्ली
masosi,मसोसि
praptavan,प्राप्तवान्
mahadaevpattee,महादेवपट्टी
chambiyali,चंबियाली
krantikariyon,क्रांतिकारियों
ranike,रानीके
vastavikeen,वास्तविकीं
hostinga,होस्टिङ
gajoorak,गजूरक
pachhitaihou,पछितैहौ
shobhaita,शोभैत
shaivmatopasthapika,शैवमतोपस्थापिका
gurucharanairaadishyate,गुरुचरणैरादिश्यते
jativaditake,जातिवादिताके
banchitken,बंचितकेँ
elammai,इलाममे
dhanka,धनका
aenthabu,ऐंठबु
paschimsan,पश्चिमसँ
dinanathji,दीनानाथजी
khaunch,खौंच
bhutahe,भुतहे
nimagnastav,निमग्नस्तव
feklen,फेकलेँ
kakshasan,कक्षासँ
mallaaj,मल्लाज
shahardimapurjilasabh,शहरदिमापुरजिलासभ
jitbait,जितबैत
jhojharpur,झोझारपुर
dukho,दुखो
krantichetna,क्रांतिचेतना
nityanitya,नित्यानित्य
vashishthah,वशिष्ठः
shuddhadev,शुद्धदेव
dolkhake,दोलखाके
mumbra,मुँब्रा
maheshveraah,महेश्वेराः
soaami,सोआमी
vomarkak,वोमार्कक
yerebhaanak,येरेभानक
shukraraj,शुक्रराज
meilanoma,मेलानोमा
aayar,आयर
punarasadange,पुनरसदंगे
shivli,शिवली
sndhyasaan,सन्ध्यासँ
ranichauree,रानिचौरी
badmashsabh,बदमाशसभ
coilakh,कोइलख
nirparadhee,निरपराधी
peshaav,पेशाव
fulwari,फुलवाड़ी
ghasiyah,घसियह
rumalak,रुमालक
madhavpreetimode,माधवप्रीतिमोदे
buddhichittaatmanaan,बुद्धिचित्तात्मनां
jantantrak,जनतंत्रक
garbhasau,गर्भसँ
baaylke,बाइलके
rameshwarlal,रामेश्वरलाल
shodhkendra,शोधकेन्द्र
lakshameebaike,लक्ष्मीबाईके
madhuvanak,मधुवनक
tarahme,तरहमे
chaennaik,चेन्नैक
baidee,बैदी
ekwakyiya,एकवाक्यीय
jilasang,जिलासँग
chhikiyau,छिकियौ
sosit,सोसित
dauraa,दौड़ा
janakke,जनकके
karaabati,कराबति
bheshme,भेषमे
sunihaun,सुनिहौं
telhanak,तेलहनक
akritisav,आकृतिसभ
gasnu,गास्नु
aalamdevi,अालमदेवी
mohanjodado,मोहनजोदड़ो
harlak,हारलाक
rafeejee,रफीजी
somrajee,सोमराजी
aailan,आइलन
chakrik,चाकरीक
daalia,डालिया
manooal,मानुअल
samagrak,समग्रक
ruemba,रुम्बा
moleme,मोलेमे
kochilva,कोचिलवा
khilebo,खिलेबो
uthik,उठिक
fetal,फेटल
giyasouddin,गियासौद्दीन
banchbaile,बँचबैले
rooppar,रूपपर
rajauta,रजौटा
naubatikaah,नौबतिकाः
preetiras,प्रीतिरस
suharde,सुहर्दे
firishaneek,फिरिशानीक
namostameshyate,नमोऽस्तमेष्यते
manisodar,मानीसोदर
stiksan,स्टिकसँ
diagnos,डायगनोस
gangeey,गंगीय
foolme,फूलमे
prawanta,प्रवणता
khanapurtik,खानापुर्तिक
ekdarabela,एकडाराबेला
fahrayat,फहरायत
haryanake,हरियाणाके
visheshpar,विशेषपर
commission,कमिशन
sonkh,सोंख
budhie,बुढी
deshantaranme,देशान्तरणमे
chaksibote,चाक्सीबोटे
kundenath,कुन्देनाथ
vriddhasan,वृद्धासँ
tankabait,तनकाबैत
cupme,कपमे
dwijakasyo,द्विजकस्यो
sankarpokhri,शंकरपोखरी
chihunki,चिहुँकी
barisal,बारिसाल
painalsan,पैनलसँ
pent,पेंट
sarvatropakaroteeh,सर्वत्रोपकरोतीह
yudhh,युध्द
aayojankartaken,आयोजनकर्ताकेँ
awadhkumar,अवधकुमार
bulbullaa,बुलबुल्ला
kahbiken,कहबीकेँ
congresak,काङ्ग्रेसक
moolyaker,मूल्यकेर
kaimur,कैमुर
pandavpura,पांडवपुरा
somadhi,सोमाधि
barpak,बार्पाक
khocharla,खोचारला
shuruaatkay,शुरुआतके
kavyayogi,काव्ययोगी
gyaate,ज्ञाते
silekshan,सिलेक्शन
chunvak,चुनवाक
kaarnok,कारणोक
tarhon,तरहों
khagariya,खगरिया
purnabhadra,पूर्णभद्र
mithimeediyaken,मिथिमीडियाकें
aangiras,आंगिरस
gaudaabaudaam,गौड़ाबौड़ाम
mandbandhan,मन्दबन्धन
bhenten,भेंटें
prajeeta,प्रजीता
nirvanee,निर्वाणी
sahanubhati,सहानुभति
doorgami,दूरगामी
mallarani,मल्लरानी
kochaarvan,कोर्चावाङ
niklee,निकली
saltanatak,सल्तनतक
madmai,मदमे
pitambar,पीताम्बर
anuhaari,अनुहारी
poochhwa,पूछवा
kheleta,खेलेता
bhojnadik,भोजनादिक
praiwetak,प्राइवेटक
fanand,फनन्द
pranimatrame,प्राणिमात्रमे
mereelyand,मेरील्याण्ड
peeoke,पीओके
apaalanak,अपालनक
panipiaai,पनिपिआई
ojhrakay,ओझराकय
lautayab,लौटायब
hirasatme,हिरासतमे
herlo,हेरलो
faalaaz,फालाज
sadanandabh,सदानन्दभ
bhittarke,भित्तरके
mojae,मोजे
khubai,खूबै
uthnaa,उठना
vandaniyah,वन्दनीयः
hoesan,होइसँ
yaadsan,यादसँ
sarvayat,सर्वयत
yogdankartasabhak,योगदानकर्तासभक
thumakta,ठुमकता
ghursvari,घुडसवारी
compnykae,कम्पनीकें
kholito,खोलितो
murukhapanaa,मुरुखपना
roodradityadh,रूद्रादित्यध
tesran,तेसराँ
lyaay,ल्याय
adhneene,अधनीने
bahaeb,बहाएब
chhopait,छोपैत
abhishapton,अभिशप्तों
shishirkant,शिशिरकान्त
anubhavavetta,अनुभववेत्ता
elva,एल्वा
saaldhrime,सालधरिमे
sanskritaijeshan,संस्कृताइजेशन
khaetana,खेतान
brajpaat,ब्रजपात
devkrishnash,देवकृष्णश
kochenak,कोचीनक
akhlaak,अखलाक
lokasabhadwaara,लोकसभद्वारा
useese,उसीसे
kailpar,कैलपर
trinayan,त्रिनयन
achrekarak,अचरेकरक
khast,खस्त
kethree,केथरी
hangaami,हंगामी
bassabhme,बससभमे
neindarthalensisak,नेन्दर्थालेन्सिसक
daijestar,डाइजेस्टर
ankapar,अंकपर
chokh,चोख
twalayee,त्वलयी
rajkumarsbhka,राजकुमारसभक
shantibhai,शांतिभाई
kachanak,काचनक
hasati,हसति
sabhdin,सभदीन
kulanandah,कुलानन्दः
theppi,ठेप्पी
latte,लत्ते
debaasan,देबासँ
sakayt,सकैत्त
nagnashri,नग्नश्री
upjilasan,उपजिलासँ
premsn,प्रेमसँ
jeevkanta,जीवकांत
advaitsiddhi,अद्वैतसिद्धि
nibene,निभेने
bahudhayan,बौधायन
aahutiyan,आहुतियाँ
dravyeshwar,द्रव्येश्वर
saurath,सोरठ
chorni,चोर्नी
duniyaabharik,दुनियाभरिक
febrita,फेवरिट
lakuri,लाकुरी
vakyavad,वाक्यवाद
technologyk,टेक्नोलॉजीक
lujhitai,लुझितै
ramvimukh,रामविमुख
khalipha,खलिफा
balcharit,बालचरित
kshemkar,क्षेमकर
thaaka,थाक
rayadamda,रायडाँडा
nahas,नहस
manavvigrah,मानवविग्रह
kailee,काइली
ghusaa,घुसा
streevimarsh,स्त्रीविमर्श
chhedkhani,छेड़खानी
umange,उमंगे
keshavdas,केशवदास
karbaulathi,करबौलथि
marxseet,मार्क्ससीट
konaadani,कोनादनि
vighnedash,विघ्नेदश
biharker,बिहारकेर
paiketas,पैकेटस
jahajsan,जहाजसँ
bhrang,भङ्ग
vidyavaridheek,विद्यावारिधीक
jaswal,जसवाल
tribhuvanpatik,त्रिभुवनपतिक
takneeksabhak,तकनीकसभक
samansabhsan,सामानसभसँ
ruchab,रुचब
patikulak,पतिकुलक
sabjiyan,सब्जियाँ
kurseesan,कुर्सीसँ
bekark,बेकारक
karobarke,कारोबारके
panchshar,पंचशर
chunaiti,चुनैती
puchhalkhein,पुछलखिन
madridak,म्याड्रिडक
kareai,करइ
salpacha,सालपछा
argheeke,अर्घीके
kageshvari,कागेश्वरी
chatori,चटोरी
nibheko,निभेको
rakshabandhanmasyamev,रक्षाबन्धनमस्यामेव
vyaadhibhishch,व्याधिभिश्च
aenthi,ऐंठि
kulwarnanak,कुलवर्णनक
drashtavyah,द्रष्टव्यः
snehal,स्नेहल
hawapanee,हावापानी
jaraitchi,जरैतछि
uchaaral,उचारल
sepatee,सेपटी
rangmanch,रंगमञ्च
sajaulani,सजौलनि
ramanandu,रमानन्दु
aaweshpoorn,आवेशपूर्ण
vigrahak,विग्रहक
suntaleetar,सुन्तलीटार
ghataywali,घटयवाली
betkhara,बेटखारा
layalpur,लयलपुर
tulmohanak,तुलमोहनक
madhesko,मधेसको
cinemagharsabme,सिनेमाघरसभमे
prahaarsan,प्रहारसँ
stardasta,स्टारडस्ट
vighnerashwasar,विघ्नेरश्वसर
gardainsan,गरदैनसँ
seeyi,सीई
atiriktab,अतिरिक्तब
pavainsuv,पावनिसभ
jutelahun,जुटेलहुँ
baisite,बैसिते
narendranandji,नरेन्द्रनंदजी
vigrahik,विग्रहिक
bhediyaareeme,भेडियारीमे
dwaitbhaw,द्वैतभाव
ammonsav,अम्मोनसभ
janganga,जनगंगा
kavitaadiken,कवितादिकेँ
shwetabhooshan,श्वेताभूषण
navyuvko,नवयुवको
shrofa,श्रोफ
tarikhamae,तारिखमे
darweshi,दरवेशी
avlokansamkalmev,अवलोकनसमकालमेव
dharmbala,धर्मबला
kowindak,कोविन्दक
seejan,सिजन
stotre,स्तोत्रे
sudhra,सुधरा
gachmey,गाछमे
ikshasn,इच्छासँ
sujhavmesan,सुझावमेसँ
holms,होल्म्स
samushantiko,सामुशान्तिको
fufayal,फुफायल
maleriyaak,मलेरियाक
sanskritahime,संस्कृतहिमे
virog,विरोग
bhooke,भूके
chainpur,चैनपुर
apwade,अपवादे
bakhanak,बखानक
lolme,लोलमे
vitaamin,भिटामिन
outsiderko,आउटसाइडरको
panney,पन्ने
devopam,देवोपम
poetree,पोएट्री
siddhirupa,सिद्धिरूपा
chamartolee,चमरटोली
bodhisattva,बोधिसत्त्व
hathiyaarsabhak,हथियारसभक
sitataa,सितता
chandralpati,चन्द्रलपति
shantirshantasya,शान्तिरशान्तस्य
rauravam,रौरवम
kahalnihen,कहलनिहें
aabusareeya,आबूसरिया
naibed,नैबेद
bechdete,बेचदेते
jingiyo,जिनगियो
jhirmir,झिरमिर
pakpattan,पाकपत्तन
musuki,मुसुकि
sarvotam,सर्वोतम
jayveer,जयवीर
purnbahadur,पूर्णबहादुर
shardame,शारदामे
rasamayeekreedaakean,रसमयीक्रीड़ाकेँ
bplk,बीपीएलक
aprentis,एप्रेंटिस
bhejoo,भेजू
tudaydwara,टुडेद्वारा
vadti,वदति
pryojak,प्रायोजक
vijadan,विजडन
rohiya,रोहिया
sunaliye,सुनालिये
sahkaryak,सहकार्यक
mortam,मोर्टम
jhopar,झोपड़
sanghsau,संघसँ
sadhuk,साधुक
sootar,सूतर
remela,रेमेला
nirmatree,निर्मात्री
paparchhaiyon,पपरछाईयों
goutamik,गौतमीक
varsainak,वर्साइनक
umaan,उमान
puhup,पुहुप
ushya,उष्य
dhobhighaat,धोबीघाट
jgarna,जगरना
poochhah,पूछह
poojitasth,पूजितास्थ
kpa,केपिए
pranalipar,प्रणालीपर
sanklpak,सङ्कल्पक
bachpaname,बचपनमे
accengeme,एक्सेन्जमे
jungathapachourak,जुंगाथापाचौरक
shikagoae,शिकागोए
pulpar,पुलपर
encyclopedia,इन्साइक्लोपीडिया
machgaan,मचगान
profesional,प्रोफेसनल
jeeveshwadarah,जीवेश्वदरः
tahachalamae,ताहाचलमे
rakhitani,रखितनि
nunagar,नुनगर
dainig,डाइनिग
amrawatidarihrasan,अमरावतीदरिहरासँ
bhelhen,भेलहेँ
kuchlo,कुचलो
sankardew,शंकरदेव
mithilasanskrit,मिथिलासंस्कृत
warttmanak,वर्त्तमानक
vebhakyam,वेभक्याम
devataakean,देवताकेँ
tatbandhak,तटबन्धक
mrigaadhipate,मृगाधिपते
sajaati,सजाति
mootrashayme,मूत्राशयमे
pugmaalikasn,पुगमालिकासँ
sahoktau,सहोक्तौ
awaise,आवैसे
ghuriyak,घुरियाक
naiyan,नैयन
sadhaaran,सधारण
thapk,थपके
neetiya,नीतिया
utparivartit,उत्परिवर्तित
sakhaap,सखाप
ghaago,घागो
maariken,मारिकें
prangun,प्राङ्गण
debanji,देबानजी
adhirajkumaari,अधिराजकुमारी
hindoosahk,हिन्दूसभक
sistme,सिस्टमे
kendrka,केन्द्रका
vidyabale,विद्याबले
gothadee,गोठादी
daugale,दौगले
daksa,डाकसँ
koomarkhel,कुमारखेल
kshetravistaarsan,क्षेत्रविस्तारसँ
baunsbaak,बौंसबाक
beesme,बीसमे
putravarge,पुत्रवर्गे
utpalmala,उत्पलमाला
diyaak,दियाक
banyajantuk,वन्यजन्तुक
devdattapatya,देवदत्तापत्य
veshyagaman,वेश्यागमन
adridhata,अदृढ़ता
bhikshuon,भिक्षुओं
eksaree,एकसरि
gahooam,गहूँ
jhamelak,झमेलक
hebaa,हेबा
seohar,सेओहर
encient,एन्सिएन्ट
vrikshsan,वृक्षसँ
habaab,हबाब
kriyadwara,क्रियाद्वारा
bisarau,बिसरउ
uttarardhame,उत्तरार्धमे
shardanandash,शारदानन्दश
hantyajah,हन्त्यजः
meghakantak,मेघाकान्तक
pirokar,पिरोकर
babbar,बब्बर
kavyavastu,काव्यवस्तु
pakshdharah,पक्षधरः
akee,अकी
ragdweshadi,रागद्वेषादि
stoodiyome,स्टूडियोमे
lagaabi,लगाबी
sakbame,सकबामे
uttamnagarme,उत्तमनगरमे
lafarge,लाफार्ज
churakarn,चूड़ाकर्ण
jhingunik,झिंगुनिक
dwikhandan,द्विखण्डन
vishwarath,विश्वरथ
poshakme,पोसाकमे
prataibimbit,प्रतिबिम्बित
tarjaydiv,तर्जयदिव
brajmohnah,ब्रजमोहनाः
papargi,पापरगी
jurmanaak,जुर्मानाक
jaamuni,जामुनि
tiktebala,टिकटेबला
shakbhajik,शाकभाजीक
sugandha,सुगन्ध
safaree,सफरी
wilasi,विलासी
recordings,रेकर्डिंग्स
dordi,दोर्दी
baahupash,बाहुपाश
bachchanadwaaraa,बच्चनद्वारा
karamchandra,करमचन्द
sangitadharit,संगीताधारित
dodhapokharee,दुधपोखरी
aabigel,आबिगेल
chaturteek,चतुर्थीक
prakopak,प्रकोपक
sakkay,सक्कय
udandapanee,उदंडपानी
nanaakke,नानकके
majhsan,माझसँ
maglour,मंगलोर
satyek,सत्येक
gudkes,गुडकेस
chhidhiyaet,छिड़ियाएत
suchintit,सुचिन्तित
santhakra,सान्थाक्रा
ekpatnivrati,एकपत्नीव्रती
lakmerau,लक्मेरौ
mhendralal,महेन्द्रलाल
chinooka,चिनूका
vishyantar,विषयान्तर
dhanme,धनमे
refree,रेफ्री
kharosa,खरोसा
bhawaninathou,भवानीनाथौ
pachhalak,पछालक
renlds,रेनल्ड्स
pradhanik,प्राधानिक
rakhtathi,रखतथि
lalitnibandh,ललितनिबन्ध
mohanchandran,मोहनचन्द्रन
aangiksan,आंगिकसँ
puchhanahi,पुछनहि
dubaisan,दुबईसँ
bodhakrishnadh,बोधकृष्णध
dhiren,धिरेन
musakae,मुसाके
suswasthyapoorn,सुस्वास्थ्यपूर्ण
hunuka,हुनुका
lagbai,लगबै
bangalaamukhee,बँगलामुखी
aagiyepar,आगियेपर
trinvat,तृणवत्
maithiligajalak,मैथिलीगजलक
adhidev,अधिदेव
ghaloo,घालू
bharmabait,भरमाबैत
aehikaat,एहिकात
kansyapatran,कांस्यपात्रं
dukhdayak,दुखदायक
chittahi,चित्तहि
kwaikak,क्वैकक
barkhamae,बर्खमे
gustavas,गुस्तावस
pairagraph,पैराग्राफ
unkarsabhke,उनकरसभके
bhagait,भगैत
pakaave,पकावे
sultanak,सुल्तानक
ugay,उगय
othab,उठाबऽ
pramukhmaa,प्रमुखमा
deerghme,दीर्घमे
hayaaran,हयारण
ramkrishnag,रामकृष्णग
sareeme,साड़ीमे
aancharak,आँचरक
stova,स्टोव
costaricaak,कोस्टारिकाक
vimlanandah,विमलानन्दह
cumpyutarka,कम्प्युटरक
ajirakota,अजिरकोट
yojika,योजिका
milaav,मिलाव
lajjapan,लज्जापन
premiloknik,प्रेमीलोकनिक
sakorsa,सार्कोस
shashwaayamaanastwam,शश्वायमानस्त्वं
guneeshwa,गुणीश्व
bhavishyame,भविष्यमे
boharaak,बोहराक
delas,देलस
chukana,चुकाना
banwelhun,बनवेलहुँ
auvsheshsabhme,अवशेषसभमे
vedikaon,वेदिकाओं
chaliyouk,चलियौक
krantisinehi,क्रांतिसिनेही
sunishchitik,सुनिश्चितिक
kavyopavanme,काव्योपवनमे
bekaare,बेकारे
sudhrat,सुधरत
mngalor,मंगलोर
balaaken,बलाकेँ
chyanthaapu,च्याङथापु
ardhak,अर्धक
munnaajeehmaithileeye,मुन्नाजीःमैथिलीये
sirijek,सिरिजक
rukhime,रुखिमे
shaalihotra,शालिहोत्र
mritvritti,मृतवृत्ति
gainda,गैंडा
siddhsahitya,सिद्धसाहित्य
aatahsancharan,अन्तःसंचरण
chetnatmkroop,चेतनात्मकरूप
karaiyo,करैयो
casillas,क्यासिलास
gangaame,गंगामे
aaroochanaute,आरूचनौटे
hyootan,ह्यूटन
janavaasaa,जनवासा
kalyanadi,कल्याणादि
duryadhansa,दुर्योधनसँ
accountancy,अकाउंटेंसी
hempati,हेमपति
bhussathari,भुस्साथरि
pardaavalaa,पर्दावला
kholaak,खोलाक
dhaarayatu,धारयतु
tispar,तिसपर
daardar,दारदार
aayaa,आया
sarsavatee,सरसवती
shalyaparv,शल्यपर्व
posnihar,पोसनिहार
karyamantree,कार्यमंत्री
aeyo,अइयो
ughbaak,उघबाक
golgala,गोलगला
pkadba,पकड़बा
tulsichokme,तुलसीचोकमे
parmeswaran,परमेस्वरन
maithileeko,मैथिलीको
padhelak,पढ़ेलक
dutallaa,दुतल्ला
uplabdhimoolak,उपलब्धिमूलक
kabite,कबिते
chuname,चुनामे
nevees,नेविस
shaktimae,शक्तिमे
kartabyanishtha,कर्तब्यनिष्ठा
pradakshinapade,प्रदक्षिणपदे
samjhelkain,समझेलकैन
kuldevtaak,कुलदेवताक
bhitrako,भित्रको
moolyaviheen,मूल्यविहीन
kapileshwanar,कपिलेश्वनर
baisenihaar,बैसेनिहार
prashnasean,प्रश्नसँ
myauau,म्याउँ
chandeshwarnath,चन्देश्वरनाथ
bunaik,बुनाईक
vimaanseva,विमानसेवा
ghantaq,घन्टाक
beechha,बीछ
aakashke,आकाशके
pativrataak,पतिव्रताक
marwarak,मारवाड़क
nm,नम
kamans,कमन्स
sanmaarg,सन्मार्ग
vishwaraj,विश्वराज
vidyaalaysabhme,विद्यालयसभमे
samuhale,समुहले
parobalme,परोबलमे
arthaprakriti,अर्थप्रकृति
parmeshwanari,परमेश्वनरी
samastasyaapi,समस्तस्यापि
haltak,हालतक
khaie,कहइ
buaree,बुआरी
heeroinen,हीरोइनें
kahanihaari,कहनिहारि
khung,खुङ
malaayalam,मलायलम
janpathpar,जनपथपर
ardrbhumi,आर्द्रभूमि
parikriyaa,परिक्रिया
umakunda,उमाकुण्ड
munkhyamantri,मुंख्यमंत्री
maikak,माइकक
jhoothak,झूठक
okaard,ओकार्ड
sabeelen,सबीलें
kalaun,कलौं
kaanite,कानिते
hirankashyap,हिरणकश्यप
prawartmanah,प्रवर्तमानः
praivala,पडैवाला
gappu,गप्पू
paricharikak,परिचारिकाक
chokisabh,चौकिसभ
jalamahi,जलामहि
jawanike,जवानीके
achhimaithilik,अछिमैथिलीक
mohindrajeet,मोहिन्द्रजीत
chauthai,चौथाइ
raagaamugaa,रागामुगा
patharasau,पाथरसँ
avlokiteshwar,अवलोकितेश्वर
smarohsabha,समारोहसभ
jhulaave,झुलावे
anushashit,अनुशासित
kshatriyaviheen,क्षत्रियविहीन
geetoktimashritya,गीतोक्तिमाश्रित्य
rajamaharaja,राजामहाराजा
bhavhinta,भावहीनता
aadiksan,आदिकसँ
nainbagak,नैनबागक
manaath,मनाथ
paketkharchak,पाकेटखर्चाक
gireeshwahar,गिरीश्वहर
prashasansyanubhavah,प्रशासनस्यानुभवः
tootalo,टूटलो
pagalkhannak,पगलखन्नाक
namini,नामिनी
dikshendra,दिक्षेन्द्र
rudradattah,रुद्रदत्तः
chhichhale,छिछले
saintee,सैंति
noksani,नोकसानी
gajgamini,गजगामिनी
chhatrakalasya,छात्रकालस्य
african,अफ्रिकन
sahityatkar,साहित्यतकार
adyetyadi,अद्येत्यदि
kaineri,कैनेरी
shiriman,शिरिमान
manmaujeek,मनमौजीक
khelariharu,खेलाडीहरु
bauyaa,बौया
khambharahit,खंभारहित
choanchaak,चोँचाक
guaangzou,गुआङजौ
balgariya,बल्गारिया
mrityusthan,मृत्युस्थान
bartmanak,बर्तमानक
authroscopic,ऑथ्रोस्कोपिक
bhumikasabh,भुमिकासभ
hichkichai,हिचकिचाइ
chekak,चेकक
pahunchaate,पहुँचाते
silondweep,सिलोनद्वीप
pratikriyaah,प्रतिक्रियाः
purainiyaak,पुरैनियाक
lplpabait,लपलपबैत
karunanand,करुणानन्द
dendu,देन्दु
akbardwaara,अकबरद्वारा
jhamatgr,झमटगर
keralk,केरलक
nidhika,निधिका
gaddheeke,गढीके
kaiso,कैसो
pasraha,पसराहा
barpetame,बारपेटामे
saartifiket,सार्टिफिकेट
kaisen,कैसेन
shankaro,शंकरो
yaapinak,यापिङक
audhoot,औधूत
kubhakha,कुभाखा
bhashanushasan,भाषानुशासन
subharee,सुभारी
shreegaon,श्रीगाउँ
sangineek,संगिनीक
seeded,सीडेड
nenatwa,नेनत्व
vishnunch,विष्णुंच
ghoospaithiyak,घूसपैठियाक
turkistani,तुर्किस्तानी
foolmhail,फूलम्हैल
jayantpur,जयन्तपुर
suratk,सूरतक
vidyaray,विद्याराय
vidhwansaatmak,विध्वंसात्मक
anooradhaak,अनुराधाक
sangbahina,संगबहिना
patpataulkai,पटपटौलकै
vasnasau,वासनासँ
sutauyagyik,सुतौयाज्ञिक
daekhaika,देखैक
rukshar,रुक्सार
ashuli,असूली
chhhee,छही
tolget,टोलगेट
ketano,केतनो
yatetsda,यतेत्सदा
padkanj,पदकंज
stires,स्टायर्स
baisaole,बैसाओल
seekhlathi,सीखलथि
