natiji,ਨਤੀਜੀ
tandrut,ਤੰਦਰੁਤ
kitiaan,ਕਿਤੀਆਂ
dianidhi,ਦਿਆਨਿਧੀ
guterres,ਗੁਤੇਰਸ
ricktar,ਰਿਕਟਰ
nashile,ਨਸ਼ੀਲੇ
sporeran,ਸਪੋਰਰਾਂ
stephylococcus,ਸਟੀਫਾਈਲੋਕੋਕਸ
fairs,ਫੇਅਰਜ਼
lohajang,ਲੋਹਾਜੰਗ
nanank,ਨਾਨਕ
dhamik,ਧਾਮਿਕ
libertition,ਲਿਬਰਟਿਸ਼ਨ
parthasarthi,ਪਾਰਥਾਸਾਰਥੀ
venkatra,ਵੈਂਕਟਰਾ
mantega,ਮੰਟੇਗਾ
nibhahiaan,ਨਿਭਾਹੀਆਂ
deconess,ਡੀਕੋਨੇਸ
singsh,ਸਿੰਗਸ਼
breakthroos,ਬ੍ਰੇਕਥਰੂਸ
naukratan,ਨੌਕਰਾਤਾਂ
trascan,ਟਰਾਸਕਨ
kuchajjiaan,ਕੁਚੱਜੀਆਂ
kramnik,ਕਰੈਮਨਿਕ
surrkhud,ਸੁੱਰਖੁਦ
paushik,ਪੌਸ਼ਿਕ
kaahin,ਕਾਹੀਂ
tromso,ਟਰੋਮਸੋ
uprot,ਉਪਰੋਤ
neetam,ਨੀਤਮ
nirotrophic,ਨਾਈਰੋਟ੍ਰੋਫਿਕ
fibrosis,ਫਾਈਬਰੋਸਿਸ
yankova,ਯਾਨਕੋਵਾ
superitendent,ਸੁਪਰੀਟੈਂਡੇਂਟ
bekunnit,ਬੇਕੁੰਨਿਤ
maingan,ਮੈਂਗਨ
lidstone,ਲਿਡਸਟੋਨ
zapper,ਜ਼ੈਪਰ
chocolace,ਚਾਕਲੇਸ
hfc,ਐੱਚਐੱਫਸੀ
midro,ਮਿਦਰੋ
danskar,ਡਾਂਸਕਰ
munafik,ਮੁਨਾਫਿਕ
unbitable,ਅਨਬੀਟੇਬਲ
larissa,ਲਾਰੀਸਾ
sambhalna,ਸੰਭਾਲਨਾ
panoli,ਪਨੋਲੀ
majakan,ਮਜਾਕਾਂ
workout,ਵਰਕਆਊਟ
christenson,ਕ੍ਰਿਸਟੈਨਸਨ
winni,ਵਿੰਨੀ
mcdonnell,ਮੈਕਡੌਨਲ
cortship,ਕੌਰਟਸ਼ਿਪ
nacchenga,ਨੱਚੇਂਗਾ
gorgan,ਗੋਰਗਨ
roitfel,ਰੋਇਟਫੇਲ
lamot,ਲਾਮੋਟ
patrinst,ਪੈਟਰਿਨਸਟ
mastuxats,ਮਾਸਟੁਕਸੈਟਸ
badlida,ਬਦਲੀਦਾ
irsdc,ਆਈਆਰਐਸਡੀਸੀ
whatsapp,ਵੱਟਸਐਪ
proteese,ਪ੍ਰੋਟੀਸੇ
papets,ਪਪੇਟਸ
muaz,ਮੁਆਜ਼
husinavan,ਹੁਸੀਨਾਵਾਂ
obsticks,ਆਬਸਟਿਕਸ
hashiara,ਹਸ਼ਿਆਰਾ
pishchaki,ਪਿਸ਼ਚਕੀ
rinnestone,ਰਿੰਨੇਸਟੋਨ
nimuda,ਨਿਮੁੜਾ
sopranono,ਸੋਪਰਾਨੋਨੋ
ranwant,ਰਨਵੰਤ
jaismeen,ਜੈਸਮੀਨ
zelensky,ਜੇਲੈਂਸਕੀ
appdiaan,ਅੱਪੜਿਆਂ
unorganized,ਅਨਆਰਗੇਨਾਈਜ਼ਡ
jhilmalaundiyan,ਝਿਲਮਲਾਉਂਦੀਆਂ
holms,ਹੋਲਮਜ਼
dhamkauda,ਧਮਕਾਉਦਾ
sarabviaapik,ਸਰਬਵਿਆਪਿਕ
mukhri,ਮੁਖਰੀ
mizam,ਮਿਜ਼ਮ
rutile,ਰੂਟਾਈਲ
icelandsy,ਆਈਸਲੈਂਡਸੀ
villages,ਵਿਲੇਜ
richmond,ਰਿਚਮੰਡ
akhwaundi,ਅਖਵਾਉਂਦੀ
deekurbani,ਦੀਕੁਰਬਾਨੀ
samjhotiaan,ਸਮਝੌਤਿਆਂ
prejector,ਪ੍ਰੈਜੈਕਟਰ
sanghrerri,ਸੰਘਰੇੜੀ
astract,ਐਸਟ੍ਰੈਕਟ
overvingering,ਓਵਰਵਿੰਗਰਿੰਗ
aforesaid,ਆਫੋਰਸਿਡ
bhulavna,ਭੁਲਾਵਨਾ
diaping,ਡਾਈਪਿੰਗ
oxynant,ਆਕਸੀਨੈਂਟ
paushtik,ਪੌਸ਼ਟਿਕ
treatline,ਟ੍ਰੀਟਲਾਈਨ
ruthe,ਰੂਠੇ
mehaldar,ਮਹਿਲਦਾਰ
ramna,ਰਮਣਾ
reciprocal,ਰੇਸੀਪ੍ਰੋਕਲ
bhupindra,ਭੁਪਿੰਦਰਾ
yosemiti,ਯੋਸੇਮਿਟੀ
rajnareet,ਰਾਜਨਰੀਤ
brindley,ਬਰਿੰਡਲੀ
anaap,ਅਨਾਪ
pachananyog,ਪਛਾਨਣਯੋਗ
binsahi,ਬਿਨਸਾਹੀ
qutbi,ਕੁਤਬੀ
neesing,ਨੀਸਿੰਗ
majman,ਮਜਮਾਂ
sonemajra,ਸੋਨੇਮਾਜਰਾ
panchmahal,ਪੰਚਮਹਲ
sainkadi,ਸੈਂਕੜੀ
cyclotron,ਸਾਈਕਲੋਟ੍ਰੋਨ
cabinetan,ਕੈਬੀਨੇਟਾਂ
grehounds,ਗ੍ਰੇਹਾਉਂਡਸ
hydrodic,ਹਾਈਡਰੋਡਿਕ
hastam,ਹਸਤਮ
suderdant,ਸੁਡਰਡੈਂਟ
ongbumurangpan,ਓਂਗਬੁਮੁਰੰਗਪਾਨ
gaaven,ਗਾਵੇਂ
authe,ਓਥੇ
bhambli,ਭੰਬਲੀ
sarvaswati,ਸਰਵਸਵਤੀ
amkika,ਅਮਕੀਕਾ
agnessi,ਅਗਨੇਸੀ
gurik,ਗੁਰੀਕ
ochkov,ਓਚਕੋਵ
singhal,ਸਿੰਗਲ
metastasis,ਮੇਟਾਸਟੇਸਿਸ
terrenosaures,ਟੇਰੇਨੋਸੌਰੇਸ
saajinde,ਸਾਜ਼ਿੰਦੇ
naihira,ਨੈਹਿਰਾ
bagtha,ਬਾਗਥਾ
aggressive,ਐਗਰੇਸਿਵ
charhad,ਚੜ੍ਹਦ
wingington,ਵਿੰਗਿੰਗਟਨ
devedra,ਦੇਵੇਦਰ
dhadalleh,ਧੜੱਲੇ੍ਹ
hochhe,ਹੋਛੇ
supertedt,ਸੁਪਰਟੈਡਟ
adharan,ਆਧਾਰਾਂ
dekhidiaan,ਦੇਖਿਦਿਆਂ
mutahit,ਮੁਤਾਹਿਤ
saputra,ਸਪੁੱਤਰਾ
androck,ਐਂਡਰੋਕ
eurasian,ਯੂਰਸੀਅਨ
jayanand,ਜਯਾਨੰਦ
sudhendu,ਸੁਧੇਂਦੂ
jangaljat,ਜੰਗਲਜਾਤ
francistan,ਫਰਾਂਸਿਸਤਾਨ
indepands,ਇੰਡੀਪੈਂਡਸ
harkriti,ਹਰਕ੍ਰਿਤੀ
khrchian,ਖਰਚਿਆਂ
magsipa,ਮੈਗਸੀਪਾ
slammers,ਸਲੈਮਰਸ
niknama,ਨਿਕੰਮਾ
lockf,ਲੌਕਫ
coniflower,ਕਨੀਫਲਾਵਰ
pursarthi,ਪੁਰਸਾਰਥੀ
dhiaavahe,ਧਿਆਵਹੇ
grapeseed,ਗਰੇਪਸੀਡ
gulabinagar,ਗੁਲਾਬੀਨਗਰ
narauli,ਨਰੌਲੀ
comey,ਕੋਮੇ
raioshonki,ਰਾਇਓਸ਼ੋਨਕੀ
teemda,ਟੀਮਦਾ
leming,਼ਲੈਮਿੰਗ
notices,ਨੋਟਿਸ
sherdon,ਸ਼ੇਰਡਨ
ghania,ਘਣੀਏ
asangit,ਅਸੰਗਿਤ
antihistamine,ਐਂਟੀਹਿਸਟਾਮਾਇਨ
reporting,ਰਿਪੋਰਟਿੰੰਗ
narsimman,ਨਰਸਿੰਮਨ
hamliaan,ਹਮਲਿਆਂ
corpentry,ਕਾਰਪੇਂਟਰੀ
jhakhpadiaan,ਝੱਖਪੜੀਆਂ
navajian,ਨਵਾਜੀਆਂ
niponka,ਨਿਪੋਂਕਾ
alanis,ਅਲਾਨਿਸ
panktata,ਪੰਕਤਾਟਾ
atriplifolia,ਐਟ੍ਰਿਪਲੀਫੋਲੀਆ
sergo,ਸੇਰਗੋ
expantable,ਐਕਸਪੈਨਟੇਬਲ
neepeeair,ਨੇਪੀਅਰ
humingbirds,ਹਿਊਮਿੰਗਬਰਡਸ
baitho,ਬੈਠੋ
fonation,ਫੋਨੇਸ਼ਨ
darjia,ਦਰਜੀਆ
haridarapala,ਹਰਿੰਦਰਪਾਲ
sumalatha,ਸੁਮੁਲਤਾ
dromdery,ਡ੍ਰੋਮਡੇਰੀ
vanda,ਵੰਡਾ
polenta,ਪੋਲੇਂਟਾ
sarnarthia,ਸਰਨਾਰਥੀਆ
platosaurs,ਪਲਾਟੋਸੌਰਸ
riveer,ਰਿਵੀਰ
jodunia,ਜੋਦੁਨੀਆ
huihua,ਹੁਈਹੁਆ
nusli,ਨੁਸਲੀ
sureswala,ਸੁਰੇਸਵਾਲਾ
gijal,ਗਿਜਲ
iriick,ਏਰਿਕ
naubar,ਨੌਬਰ
pawran,ਪਾਵਰਾਂ
yuyuki,ਯੂਯੂਕੀ
clado,ਕਲਾਡੋ
kaspersky,ਕੈਸਪਰਸਕੀ
narghat,ਨਾਰਘਾਟ
palanisami,ਪਲਾਨੀਸਾਮੀ
veli,ਵੈਲੀ
dittahi,ਦਿੱਤਹੀ
vaishnava,ਵੈਸ਼ਣਵ
ferozpuriye,ਫਿਰੋਜਪੁਰੀਏ
hamlavarkan,ਹਮਲਾਵਰਕਾਂ
rakpur,ਰਕਪੁਰ
ghamandi,ਘਮੰਡੀ
cafolia,ਕੈਫੋਲੀਆ
kuvikk,ਕੁਵਿੱਕ
bagino,ਬਾਗੀਨੋ
pattwatte,ਪੱਤਵੱਤੇ
danpeti,ਦਾਨਪੇਟੀ
turbalo,ਟਰਬਲੋ
lcm,ਐਲਸੀਐਮ
navapind,ਨਵਾਪਿੰਡ
totlapan,ਤੋਤਲਾਪਨ
bodhatmak,ਬੋਧਾਤਮਕ
ghanaiya,ਘਨ੍ਹੱਈਆ
gujiaan,ਗੁਜੀਆਂ
versator,ਵਰਸੇਟਰ
cole,ਲਿਲੀ
bilami,ਬਿਲਾਮੀ
lubek,ਲੁਬੇਕ
charcotsville,ਚਾਰਕੌਟਸਵਿਲੇ
vaann,ਵਾਣ
karkhan,ਕਾਰਖਾਨ
gustapian,ਗੁਸਤਾਪੀਆਂ
nasalwadie,ਨਸਲਵਾੜੀਏ
palakjot,ਪਲਕਜੋਤ
overstate,ਓਵਰਸਟੇਟ
rushmail,ਰਸ਼ਮੇਲ
veterance,ਵੈਟਰੰਸ
vangaran,ਵੰਗਾਰਨ
hastakharta,ਹਸਤਾਖਰਤਾ
dawaaee,ਦਵਾਈ
intergrated,ਇੰਟਰਗ੍ਰੇਟਡ
kanikha,ਕਨਿਖਾ
mirgan,ਮਿਰਗਾਂ
dukhandiaan,ਦੁਖਾਂਦੀਆਂ
sadbhavpuran,ਸਦਭਾਵਪੂਰਨ
padartan,ਪਦਾਰਤਾਂ
hashinger,ਹੈਸ਼ਿੰਗਰ
skit,ਸਕਿਟ
khatakaran,ਖਾਤਾਕਾਰਾਂ
bhobgyal,ਭੋਬਗਿਆਲ
shelgao,ਸ਼ੈਲਗਾਓ
nanobute,ਨੈਨੋਬਿਊਟ
kian,ਕਿਆਨ
suchetanta,ਸੁਚੇਤਨਤਾ
kultardeep,ਕੁਲਤਾਰਦੀਪ
ucchahar,ਉੱਚਾਹਾਰ
daudavega,ਦੌੜਾਵੇਗਾ
nalshan,ਨਾਲਸ਼ਾਂ
mehmadipur,ਮਹਿਮਦੀਪੁਰ
siphonophore,ਸਿਫੋਨੋਫੋਰ
augur,ਆਗਰ
chapwaia,ਛਪਵਾਇਆ
crouch,ਕਰੌਚ
foril,ਫੋਰਿਲ
imamnasar,ਇਮਾਮਨਾਸਰ
minicipal,ਮਿਨੀਸੀਪਲ
commandt,ਕਮਾਂਡਟ
shamima,ਸ਼ਮੀਮਾ
restaran,ਰੈਸਟਰਾਂ
particulate,ਪਾਰਟਿਕੁਲੇਟ
thouter,ਥੌਟਰ
samjhautian,ਸਮਝੌਤਿਆਂ
shupaun,ਛੁਪਾਉਣ
rahigiaa,ਰਹਿਗਿਆ
gugten,ਗੁਗਟੇਨ
harrity,ਹੈਰਿਟੀ
broosed,ਬਰੂਸਡ
richarva,ਰਿਚਰਵਾ
homofobii,ਹੋਮੋਫੋਬੀ
fermidt,ਫਰਮਿਡਟ
guggler,ਗੁਗਲਰ
tabraiz,ਟਾਬਰੇਜ
seiba,ਸੇਈਬਾ
pueblos,ਪੁਏਬਲੋਸ
tarzaba,ਤਰਜ਼ਬਾ
battlefide,ਬੈਟਲਫਾਈਡ
sarganiaan,ਸਰਗਨਿਆਂ
tugga,ਤੁੱਗਾ
samleti,ਸਮਲੇਟੀ
ajimpura,ਅਜੀਮਪੁਰਾ
dhapai,ਢੈਪਈ
accountability,ਅਕਾਊਂਟੇਬਿਲੀਟੀ
gokani,ਗੋਕਾਨੀ
pachtake,ਪਛਤਾਕੇ
insampektar,ਇਨਸੰਪੈਕਟਰ
venniie,ਵਿੰਨੀ
mamiaa,ਮਾਮਿਆ
borwali,ਬੋਰਵਾਲੀ
tikanda,ਟਿਕਾਂਦਾ
pikach,ਪਿਕਚ
vempanog,ਵੈਂਪਾਨੌਗ
jagpal,ਜਗਪਾਲ
trifles,ਟ੍ਰਾਈਫ਼ਲਜ਼
monto,ਮੋਂਟੋ
rapplel,ਰੈਪਲਲ
aupra,ਔਪਰਾ
basraae,ਬਸਰਾਏ
sharasar,ਸ਼ਰਾਸਰ
jeponica,ਜੇਪੋਨਿਕਾ
doubles,ਡਬਲਜ਼
sangoshti,ਸੰਗੋਸ਼ਟੀ
mishela,ਮਿਸ਼ੇਲਾ
sabilan,ਸਬੀਲਾਂ
liaain,ਲਿਆਈਂ
monini,ਮੋਨੀਨੀ
bijji,ਬਿੱਜੀ
memberpahilan,ਮੈਂਬਰਪਹਿਲਾਂ
vidhanta,ਵਿਧਾਂਤਾ
piar,ਪਿਆਰ
nagei,ਨਾਗੇਈ
anrudh,ਅਨਰੁਧ
majeetheea,ਮਜੀਠੀਆ
hakumatwala,ਹਕੂਮਤਵਾਲਾ
hentz,ਹੈਂਟਜ਼
ramaiyah,ਰਾਮਈਆ
sewamukt,ਸੇਵਾਮੁਕਤ
singhaniaa,ਸਿੰਘਣੀਆ
khaudanka,ਖੌਡਾਂਕਾ
pallehdaran,ਪੱਲ੍ਹੇਦਾਰਾਂ
gurbaran,ਗੁਰਬਰਨ
starthmaro,ਸਟਾਰਥਮਰੋ
phurteela,ਫੁਰਤੀਲਾ
amefora,ਅਮੇਫੋਰਾ
clona,ਕਲੋਨਾ
opeke,ਓਪੇਕੇ
vajur,ਵਜੂਰ
uachta,ਉੱਚਤਾ
ecclist,ਇਕਲਿਸਟ
trineets,ਤ੍ਰਿਨੀਤਸ
groob,ਗਰੂਬ
fanjal,ਫੰਜਾਲ
sportskar,ਸਪੋਰਟਸਕਾਰ
bustan,ਬੁਸਤਾਨ
aadonis,ਆਡੋਨਿਸ
kappte,ਕੱਪਤੇ
vamboi,ਵਾਂਬੋਈ
benchi,ਬੈਂਚੀ
aerodynamic,ਏਰੋਡਾਇਨਾਮਿਕ
akavan,ਅਕਾਵਾਂ
finantation,ਫਾਈਨੈਂਟੇਸ਼ਨ
naslihamliaan,ਨਸਲੀਹਮਲਿਆਂ
vincenzo,ਵਿੰਸੇਨਜ਼ੋ
ibraim,ਇਬਰਾਇਮ
sabootan,ਸਬੂਤਾਂ
daimiye,ਦੈਮੀਏ
sevamuk,ਸੇਵਾਮੁਕ
daurauna,ਦੌਰਾਉਣਾ
himmet,ਹਿੰਮਤ
aenal,ਐਨਲ
ragusa,ਰਾਗੂਸਾ
bisoli,ਬਿਸੋਲੀ
mullak,ਮੁੱਲਕ
ransamar,ਰਣਸਮਰ
velang,ਵੇਲੰਗ
manohan,ਮਨੋਹਨ
raktadantika,ਰਕਤਦੰਤਿਕਾ
sandanand,ਸੰਦਾਨੰਦ
leukemia,ਲਿਉਕੀਮੀਆ
bernakino,ਬਰਨਾਕਿਨੋ
radiology,ਰੇਡੀਓਲੌਜੀ
proteases,ਪ੍ਰੋਟੀਜ਼
santapa,ਸੰਤਾਪਾ
futbali,ਫੁਟਬਾਲੀ
sta,ਸਟਾ
santuri,ਸੰਤੂਰੀ
aulsan,ਔਲਸਨ
saindar,ਸੈਂਦਰ
varputtur,ਵਰਪੁੱਤੂਰ
boardpusher,ਬੋਰਡਪੱਸ਼ਰ
shohratgarh,ਸ਼ੋਹਰਾਤਗੜ੍ਹ
afflubin,ਅਫਲੂਬੀਨ
dholarmajra,ਢੋਲਰਮਾਜਰਾ
derivate,ਡੈਰੀਵੇਟ
khichad,ਖਿੱਚੜ
musabba,ਮੁਸੱਬਾ
muneej,ਮੁਨੀਜ
bogging,ਬੋਗਿੰਗ
jabebandi,ਜਬੇਬੰਦੀ
etiquette,ਐਟੀਕੇਟ
harkhowalie,ਹਰਖੋਵਾਲੀਏ
belwari,ਬੇਲਵਾਰੀ
drishtiyak,ਦ੍ਰਿਸ਼ਟੀਯਕ
shareen,ਸ਼ਰੀਨ
brandcastran,ਬਰਾਂਡਕਾਸਟਰਾਂ
nivavanga,ਨਿਵਾਵਾਂਗਾ
tamgadhari,ਤਮਗਾਧਾਰੀ
nariat,ਨਾਰੀਅਤ
cockers,ਕੋਕਰਜ਼
prachavan,ਪ੍ਰਚਾਵਾਂ
sutlanpur,ਸੁਤਲਾਨਪੁਰ
chaavi,ਚਾਵੀ
icheveria,ਇਚੇਵੇਰੀਆ
makhowal,ਮੱਖੋਵਾਲ
babeka,ਬਾਬੇਕਾ
dhikaranbare,ਧਿਕਾਰਾਂਬਾਰੇ
akadmikk,ਅਕਾਦਮਿੱਕ
guskov,ਗੁਸਕੋਵ
angura,ਅੰਗੂਰਾ
nerere,ਨੇਰੇਰੇ
bramptonwich,ਬਰੈਂਪਟਨਵਿਚ
buganda,ਬੁਗੰਦਾ
pielder,ਪੀਲਡਰ
paaqistaan,ਪਾਕਿਸਤਾਨ
travelators,ਟਰੈਵਲੇਟਰਸ
laporte,ਲਾਪੋਰਟੇ
migrating,ਮਾਈਗਰੇਟਿੰਗ
kamlia,ਕਮਲੀਆ
kanubhai,ਕਨੂਭਾਈ
chrysotile,ਕ੍ਰਾਈਸੋਟਾਈਲ
lutkhane,ਲੁੱਟਖਾਨੇ
lochak,ਲੋਚਕ
chlomid,ਕਲੋਮਿਡ
devbhumi,ਦੇਵਭੂਮੀ
padeliaan,ਪੜੇਲੀਆਂ
hauptmann,ਹੌਪਟਮਾਨ
salna,ਸਾਲਨਾ
budhiwan,ਬੁਧੀਵਾਨ
yadram,ਯਾਦਰਾਮ
muhing,ਮੁਹਿੰਗ
annies,ਐਨੀਜ਼
sakubi,ਸਕੂਬੀ
chogu,ਚੋਗੂ
wazam,ਵਜ਼ਮ
usarani,ਉਸਾਰਨੀ
zargar,ਜ਼ਰਗਾਰ
adhikarshali,ਅਧਿਕਾਰਸ਼ਾਲੀ
bhanhna,ਭੰਨ੍ਹਣਾ
sarpanchan,ਸਰਪੰਚਾਂ
rusde,ਰੁਸਦੇ
jagdip,ਜਗਦੀਪ
medenhead,ਮੇਡਨਹੈੱਡ
esty,ਐਸਟੀ
chwabbaka,ਚਵੱਬਾਕਾ
tandarust,ਤੁੰਦਰੁਸਤ
greening,ਗਰੀਨਿੰਗ
dilak,ਦਿਲਕ
exfolitating,ਐਕਸਫੋਲੀਟੇਟਿੰਗ
parwazan,ਪਰਵਾਜ਼ਾਂ
lathichaj,ਲਾਠੀਚਾਜ
mantani,ਮੰਤਨੀ
avramidou,ਅਵਰਾਮਿਡੋ
rajwahiaa,ਰਜਵਾਹਿਆ
vizigothic,ਵਿਜ਼ੀਗੋਥਿਕ
fooldar,ਫੂਲਦਾਰ
malkajgiri,ਮਲਕਾਜਗਿਰੀ
strents,ਸਟ੍ਰੈਂਟਸ
rumpton,ਰਮਪਟਨ
gaggomal,ਗੱਗੋਮਾਲ
draw,ਡ੍ਰਾ
celest,ਸੇਲੇਸਟ
chandrabhani,ਚੰਦਰਭਾਨੀ
declassify,ਡੀਕਲਾਸੀਫਾਈ
catamaran,ਕਟਮਾਰਨ
calderon,ਕਾਲਡੇਰੋਨ
kagujari,ਕਾਗੁਜਾਰੀ
gurpramanan,ਗੁਰਪ੍ਰਮਾਣਾਂ
kadvahat,ਕੜਵਾਹਟ
haelamet,ਹੈਲਮੇਟ
tissues,ਟਿਸ਼ੂਜ
dario,ਡਾਰਿਓ
hadaiaa,ਹਦਾਇਆ
pedongi,ਪੇਡੋਂਗੀ
deverbal,ਡੀਵਰਬਲ
astand,ਅਸਟਾਂਡ
rigasbi,ਰਿਗਸਬੀ
hinat,ਹਿਨਤ
irr,ਆਈਆਰਆਰ
caromboard,ਕੈਰਮਬੋਰਡ
khariz,ਖ਼ਾਰਿਜ਼
berohi,ਬੇਰੋਹੀ
regard,ਰੇਗਾਰਡ
eporabia,ਈਪੋਰੇਬੀਆ
kirmach,ਕਿਰਮਚ
premixed,ਪ੍ਰੀਮਿਕਸਡ
nirjitpal,ਨਿਰਜੀਤਪਾਲ
ravie,ਰਵੀ
jakhwali,ਜਖਵਾਲੀ
hardoin,ਹਾਰਡੌਇਨ
venkalran,ਵੈਂਕਲਰਾਂ
kangawale,ਕੰਗਾਵਾਲੇ
harimand,ਹਰਿਮੰਦ
sunecha,ਸੁਨੇਚਾ
kotpa,ਕੋਟਪਾ
jaco,ਜਾਕੋ
gabbhar,ਗੱਭਰ
parmantri,ਪ੍ਰਮੰਤਰੀ
aalan,ਆਲਾਂ
tsa,ਟੀਐੱਸਏ
shilpgram,ਸ਼ਿਲਪਗ੍ਰਾਮ
skinhal,ਸਕਿਨਹਲ
blusmate,ਬਲਸਮੇਟ
lyft,ਲਿਫਟ
dalildar,ਦਲੀਲਦਾਰ
transhipment,ਟ੍ਰਾਂਸਸ਼ਿਪਮੈਂਟ
byzantium,ਬਾਇਜ਼ੈਂਟੀਅਮ
vinta,ਵਿੰਟਾ
rollback,ਰੋਲਬੈਕ
menin,ਮੇਨਿਨ
naramjit,ਨਰਮਜੀਤ
haijoantarrashtri,ਹੈਜੋਅੰਤਰਰਾਸ਼ਟਰੀ
basawatan,ਬਸਾਵਟਾਂ
formalin,ਫਾਰਮਲਿਨ
stuart,ਸਟੂਅਰਟ
maalam,ਮਾਲਮ
vaikansi,ਵੈਕੰਸੀ
jasnap,ਜਸਨਪ
hubballi,ਹੁੱਬਲੀ
skaters,ਸਕੇਟਰਸ
sutekes,ਸੁਟੇਕੇਸ
tenores,ਟੈਨੋਰਸ
katiala,ਕਟਿਆਲਾ
kinz,ਕਿੰਜ਼
orpek,ਓਰਪੇਕ
breastbone,ਬ੍ਰੇਸਟਬੋਨ
mahattam,ਮਹੱਤਮ
pradhikaran,ਪ੍ਰਾਧਿਕਰਨ
pendugam,ਪੇਂਡੂਗਮ
sigh,ਸਿਘ
mehrajuddin,ਮੇਹਰਾਜੁਦੀਨ
yusko,ਯੂਸਕੋ
virre,ਵਿੱਰੇ
sillimnat,ਸਿਲੀਮਨਾਟ
blominal,ਬਲੋਮੀਨਲ
nikshe,ਨਿਕਸ਼ੇ
sidhwani,ਸਿਧਵਾਨੀ
ganrajkenari,ਗਣਰਾਜਕੇਨਾਰੀ
vahik,ਵਹਿਕ
naryal,ਨਰਿਆਲ
nivirati,ਨਿਵਿਰਤੀ
ragghu,ਰੱਘੂ
baloana,ਬਲੋਆਣਾ
sarkofegi,ਸਰਕੋਫੇਗੀ
chipt,ਚਿਪਟ
pakaki,ਪਕਾਕੀ
cripbage,ਕ੍ਰਿਪਬੇਜ
boonovsky,ਬੂਨੋਵਸਕੀ
swaundiyan,ਸਵਾਉਂਦੀਆਂ
chattipura,ਚੱਟੀਪੁਰਾ
pichkianglan,ਪਿਚਕੀਆਂਗਲਾਂ
dumana,ਦੁਮਾਣਾ
shitar,ਸ਼ਿਤਾਰ
varvala,ਵਰਵਾਲਾ
mukhbiri,ਮੁਖਬਿਰੀ
fanite,ਫੈਨਾਈਟ
polishchuk,ਪੌਲਿਸ਼ਚੁਖ
abrah,ਅਬਰਾਹ
dukandara,ਦੁਕਾਨਦਾਰਾ
laljit,ਲਾਲਜੀਤ
sikhniaa,ਸਿੱਖਣੀਆ
furmah,ਫੁਰਮਾਹ
gremandi,ਗਰੇਮੰਡੀ
cycatric,ਸਾਈਕੈਟ੍ਰਿਕ
jinnsi,ਜਿਣਸੀ
dhurkot,ਧੁਰਕੋਟ
cornforth,ਕੌਰਨਫੋਰਥ
lijao,ਲਿਜਾਓ
kokkinakis,ਕੋਕੀਨਾਕਿਸ
supanmayi,ਸੁਪਨਮਈ
kalsia,ਕਲਸੀਆ
sadhaye,ਸਧਾਏ
bhidan,ਭੀੜਾਂ
janchiya,ਜਾਂਚਿਆ
busauv,ਬੁਸੌਵ
ascent,ਅਸੈਂਟ
polyologistian,ਪਾਲੀਓਲੋਜਿਸਟੀਆਂ
garbhati,ਗਰਭਤੀ
begun,ਬੇਗਨ
skyfall,ਸਕਾਈਫਾਲ
tarasingh,ਤਾਰਾਸਿੰਘ
cytesic,ਸਾਈਟਸਿਕ
eastock,ਈਸਟਾਕ
kazakov,ਕਾਜਾਕੋਵ
harsukhmanjot,ਹਰਸੁਖਮਨਜੋਤ
anarit,ਅਨਾਰਿਤ
padamshari,ਪਦਮਸ਼ਰੀ
parnavi,ਪਰਨਵੀ
swakopmand,ਸਵਕੋਪਮੰਡ
hmel,ਐੱਚਐੱਮਈਐੱਲ
asih,ਅਸਿਹ
bahiriaan,ਬਹਿਰਿਆਂ
cottations,ਕੋਟੇਸ਼ਨਜ਼
pujjoge,ਪੁੱਜੋਗੇ
jamaeken,ਜਮੈਕੇਨ
darwajio,ਦਰਵਾਜਿਓ
nainlan,ਨੈਨਲਾਂ
kilimenjro,ਕਿਲੀਮੈਂਜਰੋ
yuvrajs,ਯੁਵਰਾਜ
frankan,ਫ੍ਰੈਂਕਾਂ
davina,ਦਾਵੀਨਾ
ashawarkar,ਆਸ਼ਾਵਰਕਰ
dalalan,ਦਲਾਲਾਂ
shimari,ਸ਼ਿਮਾਰੀ
darwajen,ਦਰਵਾਜੇਂ
kadkiaan,ਕੜਕੀਆਂ
talitha,ਤਲੀਥਾ
saifi,ਸੈਫੀ
nulz,ਨਲਜ਼
horsansadmembaran,ਹੋਰਸੰਸਦਮੈਂਬਰਾਂ
chaunagra,ਚੌਨਗਰਾ
vishwasurayya,ਵਿਸ਼ਵਸੁਰੱਈਆ
chintava,ਚਿੰਤਾਵਾ
kimwar,ਕਿਮਵਾਰ
kandharasana,ਕੰਧਰਾਸਨ
mirdul,ਮਿਰਦੂਲ
deadboltan,ਡੈੱਡਬੋਲਟਾਂ
sukhsarkaria,ਸੁੱਖਸਰਕਾਰੀਆ
maniana,ਮਨੀਆਣਾ
votebandi,ਵੋਟਬੰਦੀ
montefsco,ਮੋਂਟੇਫਸਕੋ
glovested,ਗਲੋਵੈਸਟਿਡ
chathli,ਚਾਠਲੀ
sanvlio,ਸਾਂਵਲੀਓ
tocker,ਟੌਕਰ
rousseff,ਰੌਸੈਫ
enecvality,ਇਨੈਕਵੈਲਿਟੀ
pachtauge,ਪਛਤਾਉਗੇ
punjabdidharti,ਪੰਜਾਬਦੀਧਰਤੀ
