sharda,شاردا
agalo,اگالو
aizapahancha,ایذاپہنچا
totiyarhoja,توتیارہوجا
sashilgiri,سشیلگیری
andarkarna,اندرکرنا
doklab,دوکلب
stacklof,اسٹیکلوف
naasakh,ناسخ
ramchandrara,رامچندرارا
abughara,ابوغرا
kachdo,کچڑو
razlat,رزلٹ
ankokoran,انکوکوران
tory,ٹوری
jabgal,جبگل
rehbarawar,رہبراور
hatyabu,حتیابو
apawar,اپاور
koptahunachahi,کوپتاہوناچاہی
lanchal,لنچل
karwanahoga,کرواناہوگا
koromandal,کورومنڈل
chahiyejahan,چاہیےجہاں
bahzu,بحضو
inhasarsarf,انحصارصرف
buny,بنی
agarmanzor,اگرمنظور
tezbolarz,تیزبولرز
watsters,واٹسٹرز
qazeel,قزیل
wasikosoki,واسیکوسوکی
jomjalis,جومجلس
baghairnishan,بغیرنشان
pankhli,پنکھلی
moshnah,موشنہ
aranpatment,ایرینپیٹمنٹ
mutaseer,متاثر
expoters,ایکسپوٹرس
ramporlok,رامپورلوک
tarmusliman,ترمسلمان
azafon,اضافوں
walajazbah,والاجذبہ
jabkahkangres,جبکہکانگریس
lomonako,لوموناکو
bagolonet,بگولونیٹ
endultrary,اینڈلٹریری
mahdin,مہدین
mandmutabadil,مندمتبادل
pertos,پرٹوس
patalia,پتالیا
dehliwapas,دہلیواپس
kamargo,کمارگو
aurmuharban,اورمہربان
pawarkokam,پاورکوکم
bikharbakharbhi,بکھربکھربھی
walanwarani,والانورانی
bernal,برنل
mantab,منتب
rubkama,ربکما
lobard,لوبارڈ
mirabwa,میرابوا
indense,انڈینس
albaniyadqomi,البنیادقومی
samkani,سمکانی
hasoolir,حصولیر
headist,ہیڈسٹ
rectorzawar,ریکٹرزاور
alhasqa,الحسقہ
hunkarat,ہنکارت
somasandram,سوماسندرم
doctorly,ڈاکٹرلی
prosty,پروسٹی
inhoniya,انہونیا
banaparmansobah,بناپرمنصوبہ
koaakharmas,کوآخرمس
chanjara,چنجارا
hayaate,حیات
awamamoto,اواماموٹو
talbaat,طلبات
parbanwaya,پربنوایا
pokosoki,پوکوسوکی
mashhuram,مشہورم
aporimac,اپوریمیک
hindamarat,ہندامارت
khudsoshilof,خودسوشیلوف
samalogodi,سمالوگوڑی
dhandora,ڈھنڈورا
maqsadaqliyati,مقصداقلیتی
oriantal,اورینٹل
kobeeb,کوبیب
parkandh,پرکندھ
roral,رورل
uthakiya,اٹھاکیا
shafasta,شفاستہ
freshwar,فریشور
moviement,موویمنٹ
warnika,وارنیکا
dholtasha,ڈھولتاشا
doordarazawar,دوردرازاور
blumarin,بلومارین
aakakiyas,آکاکیاس
photestempen,فوٹسٹمپن
alshabuti,الشبوطی
pedrorasa,پیڈروراسا
keshobli,کیشوبلی
aurasami,اوراسامی
golagpa,گولگپا
zocharojiyati,زوچاروجیاتی
behtarnizam,بہترنظام
polabaski,پولابسکی
modleti,موڈلیٹی
gisoleen,گیسولین
bataayey,بتائے
bagandar,بگندر
gayamalzam,گیاملزم
prormiya,پرورمیا
nijatach,نجاتچ
maherdoctorna,ماہرڈاکٹرنہ
veligidarah,ویلیگیدارہ
ashahdud,اشہدود
neurecrocolate,نیوریکروکولیٹ
filmraman,فلمرامان
chajnichi,چاجنیچی
lokhandi,لوکھنڈی
taglab,تغلب
hameeria,حمیریہ
zayefon,ضعیفوں
amonas,امونس
manjamadkardi,منجمدکردی
magarswalat,مگرسوالات
mangiye,مانگے
dhalwal,ڈھلوال
kotapar,کوتاپر
istaada,استادہ
khursheedulaslam,خورشیدالاسلام
cronterium,کرونٹیریم
aurjora,اورجورا
wakhonarezi,وخونریزی
jawarbo,جواربو
propecnia,پروپیکنیا
jawariz,جوارز
veksaan,ویکسان
kleekeen,کلیکین
teoharki,تیوہارکی
rembrandt,ریمبرانڈٹ
barmamiyanamark,برمامیانمارک
sheltersa,شیلٹرسا
aursoni,اورسونی
nahbudhan,نہبودھن
felbeen,فیلبین
shahidkarnachahtah,شہیدکرناچاہتاہ
yanafrat,یانفرت
salokhni,سلوخنی
lakmashi,لکمشی
parbanjaman,پربنجمن
festrome,فیسٹروم
pasadandidah,پسدندیدہ
pransa,پرانسا
malham,ملہم
mazdorjgah,مزدورجگہ
predisolon,پریڈیسولون
fiimaa,فیما
aurbahtarmashi,اوربہترمعاشی
nakyi,نکئی
feling,فیلنگ
montex,مونٹیکس
jokhudshahzadi,جوخودشہزادی
aurmuhammadjaweed,اورمحمدجاوید
demontol,ڈیمنٹول
sukadti,سکڑتی
mapanz,مپنز
maanfofoni,مانفوفونی
alwatani,الوطنی
niyakara,نیاکارا
mujahidsarbakif,مجاہدسربکف
doswasi,دوسواسی
polaro,پولرو
matdawalat,متداولات
kardey,کردے
komatlobah,کومطلوبہ
reformazbahat,ریفارمزبہت
harlarzish,ہرلرزش
nepakistanio,نیپاکستانیو
qabluyat,قبلویت
darhukumat,دارحکومت
samchhot,سمچھوت
algersteria,الجرسٹیریا
condizal,کنڈیزل
basokof,باسوکوف
hatahu,ہتاہو
jenging,جینگنگ
tatil,تعطیل
bruneleschi,برونیلیسچی
bablomeri,ببلومیری
pakah,پکہ
bahshamia,بہشمیہ
aurthoromobik,اورتھوروموبک
prasrat,پراسرت
nezchhot,نیزچھوٹ
auramkan,اورمکان
shawnarz,شاونرز
saidshaheed,سیدشہید
ratanjring,رتنجرنگ
butfeld,بٹفیلڈ
diglosp,ڈگلوسپ
zenjong,زینجونگ
abdulsardar,عبدالسردار
victouriya,وکٹوریا
mohammadshabeerkhan,محمدشبیرخان
kashmom,کشموم
fasadkomodi,فسادکومودی
companio,کمپینیو
sectzophrenia,سکٹزوفرینیا
breefing,بریفنگ
faisadsarpancho,فیصدسرپنچو
matalata,مطالعات
nomaz,نومز
intehabhi,انتہابھی
frecturic,فریکچرک
abualtamash,ابوالتمش
sunyankweel,سنیانکویل
alqalyobi,القلیوبی
darguzarkaran,درگذرکرن
banokalb,بنوکلب
monda,مونڈا
pahunchogi,پہنچوگی
ghalich,غلیچ
joharsekter,جوہرسیکٹر
leuncher,لیونچر
podran,پوڈرن
electioneratory,الیکشنریٹری
tellard,ٹیلرڈ
albaqmi,البقمی
radmadar,ردمدار
herosaki,ہیروساکی
kahanoshka,کہانوشکا
aakarpakistan,آکرپاکستان
sarkwas,سرکواس
parsargarmi,پرسرگرمی
yarmamur,یرمامور
hindumusam,ہندومسم
daftarparmazahareen,دفترپرمظاہرین
samjhagiyais,سمجھاگیااس
majajah,مجاجہ
grament,گرامنٹ
khudmukhtad,خودمختاد
framseesi,فرامسیسی
nazarzindagi,نظرزندگی
bewaqfo,بیوقفو
afsaniyati,افسانیتی
fahsalah,فحصلہ
aisasmajha,ایساسمجھا
comging,کمگنگ
wakeef,وکیف
sharmaney,شرمانے
aetani,اعتانی
wataat,وطاعت
aleadat,العادات
incoling,انکولنگ
golbeka,گولبیکا
shioko,شیوکو
mcnaf,میکناف
behtamir,بہتمیر
aztanazaat,ازتنازعات
warnal,ورنل
commissionervashik,کمشنرواشک
zhan,ژان
tobharta,توبھرتا
aarsaan,آرسان
alegzenderpalt,الیگزینڈرپلٹ
almalhamah,الملہمہ
chatreelis,چتریلس
menigerfnance,مینیجرفنانس
parhans,پرہنس
laganahindotwaki,لگاناہندوتواکی
sozensil,سوزنسل
khudmukhtarishmali,خودمختارشمالی
sawarogof,سواروگوف
tarnamol,ترنامول
demandpar,ڈیمانڈپر
rajistra,راجسٹرا
governarantazamiya,گورنرانتظامیہ
gayapurah,گیاپورہ
bezwada,بیزواڑا
manzlah,منزلہ
sonamorah,سونامورہ
kajalna,کاجلنا
almuhjah,المحجہ
lomapa,لوماپا
lozool,لوزول
stugma,اسٹگما
andragrah,اندراگرہ
kantenarmangwa,کنٹینرمنگوا
alihsabildiya,الاحسابلدیہ
proxiya,پراکسیا
prosakta,پروسکتا
samroshaal,سمروشال
aerotroples,ایروٹروپلس
taloay,تلوے
phulra,پھلرا
lodehraan,لودھراں
tarsimi,ترسیمی
bharkashidah,بھرکشیدہ
hogayatokabhi,ہوگیاتوکبھی
honkiko,ہونکیکو
alkhalif,الخالف
apeculture,اپیکلچر
substance,سبسٹینس
sadraveesi,صدراویسی
bandkaranapada,بندکرناپڑا
miyamar,میامار
wabukashosars,وبوکشوسرس
pandeliyon,پنڈیلیوں
sodofedern,سوڈوفیڈرن
wistler,وسٹلر
dekhojab,دیکھوجب
fololeking,فولولیکنگ
tasveerlagi,تصویرلگی
aurzaman,اورزمان
thimaporamandalo,تھیماپورمنڈلو
airchia,ایرچیا
lahwar,لاہوار
sterla,سٹرلا
kaafzikli,کافزیکلی
sawaqin,سواقین
aglaka,اگلاکا
ogisto,اوگسٹو
persinana,پرسینانا
headzek,ہیڈزیک
barforoshi,بارفوروشی
fikrat,فکرت
anudinah,انودینہ
chamtat,چمٹات
saheehan,صحیحان
aurpharsarkarki,اورپھرسرکارکی
mominin,مؤمنین
huakarti,ہواکرتی
harchezkamshahda,ہرچیزکامشاہدہ
paragotisto,پیراگوٹسٹو
wadat,وعادات
toxy,ٹاکسی
malto,ملتو
panarjah,پنرجہ
amergescency,ایمرجسنسی
sheershahi,شیرشاہی
maskaat,مسکات
izharjarman,اظہارجرمن
nezbchu,نیزبچو
cheeporoply,چیپوروپلی
parmuzafarabadmi,پرمظفرآبادمی
khajchani,خجچانی
qareebiol,قریبیول
nabarbar,نبربر
baabu,بابو
ghairiyat,غیریت
glow,گلو
kapanpan,کپنپن
maraakashy,مراکشی
garimah,گریمہ
taish,طیش
jeetand,جیتند
namzadmalzaman,نامزدملزمان
tashhiraat,تشہیرات
koganshan,کوگنشن
scholarjungjo,اسکالرجنگجو
tornades,ٹورنیڈز
gujarh,گوجرہ
hzrk,حضرک
gothpur,گوتھپور
antigengic,اینٹیجنجک
aurjonpurki,اورجونپورکی
chaludehli,چلودہلی
hasasat,حساست
agarchalan,اگرچلان
makichar,مکیچر
kashtkarkanbo,کاشتکارکنبو
entaglio,انٹاگلیو
hamanga,ہمنگا
achahuja,اچھاہوجا
aien,ئیں
jathli,جٹھلی
einqareeb,عینقریب
pahunchadiyat,پہونچادیت
batona,بٹونا
arwart,ارورٹ
aarawardigradaro,آراوردیگرادارو
parli,پرلی
tanqeedko,تنقیدکو
hotaa,ہوتا
condractro,کنڈریکٹرو
tarwaninthapuram,ترواننتھاپورم
kaporetokresi,کاپوریٹوکریسی
chorachandpur,چوراچندپور
perselium,پرسیلیم
sikhayagyajoortan,سکھایاگیاجورتن
yarhanos,یرہنوس
punp,پنپ
nemenso,نیمینسو
bafesal,بفیصل
phunchy,پہنچے
aurmashqo,اورمشقو
waakhi,واکھی
badkalami,بدکلامی
dehliha,دہلیہا
kalichaki,کالیچکی
aawazdar,آوازدار
virandavan,ویرانداون
buliwaz,بلیواز
champatola,چمپاٹولا
americacotrump,امریکاکوٹرمپ
almatahdah,المتحدہ
tomangwali,تومنگوالی
committing,کمیٹنگ
lagaal,لگال
stenographers,سٹینوگرافرز
rakhul,رکھول
venkatalkashmi,وینکٹالکشمی
youzraz,یوزرز
dorkarana,دورکرانا
baradarkhurd,برادرخورد
bhaslan,بھسلن
drocho,ڈروچو
buzbus,بزبس
mehsudkuku,محسودکوکو
hindupolis,ہندوپولس
arshadpar,ارشادپر
handtsoser,ہینڈٹسوسر
gorakhpormedical,گورکھپورمیڈیکل
barfily,برفیلی
amob,اموب
butes,بتیس
salbharpahal,سالبھرپہل
banbad,بنبد
khwacha,خواچہ
alkhabrawar,الخبراور
salarbamasi,سالاربامسی
shagaf,شگاف
dostiya,دوستیا
urdoon,اردن
banyadparpares,بنیادپرپریس
pantigon,پینٹیگون
suraqhon,سوراخوں
redudeum,ریڈیوڈیم
bootstrap,بوٹسٹریپ
votarja,ووٹرجا
kashmerioti,کشمیریوٹی
kajani,کاجانی
postascal,پوسٹاسکل
kadhani,کڑھانی
blanrop,بلینروپ
almons,المونس
skaa,اسکا
balaroj,بالعروج
leocedty,لیوسیڈٹی
farmodi,فارمودی
electomonecation,الیکٹومونیکیشن
devdas,دیوداس
krishangath,کرشنگاتھ
storf,اسٹورف
benayah,بینایہ
abudbi,ابودبی
infalo,انفالو
onera,اونیرا
scurie,اسکیوری
doman,دومن
jahazsari,جہازسری
shemba,شیمبا
registardkaran,رجسٹرڈکرن
yaqinamot,یقیناموت
propers,پراپرس
khaanidan,خاندن
saripur,سریپور
aurition,اوریشن
mainforce,مینفورس
squaya,سکوایا
baltarazi,بالتراضی
ponsak,پونسک
recerva,ریسروا
rekwa,ریکوا
hawawarkab,ہواورکب
gantork,گنٹورک
altazal,التزل
backnel,بیکنل
bronah,برونہ
katajawizat,کاتجاوزات
jadooki,جادوکی
teradal,تیرادل
shababiat,شبابیت
larefan,لعرفان
afradkujramana,افرادکوجرمانہ
laganaya,لگانایا
shandarmanzom,شاندارمنظوم
lalkaran,للکارن
velisha,ویلیشا
maujudlakho,موجودلاکھو
kancharan,کنچرن
cambrals,کیمبرلز
colksy,کولکسی
steelers,اسٹیلرز
aukara,اوکارا
magaan,مگان
megithik,میگیتھک
nakolori,نکولوری
pichdi,پچھڑی
bharpormanetarng,بھرپورمانیٹرنگ
orthipoped,آرتھیپوپڈ
aurwo,اوروہ
bharmandro,بھرمندرو
kahyoga,کہیوگا
razakarbandubura,رضاکاربندوبورا
aamag,آمگ
benkong,بینکانگ
temenos,ٹیمینوس
aakarjam,آکرجم
coonj,کونج
babashah,باباشاہ
kaadz,کاڈز
cronapazito,کروناپازیٹو
mantazarturi,منتظرطوری
anamand,انامند
parmamurhawa,پرمامورہوا
manzarfaramosh,منظرفراموش
kankasas,کنکسس
wabkhubi,وبخوبی
batarah,بتارہ
jawalat,جوالات
waitingam,ویٹنگم
kokaab,کوکاب
ahmadjagwal,احمدجگوال
auragarhamara,اوراگرہمارا
nigzi,نگزی
aaraurmutaaluqa,آراورمتعلقہ
prataruf,پرتعارف
wenling,وینلنگ
mafrurk,مفرورک
makgo,مکگو
kalkatargarftaar,کلکٹرگرفتار
safirnadar,سفیرنادر
aljazolejan,الجزولیجن
awyani,اویانی
respection,ریسپیکشن
bazkol,بازکول
aljawal,الجوال
modimer,موڈیمر
adharli,ادھرلی
prospekaran,پراسپیکرن
walmasajid,والمساجد
jengs,جینگز
mohammadad,محمدد
chalyabenskisk,چلیابینسکسک
motoriya,موٹریا
rodregos,روڈریگوس
governarsi,گورنرسی
ayadosar,آیادوسر
musavar,مصوّر
sorolano,سورولانو
babarpachal,بابرپچھل
retrof,ریٹروف
namatnanah,نمٹنانہ
nanjak,ننجک
tirtey,تیرتے
papulashan,پاپولیشن
alkamens,الکامینس
thermothropy,تھرموتھراپی
liafoto,لیافوٹو
shafarish,شفارش
dilfari,دلفری
radhnah,رادھنہ
shadhudan,شدھودن
maldaranjdi,مالدارنجدی
janseezam,جنسیزم
masfat,مصفت
nazawat,نزاوت
bazagpatal,بازگپتل
lelizy,لیلیزی
aureshkan,اوریشکن
ederning,ایڈرننگ
waistehqaq,واستحقاق
indset,انڈسیٹ
parishtotam,پرشتوتم
rahbarhoga,رہبرہوگا
menzokich,مینزوکچ
decolum,ڈیکولم
alataphasir,التفسیر
thibwawar,تھیبواور
egarji,ایگرجی
hadeeb,حدیب
ladk,لڑک
phatak,پھاٹک
uyub,عیوب
niyam,نیم
srghzsht,سرگذشت
waishiya,ویشیا
protologists,پروٹالوجسٹس
maruzati,معروضاتی
voleezeen,وولیزین
katibana,کاتبانہ
aaste,آستے
okino,اوکینو
khokaam,خوکام
irtadaadpar,ارتدادپر
lamoji,لموجی
dehkati,دہکاتی
makzi,مکزی
certifectment,سرٹیفیکٹمنٹ
darwazak,دروازک
acrock,ایکراک
rakholna,رکھولنا
amludil,املودیل
sinosa,سینوسا
jadidahsiyat,جدیدحسیت
damasa,دماسا
karsamjhotah,کرسمجھوتہ
sajnar,ساجنار
aurardukabin,اوراردوکابین
thirotani,تھیروتانی
wadwang,وڈوانگ
chanchwadjis,چنچواڑجیس
budloror,بڈلورور
dilwanga,دلوانگا
kophelan,کوپھیلن
aurparchar,اورپرچار
barkhanof,برخانوف
deoparkash,دیوپرکاش
gyajwaik,گیاجوایک
videobahark,ویڈیوبہارک
sondeep,سوندیپ
mardkogali,مردکوگالی
lampur,لمپور
karbahla,کربہلا
wahzamzam,وہزمزم
alkaaran,الکارن
alfoz,الفوز
aurqariba,اورقریبا
izharishah,اظہارشاہ
manurani,منورانی
shartheend,شارتھینڈ
sutii,سوتی
jawaspees,جواسپیس
ghairpaidawar,غیرپیداوار
ronsford,رونسفورڈ
gardsiasi,گردسیاسی
salgani,سلگانی
ghamaati,گھماتی
kashmirgargal,کشمیرگارگل
palpeta,پلپیٹا
khadiwiyat,خدیویت
extenders,ایکسٹینڈرز
baghairmastard,بغیرمسترد
shahanshahat,شہنشاہت
chhabiswa,چھبیسوا
yakoror,یکورور
alkina,الکینا
fleeps,فلیپس
lahasliyat,لاحاصلیت
sakhtiyatezam,ساختیاتیزم
apartum,اپارٹم
dorcobus,ڈورکوبس
kawaghwakaran,کواغواکرن
niyarks,نیارکس
sloki,سلوکی
tarmahajrin,ترمہاجرین
utharey,اترے
gharaaw,گھیراؤ
paishqash,پیشکش
dugong,ڈوگونگ
askhalan,عسقلان
mahmadnursamiyat,محمدنورسمیت
eiduliyaqi,عیدالیاقی
coronapositive,کوروناپوزیٹیو
sarjaat,سرجات
farmayathatoap,فرمایاتھاتوآپ
chanting,چانٹنگ
mojito,موجیٹو
adjusment,ایڈجسمینٹ
pratashdadkarna,پرتشددکرنا
saqalah,ثقالہ
tamimi,تمیمی
muqararkar,مقررکر
laloparsadiyadoki,لالوپرسادیادوکی
lehraati,لہراتی
kafalzangi,کفلزنگی
karalro,کرالرو
alresoni,الریسونی
lalteef,للطیف
achaslo,اچھاسلو
garlazawar,گرلزاور
chlometernimber,کلومیٹرنمبر
aishsia,ایشسیا
karjanat,کرجنات
moshto,موشتو
waziyath,وضعیت
chalwani,چلوانی
aurtalgoz,اورتلگوز
horbhojgan,ہوربھوجگان
vetalatic,ویٹلیٹک
doncha,ڈونچا
maskiah,مسکیہ
karok,کاروک
hanseer,ہنسیر
yalbi,یلبی
hathiart,ہتھیارٹ
impressionists,امپریشنسٹس
apnabachpan,اپنابچپن
faramdad,فرامداد
leadyzhealth,لیڈیزہیلتھ
abdulnaseeb,عبدالنصیب
apropar,اپروپر
horlder,ہورلڈر
santhiya,سانتھیا
alkasid,الکسید
trail,ٹریل
watasurehseen,وتصورحسین
maghyar,مغیار
malhushikhu,ملحوشیخو
garnish,گرنش
padhayen,پڑھائیں
centrifugees,سینٹریفیوجیز
domissiony,ڈومشنی
rashbanah,رشبانہ
yagninsi,یگنینسی
karliyatoparvah,کرلیاتوپرواہ
jaldwapsi,جلدواپسی
apnakirdar,اپناکردار
kangati,کنگٹی
balkochi,بلکوچی
lalkarachnancha,للکاراچنانچہ
batasur,باتصور
shahdawarmuhtarmah,شاہداورمحترمہ
commandka,کمانڈکا
noyadulislam,نویدالاسلام
mcmuscal,میکمسکل
tomastu,تومستو
salmas,سلمس
zam,ذم
tabqaati,طبقات
kawapanacharwaha,کواپناچرواہا
anasasioso,اناساسیوسو
aurmarhoom,اورمرحوم
crocher,کروچر
hanzley,ہینزلی
gabarelar,گباریلر
honahoga,ہوناہوگا
acdemi,ایکڈیمی
auramra,اورامرا
hindroshni,ہندروشنی
aazdakashmeermi,آزدکشمیرمی
tarsing,ترسینگ
ateena,اتینا
cadeto,کیڈیٹو
laeen,لائن
walahad,ولاحد
vedict,ویڈکٹ
shanwario,شنواریو
sthari,ستھاری
parliaments,پارلیمنٹس
malbah,ملبہ
ayar,عیار
gabhara,گبھرا
makeem,مکیم
jatoli,جٹولی
zeedti,زیدتی
mafkrudanishwaran,مفکرودانشورن
kahaap,کہاپ
moannas,مؤنث
mustandkhabar,مستندخبر
aurgovindsangh,اورگووندسنگھ
barjias,برجیاس
balakowarning,بالاکووارننگ
atasreef,اتصریف
bankerko,بینکرکو
mashhurmafsaraban,مشہورمفسرابن
karfarmarah,کارفرمارہ
lahazal,لاحاصل
jhatakwa,جھٹکوا
discascanum,ڈسکسکینم
otern,اوٹرن
adahoora,ادھورا
qarmad,قرمد
neutam,نیوٹم
thanglah,تھانگلہ
vikravandi,وکراونڈی
kashmanarz,کشمنرز
khushtarmojud,خوشترموجود
zahrphelta,زہرپھیلتا
clearah,کلیرہ
rudweler,روڈویلر
amaldaramadu,عملدرآمدو
girjae,گرجائے
mukhalfanaa,مخالفانہ
aurmedial,اورمیڈیل
goldberger,گولڈبرگر
danishah,دانشہ
rek,ریک
aurbrokrij,اوربروکریج
dispinder,ڈسپنڈر
chiyajing,چیاجنگ
postodrinst,پوسٹوڈرنسٹ
akyansi,اکیانسی
harzma,ہرزما
qashiriya,قشیریہ
bratig,بریٹگ
telepapacy,ٹیلیپیپیسی
karkatrawarsiyastadan,کرکٹراورسیاستدان
hamasi,حماسی
labajandar,لباجندر
perscoursesi,پرسکورسیسی
malhan,ملہن
paghlakarmom,پگھلاکرموم
peltait,پیلٹیٹ
kardarprem,کردارپریم
makmalpanjab,مکملپنجاب
rahnumamaqbool,راہنمامقبول
audioroms,آڈیورومز
palambing,پالمبنگ
waadhan,وادھن
andarchhod,اندرچھوڑ
jaisini,جیسینی
jesarwala,جیسروالا
tubh,ٹوبہ
restorate,ریسٹوریٹ
ulipment,یولپمنٹ
ayibo,ایبولا
karlis,کرلس
pakasor,پکاسور
meelakhath,ملاقات
pechgoro,پیچگورو
sandbut,سینڈبٹ
mento,مینٹو
jiyawardhan,جیاوردھن
haazil,حاضل
aurdaq,اوردق
bajanan,بجانن
shardhalokentar,شردھالوکینٹر
marween,ماروین
arthovipedic,آرتھویپیڈک
fomento,فومنٹو
chhals,چھلس
kasola,کسولا
jaamah,جامہ
taklindan,تکلندن
wazirwi,وزیروی
uticato,یوٹیکیٹو
shardiyadukuguzashta,شردیادوکوگزشتہ
prekthajisi,پریکتھاجیسی
duniyatariki,دنیاتاریکی
watoshah,وتوشہ
saudri,سعودری
hindumiya,ہندومیا
pujrat,پجرت
pelonistin,پیلونسٹن
balkorf,بلکورف
afrarkardah,افرارکردہ
adinagarej,ادینگریج
torpet,ٹورپیٹ
darziya,درزیا
berdh,برد
arhai,آرہے
yands,ینڈس
konth,کونتھ
dasambarmuqrar,دسمبرمقرر
congresso,کانگریسو
bolarsari,بولرسری
yaklokleen,یکلوکلین
mausishi,موسیشی
bazdeer,بزدیر
inthologyology,انتھولوجیولوجی
calivery,کیلیوری
legislature,لیجسلیچر
caritity,کیریٹیٹی
parampur,پرمپور
sarsaganj,سرساگنج
dentjio,ڈینٹجیو
goremba,گوریمبا
bonfa,بونفا
iqraroz,اقراروض
bawasarkar,باواسرکار
richarsan,رچرسن
ahalnat,اہلنت
alshakurkhan,الشکورخان
mirasiati,میراثیاتی
warweji,وارویجی
tahmaas,تحماس
madahiya,مداحیہ
jacksnoni,جیکسنونی
asfaragos,اسفراگوس
chaloraya,چلورایا
darazkhan,درازخان
josantah,جوسنتہ
caleadors,کیلیڈورز
qadrihazrat,قادریحضرت
inhamaki,انہماکی
paramur,پارامور
chothni,چوتھنی
insehaar,انصہار
sansgrit,سنسگریت
aulada,اولادا
khakiran,خاکران
safrang,سفرنگ
professionalism,پروفیشنلزم
chahnogi,چاہنوگی
yarmalayah,یرملایہ
apnakir,اپناکیر
bakribarbu,بکریبربو
alkawaghairah,الکاوغیرہ
uthaayaa,اٹھایا
palyagrog,پالیاگروگ
mumbarclaim,ممبرکلیم
bonoveerah,بونویرہ
walnashar,والنشر
armagha,ارمغا
anobhavi,انوبھوی
maarkat,مارکت
urines,یورینس
panoma,پانوما
waraqteez,ورقتیز
britfordeam,برٹفورڈیم
jogiwadah,جوگیواڑہ
istadlaali,استدلالی
lodka,لودکا
zakhwahishat,زخواہشات
qaedo,قاعدہ
ministeri,منسٹری
nakyana,نکیانا
pandosector,پانڈوسیکٹر
algirah,الگرہ
ithadkonakam,اتحادکوناکام
moqta,مختا
ashyaranqal,اشعارنقل
lagdiya,لگدیا
korwa,کوروا،
mutasarhokarmaghrab,متاثرہوکرمغرب
pordy,پورڈی
tasavareer,تصاوریر
saidkarmani,سیدکرمانی
aakhriyajanuri,آخریاجنوری
vitabocket,وٹاباکٹ
professorkorona,پروفیسرکورونا
brunan,برونن
khilak,کھلک
conde,کونڈے
kawalikan,کوالیکن
fewstal,فیوسٹل
metropolisis,میٹروپولیسس
alsabaab,السباب
fagaar,فگار
tarafbharat,طرفبھارت
banero,بنیرو
classicue,کلاسیکیو
aurghaliba,اورغالبا
gardamal,گردمل
bulbulter,بلبلٹر
rozjhadap,روزجھڑپ
suamaqadmaat,سوامقدمات
montik,مونٹک
paraghane,پرکھنے
sogventi,سوگوینٹی
gloror,گلورور
macropod,میکروپوڈ
doranshahpur,دورانشاہپور
lokiyat,لوکیت
nigashta,نگاشتہ
trantola,ٹرانٹولا
morchabandi,مورچابندی
zariyat,ذریت
sayiberia,سائبیریا
kozirtasraf,کوزیرتصرف
aaksijandi,آکسیجندی
naarsingi,نارسنگی
karankalta,کرنکالتا
rubrosandh,روبروسندھ
karbola,کربولا
padnawasah,پڑنواسہ
mustasharqah,مستشرقہ
aurhindwazam,اورہندوازم
celebertismi,سیلیبرٹیزمی
barbarbi,بربربی
manjoomah,منظومہ
razapur,رضاپور
hawawarpahal,ہواورپہل
hambale,حنبلی
delburn,ڈیلبرن
denkwa,ڈینکوا
bandri,بندری
parkatnafoks,پرکتنافوکس
campslanch,کیمپسلانچ
rawankhwani,روانخوانی
chromatin,کرومیٹن
phaalak,پھالک
plantorium,پلینٹوریم
lezpratamirat,لیزپرتعمیرات
daniyaluf,دانیالوف
dewaran,دیوارں
langna,لنگنا
nashchala,نشچلا
commoniyo,کمونیو
nakhwami,نخوامی
zaruriyahi,ضروریہی
mertichaeli,مرٹیچیلی
aursamandarki,اورسمندرکی
dosrahkam,دوسراحکم
pradari,پراداری
arstoli,آرسٹولی
dicharti,ڈچارٹی
archarki,آرچرکی
izharchilas,اظہارچلاس
kaptaniyat,کپتانیت
comsinst,کمسنسٹ
kyaksan,کیاکسان
lattergacy,لیٹرجیسی
mashrafo,مشرفو
sewashikti,سیواشکتی
saltanaat,سلطنعت
alqabah,القبہ
permfaster,پرمفاسٹر
muhajirin,مھاجرین
tawapak,تواپک
indizcricket,انڈیزکرکٹ
arweet,ارویت
josji,جوسجی
arsheen,آرشین
bohemio,بوہیمیو
yaagaadi,یاگاڑی
bhumrah,بھومرہ
jaralis,جرالیس
sangbaniad,سنگبنیاد
lobekaka,لوبیکاکا
tarparchar,تارپرچار
haiudgayi,ہےاڑگئی
kosbotad,کوسبوتاڑ
teromium,ٹیرومیم
bartanieon,برطانویوں
langola,لانگولا
aaksimach,آکسیمچ
andproperties,اینڈپراپرٹیز
babarhan,بابرہان
katadah,قتادہ
scholery,سکالری
razqaham,رزقہم
yakova,یکووا
mandamal,مندمل
rotland,راٹلینڈ
stoniwal,سٹونیوال
khopdian,کھوپڑیاں
bosbawadran,بوسباودران
hapatic,ہیپاٹک
jameekaa,جمیکا
charokla,چاروکلا
yashima,یشیما
wondfo,وونڈفو
hodralolican,ہوڈرالولیکن
dorly,ڈورلی
tarpud,تارپود
babasahib,باباصاحب
damlupnar,دملوپنار
herostolep,ہیروسٹولپ
haisohail,ہےسہیل
burmee,برمی
zindiqiat,زندیقیت
brebart,بریبارٹ
tonery,ٹونری
karyameta,کریامیٹا
artichlor,آرٹیکلور
ananji,اننجی
karozan,کروزن
shiwal,شیوال
thokarmarkar,ٹھوکرمارکر
apsolak,اپسولک
achahi,اچھاہی
warmoks,ورموکس
decom,ڈیکم
mahangarakh,مہنگارکھ
