kuberastatra,कुबेरस्तत्र
dwaitamatasthaapanaartham,द्वैतमतस्थापनार्थम्
gireendradhanvane,गिरीन्द्रधन्वने
sanatanasabhyata,सनातनसभ्यता
shumbhaasuravimardinee,शुम्भासुरविमर्दिनी
vasatisamuchchayasya,वसतिसमुच्चयस्य
kalahashabdashcha,कलहशब्दश्च
mahaadhwajau,महाध्वजौ
karanamityarthah,कारणमित्यर्थः
striyaamityevam,स्त्रियामित्येवं
dvidhaabhootau,द्विधाभूतौ
shaknuyaadraagishu,शक्नुयाद्रागिषु
hutaatma,हुतात्म
bharasahamanuttamam,भारसाहमनुत्तमम्
hti,ह्ति
akaarsha,अकार्ष
shyaamopyaatmagunena,श्यामोऽप्यात्मगुणेन
dhaavataste,धावतस्ते
kwachidaasaktachetasah,क्वचिदासक्तचेतसः
surairdevi,सुरैर्देवी
chandograa,चण्डोग्रा
chukkinama,चुक्किनामा
vivekaanandayoginam,विवेकानन्दयोगिनम्
dharayema,धारयेम
vikaranaanam,विकरणानं
akshami,अक्षमी
devassa,देवस्स
teshvev,तेष्वेव
nirgunayaa,निर्गुणया
jaatyaayurchhogavaishamya,जात्यायुर्छोगवैषम्य
aakarnitaani,आकर्णितानि
tadwyatiriktaah,तद्व्यतिरिक्ताः
charanaanaam,चरणानां
ashaktaaya,अशक्ताय
vikalpasyaanen,विकल्पस्यानेन
kavitta,कवित्त
kakaaraatpoorvasy,ककारात्पूर्वस्य
vyaapaaravyaaprutih,व्यापारव्यापृतिः
hralyaah,ह्रल्याः
pradhautaih,प्रधौतैः
harshayuktaaya,हर्षयुक्ताय
charanasahasranam,चारणसहस्राणां
shailodaa,शैलोदा
karmaphalodayah,कर्मफलोदयः
viracharya,वीराचार्य
nityatvamatirbhrama,नित्यत्वमतिर्भ्रम
nireekshitastarasy,निरीक्षितस्तरस्य
navaashabdayo,नवाशब्दयो
syaattrivruttite,स्यात्त्रिवृत्तिते
yathaabheesht,यथाभीष्ट
samaanapadasthebhyo,समानपदस्थेभ्यो
shreerdaivee,श्रीर्दैवी
shitapushpadhari,शीतपुष्पधारी
sattvavishishtasya,सत्त्वविशिष्टस्य
putreemaasaady,पुत्रीमासाद्य
anekaprayojanak,अनेकप्रयोजनक
shyenaam,श्येनां
abhyasavairagyabhyam,अभ्यासवैराग्यभ्यां
ashubheyam,अशुभेयं
seetairna,सीतैर्न
juhuyaadyatihi,जुहुयाद्यतिः
chhaandogyamiti,छान्दोग्यमिति
sankruddhamalakaadhipam,सङ्क्रुद्धमलकाधिपम्
shalyashalau,शल्यशलौ
madeanilah,मदेऽनिलः
poorvayonisahasraani,पूर्वयोनिसहस्राणि
mahaamstejaswee,महांस्तेजस्वी
rutwigwisheshah,ऋत्विग्विशेषः
giridharilal,गिरिधरीलाल
pitrugruham,पितृगृहं
sankochayati,सङ्कोचयति
vishayadvaaribhaavopagamanam,विषयद्वारिभावोपगमनं
puraanokta,पुराणोक्त
saptarkshaani,सप्तर्क्षाणि
nishpunaatyabhaktam,निष्पुनात्यभक्तं
susware,सुस्वरे
meashwatthah,मेऽश्वत्थः
brahmavedyaaya,ब्रह्मवेद्याय
kularakshitree,कुलरक्षित्री
ucchairdhyeyam,उच्चैर्ध्येयं
gunavachanah,गुणवचनः
daayaadavaanasmi,दायादवानस्मि
jyotishagranthaa,ज्योतिषग्रन्था
bahyapadarthanam,बाह्यपदार्थानाम्
moorcchi,मूर्च्छि
vaanchhite,वाञ्छिते
napyate,नाप्यते
girvaahas,गिर्वाहस्
tasyotkarshakrute,तस्योत्कर्षकृते
malyabharanavasasam,माल्याभरणवाससाम्
siraalaashch,सिरालाश्च
chadhibheshajam,चाधिभेषजं
shivapaksheeyashcheti,शिवपक्षीयश्चेति
bhavadaadiyoge,भवदादियोगे
tushtistasya,तुष्टिस्तस्य
abhyupagamyamaane,अभ्युपगम्यमाने
sadyahphaladah,सद्यःफलदः
lankaadhinaathavishaho,लङ्काधिनाथविषहो
sajjayantropakaranam,सज्जयन्त्रोपकरणं
dhanavaanpreetivardhanah,धनवान्प्रीतिवर्धनः
kunjaraguptakashcha,कुञ्जरगुप्तकश्च
karmaatidaarunam,कर्मातिदारुणं
sarvatrettham,सर्वत्रेत्थं
madanlal,मदनलाल
dhaamo,धामो
shukraatpraaninah,शुक्रात्प्राणिनः
surapuropamandale,सुरपुरोपमण्डले
haryamaana,हर्यमाण
aniruddhah,अनिरुद्धः
ballaveemitre,बल्लवीमित्रे
brahmagitaayaam,ब्रह्मगीतायां
dairdhyam,दैर्ध्यं
parantarangabhyam,परान्तरङ्गभ्यां
viraajitam,विराजितं
poorvapadena,पूर्वपदेन
sarvateekshna,सर्वतीक्ष्ण
alakavateem,अलकवतीं
parwatopamah,पर्वतोपमः
bhavedvaadinaam,भवेद्वादिनाम्
kendrena,केन्द्रेण
vedaashvam,वेदाश्वं
kashchinmriyate,कश्चिन्म्रियते
tamamachachakshe,तममाचचक्षे
seerino,सीरिणो
paravishayaad,परविषयाद्
saatyakayoh,सात्यकयोः
padasarasijam,पदसरसिजं
ucchraaye,उच्छ्राये
manushyatvachi,मनुष्यत्वचि
shambaraantakar,शम्बरान्तकर
kaulikoapi,कौलिकोऽपि
rajapapavinirmukta,राजपापविनिर्मुक्ता
yaadavendravadhooh,यादवेन्द्रवधूः
subahurbhrataram,सुबाहुर्भ्रातरं
sangatamevaitad,संगतमेवैतद्
keyooraalankrutaatmakaaya,केयूरालङ्कृतात्मकाय
bhashvatthaamaastrena,भश्वत्थामास्त्रेण
parasaptamyeva,परसप्तम्येव
kotimeghasamodaaraay,कोटिमेघसमोदाराय
syuraapo,स्युरापो
daaridryadukhaani,दारिद्र्यदुःखानि
kasturikokilanam,कस्तूरीकोकिलानां
kurukshetramakardamam,कुरुक्षेत्रमकर्दमम्
dashaashchaayushi,दशाश्चायुषि
sheetaveeryayuktam,शीतवीर्ययुक्तं
krushnaasti,कृष्णास्ति
kaarunyahrudayaa,कारुण्यहृदया
shyaamatejassamarchayet,श्यामतेजस्समर्चयेत्
samaaveshojaayata,समावेशोऽजायत
tavyat,तव्यत्
sooryodayaastau,सूर्योदयास्तौ
oordhvapundradharaah,ऊर्ध्वपुण्ड्रधराः
teshamabhikarananam,तेषामभिकारणानां
krutavaanpruthuh,कृतवान्पृथुः
nitaraamewoddhatah,नितरामेवोद्धतः
karanavruttaya,करणवृत्तय
chettam,चेत्तं
manoniruddham,मनोनिरुद्धं
dadahuh,ददहुः
shikshaasabandheeni,शिक्षासबन्धीनि
visheshaavisheshavishayaani,विशेषाविशेषविषयाणि
mugalasaamraajye,मुगलसाम्राज्ये
abhyastatvaajjusiti,अभ्यस्तत्वाज्जुसिति
himadeedhiteh,हिमदीधितेः
malayaketukatakam,मलयकेतुकटकं
mohadaay,मोहदाय
suhrudeeva,सुहृदीव
abhyudite,अभ्युदिते
chaashchvinyaadi,चाश्च्विन्यादि
maatrupramaanayoho,मातृप्रमाणयोः
paarthakaksham,पार्थकक्षम्
gaatraavare,गात्रावरे
ihamutrartha,इहामुत्रार्थ
dhikkrutyendumapi,धिक्कृत्येन्दुमपि
adhikrama,अधिक्रम
geeriti,गीरिति
tasminnanukulataaml,तस्मिन्ननुकुलतांल
jatashankar,जटाशङ्कर
sambhavaay,सम्भवाय
saptaahani,सप्ताहनि
paurushyastanavo,पौरुष्यस्तनवो
vareshvaraa,वरेश्वरा
sarvavitsarvatobhadraa,सर्ववित्सर्वतोभद्रा
adhipatram,अधिपत्रं
yadyajna,यद्यज्ञ
treemllokaanjayati,त्रींल्लोकाञ्जयति
ityaastaam,इत्यास्तां
abhuktavati,अभुक्तवति
sarvaantahkaranam,सर्वान्तःकरणं
kaalanemihi,कालनेमिः
mangalamaashu,मङ्गलमाशु
lokabhavana,लोकभावना
vishnushchornayaamaas,विष्णुश्चूर्णयामास
paritoshena,परितोषेण
yadyapeeyam,यद्यपीयं
lajapataraayasy,लजपतरायस्य
teekshnamaahuh,तीक्ष्णमाहुः
svaavrugdevasyaamrutam,स्वावृग्देवस्यामृतं
samparyadevayat,सम्पर्यदेवयत्
dyutkeertanam,द्युत्कीर्तनं
malayaaletyaadi,मलयाळेत्यादि
vidnyaanadamaanatoasmi,विज्ञानदमानतोऽस्मि
ranabhoomishu,रणभूमिषु
vishtaraay,विष्टराय
vidadhateeh,विदधतीह
asataamhi,असतांहि
yatsaleelaay,यत्सलीलाय
kayashchandradityau,कायश्चन्द्रादित्यौ
tatoapyuttaravaahinee,ततोऽप्युत्तरवाहिनी
navendu,नवेन्दु
tadeyam,तदेयं
hemanibadhachakram,हेमनिबद्धचक्रम्
prasthanikamakalpayat,प्रास्थानिकमकल्पयत्
muravairi,मुरवैरि
parastreekaamachaarinam,परस्त्रीकामचारिणम्
shaastradwedmi,शास्त्रद्वेद्मि
sabhaamupagate,सभामुपगते
sheetaveeryayuktam,शीतवीर्ययुक्तम्
ujaasa,उजास
sannihitaanaam,सन्निहितानां
meghanaadaarisoori,मेघनादारिसूरि
taavidam,ताविदं
supratyayaat,सुप्रत्ययात्
suryakantashila,सूर्यकान्तशिला
nevaajihaim,नेवाजिहैं
guruhatyaayaah,गुरुहत्यायाः
tattvadhaaranaayai,तत्त्वधारणायै
tishtatyayamajagaro,तिष्ठत्ययमजगरो
shatatrayavarshe,शतत्रयवर्षे
vyaadhitachakshusho,व्याधितचक्षुषो
kriyopapadam,क्रियोपपदं
bhaaryaamupaadaay,भार्यामुपादाय
satkeertan,सत्कीर्तन
pashchaadim,पश्चादिम्
bhrungarangasangamaa,भृङ्गरङ्गसङ्गमा
ravikotyudayaprabhah,रविकोट्युदयप्रभः
shuktau,शुक्तौ
shaanachkaanachoh,शानच्कानचोः
vibhaasitoayamatulo,विभासितोऽयमतुलो
karnikagre,कर्णिकग्रे
sarvamantrasvaroopine,सर्वमन्त्रस्वरूपिणे
icchaadweshah,इच्छाद्वेषः
rakshobhirvividhaishcha,रक्षोभिर्विविधैश्च
pratijihvikaa,प्रतिजिह्विका
dadhanvaanmatsarintamah,दधन्वान्मत्सरिन्तमः
himatraanam,हिमत्राणं
trividhakaalachakragatih,त्रिविधकालचक्रगतिः
aanandaanubhootih,आनन्दानुभूतिः
abhaktaamstaamshcha,अभक्तांस्तांश्च
shuktikaaroopyavat,शुक्तिकारूप्यवत्
pralayasyaapi,प्रलयस्यापि
satvabuddhimaana,सत्वबुद्धिमान
manoshaktti,मनोशक्ति
vijnaanaghana,विज्ञानघन
garbhavaase,गर्भवासे
kathamanyo,कथमन्यो
udyamaksheteshu,उद्यमक्षेतेषु
raajansharaihi,राजञ्शरैः
kaameshtavarddhinee,कामेष्टवर्द्धिनी
devayaavan,देवयावन्
mahaju,महाजु
praramma,प्रारम्म
dhaatukaanchanam,धातुकाञ्चनम्
taamrekshano,ताम्रेक्षणो
trivrut,त्रिवृत्
madhuganavara,मधुगानवरा
dandaketu,दण्डकेतु
kaalachandaswaroopinyai,कालचण्डस्वरूपिण्यै
vrusheshvaraha,वृषेश्वरः
atishaayini,अतिशायिनि
munasheemahodayah,मुनशीमहोदयः
aamode,आमोदे
samasah,समसः
aguravah,अगुरवः
lokavikhyaataa,लोकविख्याता
heetyagaat,हीत्यगात्
manujau,मनुजौ
kesaraarchitapaadaabjah,केसरार्चितपादाब्जः
paashaaghoraastranivaaran,पाशाघोरास्त्रनिवारण
samyogasukhadaarastha,संयोगसुखदारस्था
vishnuroopahshatam,विष्णुरूपःशतं
sunayaanvitam,सुनयान्वितं
parasparabhashanam,परस्परभाषणम्
smaraamyuktam,स्मराम्युक्तं
vaishleshika,वैश्लेषिक
sankruddhamidam,सङ्क्रुद्धमिदं
sarvamevaanusaarayet,सर्वमेवानुसारयेत्
dharasara,धारासारा
praapayethaah,प्रापयेथाः
nyakkaarashabdam,न्यक्कारशब्दं
trimaatrashchaiv,त्रिमात्रश्चैव
vaaranavastikosham,वारणवस्तिकोशं
sahajaanaam,सहजानाम्
virujo,विरुजो
paropakaaraadyaacharaneshu,परोपकाराद्याचरणेषु
vyaakhyaanaartham,व्याख्यानार्थं
iraavatah,इरावतः
upavaasavratam,उपवासव्रतं
chalitumabhyarthayat,चलितुमभ्यर्थयत्
shacheemiti,शचीमिति
kahlaarakumudotpalaih,कह्लारकुमुदोत्पलैः
sankshayo,सङ्क्षयो
chitraatichitra,चित्रातिचित्र
prabhrutau,प्रभृतौ
shreekarapihitam,श्रीकरपिहितं
bharano,भरणो
chittatamatram,चित्ततामात्रं
anyatragamane,अन्यत्रगमने
surahitacharitaam,सुरहितचरितां
praaleyapaandutvisham,प्रालेयपाण्डुत्विषं
karmasuspruhaa,कर्मसुस्पृहा
vyaamishreneva,व्यामिश्रेणेव
mahaatripurasundaryai,महात्रिपुरसुन्दर्यै
churnayetkshanaat,चूर्णयेत्क्षणात्
paryayabandhe,पर्यायबन्धे
praapitah,प्रापितः
rathaghoshoamitaprabhah,रथघोषोऽमितप्रभः
dhundhumaarah,धुन्धुमारः
kedaavasthaasu,केदावस्थासु
rudrasaaman,रुद्रसामन्
ramalakshmanabhyam,रामलक्ष्मणाभ्यां
syanmakare,स्यान्मकारे
vrajaamonyata,व्रजामोऽन्यत
dantamulikaa,दन्तमुलिका
pradattaasti,प्रदत्तास्ति
anejate,अनेजते
teshoobhayapraaptau,तेषूभयप्राप्तौ
sukukshi,सुकुक्षि
tasmadbhavanaya,तस्माद्भावनया
mahaashvashirase,महाश्वशिरसे
tejoheenaah,तेजोहीनाः
brahmanishtaah,ब्रह्मनिष्ठाः
malayaachalasambhotam,मलयाचलसम्भूतं
tyaktadehaanaamapi,त्यक्तदेहानामपि
anukaranakala,अनुकरणकला
panyasamsthaayaam,पण्यसंस्थायां
chopashrunoti,चोपशृणोति
tattadwatsaan,तत्तद्वत्सान्
ityorabhya,इत्योरभ्य
prasavadharminashcha,प्रसवधर्मिणश्च
yaamineevirahin,यामिनीविरहिन्
jaghanasthalen,जघनस्थलेन
naghrutam,नघृतं
manamohakamasti,मनमोहकमस्ति
rajanyanek,राजन्यनेक
mahaatimirah,महातिमिरः
kadaryah,कदर्यः
ityaasaktadhiyo,इत्यासक्तधियो
bhidyase,भिद्यसे
nadimadhye,नदीमध्ये
nuteeshaano,नुतीशानो
karnaadavarajam,कर्णादवरजं
maithileenaathageyashch,मैथिलीनाथगेयश्च
sarwatoagrabhaage,सर्वतोऽग्रभागे
naashamatyantam,नाशमत्यन्तं
ujjivana,उज्जीवन
sautraamana,सौत्रामण
mrutahaarinah,मृतहारिणः
balamohitah,बलमोहितः
ghoravadanaa,घोरवदना
naayakavarjitah,नायकवर्जितः
vruttyupahitam,वृत्त्युपहितं
veeraaraadhitapaadukah,वीराराधितपादुकः
tripuramaalinee,त्रिपुरमालिनी
nichikyur,निचिक्युर्
pratiyudhyasva,प्रतियुध्यस्व
parishoshita,परिशोषित
vibhaktancha,विभक्तञ्च
deenataayaah,दीनतायाः
shodhapratutikaranamapi,शोधप्रतुतिकरणमपि
satashchaanyastenaasi,सतश्चान्यस्तेनासि
mudranaam,मुद्रणाम्
nivartitaayaamapyaupagava,निवर्तितायामप्यौपगव
anumanyataam,अनुमन्यतां
sahaastraih,सहास्त्रैः
kalitajayaturangee,कलितजयतुरङ्गी
kuladharmaikarakshakah,कुलधर्मैकरक्षकः
tasmaattaveh,तस्मात्तवेह
vrushadhvaja,वृषध्वज
shithilam,शिथिलम्
shvaitra,श्वैत्र
vidhaanaarhasya,विधानार्हस्य
sambhaashanakaaryakramam,संभाषणकार्यक्रमम्
padmaragapradipai,पद्मरागप्रदीपै
gujaraataraajyavibhaagasy,गुजरातराज्यविभागस्य
hyarhatyesha,ह्यर्हत्येष
upadishtaani,उपदिष्टानि
deenadayo,दीनदयो
unaadivruttihi,उणादिवृत्तिः
kalyaanagunasaagarah,कल्याणगुणसागरः
soyi,सोयि
himadyuterbhootanayo,हिमद्युतेर्भूतनयो
praurnamaasyaamiti,प्रौर्णमास्यामिति
ksheyamiti,क्षेयमिति
nidhitvena,निधित्वेन
enamiti,एनमिति
kaarushilpam,कारुशिल्पं
samsthaanamapekshyaapi,संस्थानमपेक्ष्यापि
udghaatanasatreasmin,उद्घाटनसत्रेऽस्मिन्
sneya,स्नेय
ratrinatho,रात्रिनाथो
yaajnikamaargasthitam,याज्ञिकमार्गस्थितं
bandhocchrayachitaani,बन्धोच्छ्रयचितानि
parapadaartheshuhi,परपदार्थेषुहि
paryadasadaprapte,पर्यादासादप्राप्ते
jeevitahaarinee,जीवितहारिणी
punyaniratah,पुण्यनिरतः
vishnugurave,विष्णुगुरवे
samudbabhoova,समुद्बभूव
vidhadhaanyaani,विधधान्यानि
kamaratna,कामरत्न
shantamumapate,शान्तमुमापते
svavaaniti,स्ववानिति
tadapyanuvartate,तदप्यनुवर्तते
vivayo,विवयो
sattvaanurodhinee,सत्त्वानुरोधिनी
pradhanapurushatmakam,प्रधानपुरुषात्मकम्
udgamaneey,उद्गमनीय
chinmaatramavyayam,चिन्मात्रमव्ययम्
tyanenaivaayam,त्यनेनैवायं
nirantarodyataam,निरन्तरोद्यतां
anaadimaayaashaktih,अनादिमायाशक्तिः
aajadangirobhy,आजदङ्गिरोभ्य
kaulaputra,कौलपुत्र
varaahaachalanaathaay,वराहाचलनाथाय
chaturthadashakam,चतुर्थदशकं
vivekaandhasya,विवेकान्धस्य
jadashaktyai,जडशक्त्यै
viploshakaaraaya,विप्लोषकाराय
yoganna,योगान्न
vedasiddhe,वेदसिद्धे
drohaadayo,द्रोहादयो
ubhayormunishaardool,उभयोर्मुनिशार्दूल
khatakataahak,खटकटाहक
ruttyaiva,ऋत्त्यैव
shasheenaatho,शशीनाथो
paribhrasto,परिभ्रस्तो
vishvajayee,विश्वजयी
suraraajavrukshah,सुरराजवृक्षः
bhaktalokasya,भक्तलोकस्य
guruvadarchayan,गुरुवदर्चयन्
avishraantaparishrame,अविश्रान्तपरिश्रमे
haribhrutya,हरिभृत्य
sangeetam,सङ्गीतम्
ekagnikande,एकाग्निकाण्डे
santraata,सन्त्रात
shobhitan,शोभितान्
dwiguneekrutatejobhih,द्विगुणीकृततेजोभिः
hatoarjunah,हतोऽर्जुनः
vimarshaah,विमर्शाः
taavadyamalokaadihaagame,तावद्यमलोकादिहागमे
swayambhaatee,स्वयम्भाती
deshapreminetaa,देशप्रेमिनेता
tvadupekshaavashaadev,त्वदुपेक्षावशादेव
tiriktakramavisheshasya,तिरिक्तक्रमविशेषस्य
paaryantika,पार्यन्तिक
avrushyam,अवृष्यं
maabhoonmam,माभून्मम
puleetat,पुलीतत्
bhadradeva,भद्रदेव
paashaanaguhaah,पाषाणगुहाः
nkaromi,न्करोमि
yadnyiyat,यज्ञियत्
vajramadhyavibheeshanam,वज्रमध्यविभीषणम्
vidyamaanashabdalopah,विद्यमानशब्दलोपः
syaacchashchaantaadeshah,स्याच्छश्चान्तादेशः
jitayogihrudastavabhakta,जितयोगिहृदस्तवभक्त
suraadyaih,सुराद्यैः
hyaakrutehe,ह्याकृतेः
nishchitaroopam,निश्चितरूपं
kaishoryah,कैशोर्यः
kaamatodya,कामतोऽद्य
refaadeshashcha,रेफादेशश्च
kelelaa,केलेला
bhimaratho,भीमरथो
chaanivartinaam,चानिवर्तिनाम्
shanmaaso,षण्मासो
swasthyai,स्वस्थ्यै
mrudas,मृदस्
swasamutthastathaa,स्वसमुत्थस्तथा
atootavat,अतूतवत्
shreeshailavaasine,श्रीशैलवासिने
vaartikopanyaasah,वार्तिकोपन्यासः
manaagvisphuli,मनाग्विस्फुलि
haraklim,हरक्लीं
bhaanordigbalamaah,भानोर्दिग्बलमाह
tadnugunameva,तद्नुगुणमेव
kriyaasu,क्रियासु
tadapaghata,तदपघात
ambujajaatavarapradaayai,अम्बुजजातवरप्रदायै
naanrushihi,नानृषिः
dhanaadhyakshakshayopamam,धनाध्यक्षक्षयोपमम्
rangadhuryam,रङ्गधुर्यं
paramanirvishesham,परमनिर्विशेषं
nrupashoon,नृपशून्
saamvaadya,सांवाद्य
skhaladrataye,स्खलद्रतये
naagakulaantakah,नागकुलान्तकः
dhartrarashtran,धार्त्रराष्ट्रान्
jaatakaabharan,जातकाभरण
jyotirlataa,ज्योतिर्लता
manastruptaasteshaamapi,मनस्तृप्तास्तेषामपि
kusheelavaanaam,कुशीलवानां
kocchinagaraaya,कोच्चिनगराय
rasonmaadyai,रसोन्माद्यै
nimittavedhin,निमित्तवेधिन्
kumariyom,कुमारियों
snehaprasrava,स्नेहप्रस्रव
beejaroopinam,बीजरूपिणम्
gajaamste,गजांस्ते
jeevapraanaavev,जीवप्राणावेव
ramaniyarupa,रमणीयरूपा
shriramapanchakam,श्रीरामपञ्चकम्
dinakaru,दिनकरु
samaasasyaapi,समासस्यापि
shivamaanyah,शिवमान्यः
shreekrushnadevaraayasya,श्रीकृष्णदेवरायस्य
vibhramoayamaaho,विभ्रमोऽयमाहो
suvrukteendraaya,सुवृक्तीन्द्राय
baddhaparikarah,बद्धपरिकरः
sanaatanapadam,सनातनपदं
himsaatmakamiti,हिंसात्मकमिति
rakshaneeyah,रक्षणीयः
creedaseeh,क्रीडसीह
indrashatru,इन्द्रशत्रु
kshonitilak,क्षोणितिलक
hasateel,हसतील
ittvavikalpaha,इत्त्वविकल्पः
tvaddarshanasamutthena,त्वद्दर्शनसमुत्थेन
pushnan,पुष्णन्
aadiraajayashobimbam,आदिराजयशोबिम्बम्
tasmaadasankhyaataanyev,तस्मादसंख्यातान्येव
yadupatyakaayaam,यदुपत्यकायां
ristin,रिस्टीन्
sthaaneeyajanaah,स्थानीयजनाः
aatishtatparamam,आतिष्ठत्परमं
balarupam,बालरूपं
athaabhavatkshanenaiva,अथाभवत्क्षणेनैव
vibudhaadhiraaja,विबुधाधिराज
chandrikashitale,चन्द्रिकाशीतले
dishatatha,दिशातथा
smitavaryena,स्मितवर्येण
jnaateyasannutaaya,ज्ञातेयसन्नुताय
hishabdena,हिशब्देन
shinjaapatajjhankrutih,शिञ्जापतज्झङ्कृतिः
gandharankashirajam,गान्धारान्काशिराजं
gopaaladaarakau,गोपालदारकौ
aasthaanavaidyah,आस्थानवैद्यः
vidyaayonivaachinyev,विद्यायोनिवाचिन्येव
apakartaa,अपकर्ता
bhandilavichakilamandita,भण्डिलविचकिलमण्डित
apyeva,अप्येव
daadimaani,दाडिमानि
puranagamyayai,पुराणगम्यायै
tailaahaarapriyah,तैलाहारप्रियः
abhichodayet,अभिचोदयेत्
shambhurbhutanaatho,शम्भुर्भूतनाथो
mahaghona,महाघोणा
jalaavataaraaddooreham,जलावताराद्दूरेऽहं
sarvalokaprakaashakah,सर्वलोकप्रकाशकः
mahajataka,महाजातक
krutaatwayornirdeshah,कृतात्वयोर्निर्देशः
maniratnaavabhaasi,मणिरत्नावभासि
maanthareshani,मान्थरेषणि
chaturgunottaram,चतुर्गुणोत्तरं
krushagaatram,कृशगात्रं
samudwignaawaastaam,समुद्विग्नावास्ताम्
tarunaangi,तरुणाङ्गि
punaraatmajante,पुनरात्मजन्ते
pidyamanaya,पीड्यमानया
shrutiraparato,श्रुतिरपरतो
svaamivattatra,स्वामिवत्तत्र
kridataat,क्रीडतात्
mahaayogaay,महायोगाय
gururasyottaraaranih,गुरुरस्योत्तरारणिः
tirthadanaparayanaya,तीर्थदानपरायणाय
virudasharanoante,विरुदशरणोऽन्ते
gajayoothapam,गजयूथपम्
vishalyaam,विशल्यां
parokshadnyaanaprakaranam,परोक्षज्ञानप्रकरणम्
sankalikaayaam,सङ्कलिकायाम्
beejaprabodhah,बीजप्रबोधः
aatmamshabhootaam,आत्मांशभूतां
vaayubhihi,वायुभिः
yatsevanena,यत्सेवनेन
avapyan,अवाप्यान्
harmyastha,हर्म्यस्थ
sarweshaamaawruttih,सर्वेषामावृत्तिः
dadruphalo,दद्रुफलो
vicheshtanti,विचेष्टन्ति
tulyaadih,तुल्यादिह
nishnaatau,निष्णातौ
yuddhakushalaihi,युद्धकुशलैः
heeraalaalapaandeyaah,हीरालालपाण्डेयाः
rudraadayah,रुद्रादयः
virachaye,विरचये
chajita,चाजिता
vyaakulachetanah,व्याकुलचेतनः
amodhaasu,अमोधासु
saadaraporvakam,सादरपूर्वकम्
tarijeevinaa,तरिजीविना
parvanaadee,पर्वनादी
chitramabalaah,चित्रमबलाः
aparamahima,अपारमहिमा
apyaaplutya,अप्याप्लुत्य
sheekurushva,शीकुरुष्व
tadaashrayaaccha,तदाश्रयाच्च
vaarshneyamadhuhanveer,वार्ष्णेयमधुहन्वीर
manurnamna,मनुर्नाम्ना
putraprasave,पुत्रप्रसवे
paatraroopen,पात्ररूपेण
evavashishtodhuna,एवावशिष्टोऽधुना
dharmasanga,धर्मसङ्ग
hakinyamba,हाकिन्यम्बा
daivamevaashrayate,दैवमेवाश्रयते
prapoorvoapyayamasti,प्रपूर्वोऽप्ययमस्ति
yushmatpratyayen,युष्मत्प्रत्ययेन
sthaapitavantastattu,स्थापितवन्तस्तत्तु
sahasradyotitam,सहस्रद्योतितं
yannaagatam,यन्नागतं
chandikaakhyaa,चण्डिकाख्या
chatushshashtikaleshvaraaya,चतुष्षष्टिकलेश्वराय
tilamaya,तिलमय
stotraarchanaanyamar,स्तोत्रार्चनान्यमर
sandeshoasti,सन्देशोऽस्ति
krutadwirwachanaat,कृतद्विर्वचनात्
padashabde,पदशब्दे
navabrahmaarchitapado,नवब्रह्मार्चितपदो
ashatruhu,अशत्रुः
hariraashayadityarthah,हरिराशयदित्यर्थः
nrutyantamiva,नृत्यन्तमिव
devanaraadhipasevitah,देवनराधिपसेवितः
rajamanam,राजमानं
chaupadi,चौपदि
shaasyate,शास्यते
panchalastatra,पाञ्चालास्तत्र
bhrugukulashreshta,भृगुकुलश्रेष्ठ
kalushaatman,कलुषात्मन्
kainkarya,कैङ्कर्य
pashchimashcha,पश्चिमश्च
dvaidha,द्वैध
anudyogitaayaah,अनुद्योगितायाः
munibhaavitapaadaay,मुनिभावितपादाय
raajakoshaay,राजकोषाय
merumandiraya,मेरुमन्दिराय
brahmasruk,ब्रह्मसृक्
paraanswaamshchaapi,परान्स्वांश्चापि
staambhaayan,स्ताम्भायन
saarasamavalokya,सारसमवलोक्य
vimatsar,विमत्सर
shonaasaralagaatraishch,शोणासरलगात्रैश्च
kalingaanatikramya,कलिङ्गानतिक्रम्य
tunganaas,तुङ्गनास
ityekaaraant,इत्येकारान्त
gaatravichoornane,गात्रविचूर्णने
beebhatsuratibeebhatsam,बीभत्सुरतिबीभत्सं
asannyasyaiva,असन्न्यस्यैव
dishaadi,दिशादि
chaagnihotram,चाग्निहोत्रं
sameepawartinah,समीपवर्तिनः
tannishedhenetyalam,तन्निषेधेनेत्यलम्
tamilunaadupraanteeyah,तमिळुनाडुप्रान्तीयः
ashakaranamityekam,आशाकरणमित्येकं
krutakavilobhanam,कृतकविलोभनं
bharatiyarashtrapatehe,भारतीयराष्ट्रपतेः
ayugachiriva,अयुगाचिरिव
haritaalavarno,हरितालवर्णो
kupurusheshwiw,कुपुरुषेष्विव
pashupakshisareesrupaadayah,पशुपक्षिसरीसृपादयः
paripsantastatra,परीप्सन्तस्तत्र
shraddhitah,श्रद्धितः
samutthitehe,समुत्थितेः
nkshva,ङ्क्ष्व
yattrigunam,यत्त्रिगुणं
paadayugmanakheshu,पादयुग्मनखेषु
dashagreewah,दशग्रीवः
prakrutaashwamedham,प्रकृताश्वमेधम्
kokilanayane,कोकिलनयने
nirrutireva,निरृतिरेव
lahaanasem,लहानसें
vaashabdaat,वाशब्दात्
ityevamuktvemam,इत्येवमुक्त्वेमं
bruhadashvoabhyashechayat,बृहदश्वोऽभ्यषेचयत्
viprahaa,विप्रहा
karunaarnavam,करुणार्णवं
vadheene,वधीने
shaarngachaapasy,शार्ङ्गचापस्य
