aajolik,আজলিক
bordoloiu,বৰদলৈও
ketegorir,কেটেগৰিৰ
prithibibaxi,পৃথিৱীবাসী
spondonjukto,স্পন্দনযুক্ত
hafijur,হাফিজুৰ
vetikonu,ভেটিকণো
dastobin,দাস্তবিন
obiswasyobhabe,অবিশ্বাস্যভাবে
iftikaror,ইফটিকাৰৰ
promukhok,প্ৰমুখক
ochin,অচিন
bhumikompote,ভূমিকম্পতে
kothasema,কথাচেমা
sringkholaloi,শৃংখলালৈ
digholpani,দীঘলপানী
kerasinot,কেৰাচিনত
porikolponahinbhawe,পৰিকল্পনাহীনভাৱে
nigomxomuhor,নিগমসমূহৰ
daabol,দাবল
preronei,প্ৰেৰণেই
aarhik,আর্হিক
governance,গভর্নেন্স
probontaloi,প্রৱণতালৈ
bukakhak,বোকাখাক
fedaresonoke,ফেডাৰেচনকে
aadhar,আধাৰ
bohirugi,বহিঃৰোগী
dhormoxastro,ধর্মশাস্ত্র
fullit,ফুল্লিত
premikburor,প্ৰেমিকবোৰৰ
giriraje,গিৰিৰাজে
durdoxagrosto,দুর্দশাগ্রস্ত
rokhau,ৰখাওঁ
omotoh,অমতঃ
xongbadmelkhonit,সংবাদমেলখনিত
bhukhondor,ভূখণ্ডৰ
ognikundoloi,অগ্নিকুণ্ডলৈ
danpatrokeita,দানপাত্ৰকেইটা
xotorkikoronor,সতৰ্কীকৰণৰ
pegasas,পেগাছাচ
raguri,ৰাগুৰি
telik,তেলীক
motorsaikelor,মটৰচাইকেলৰ
joritor,জৰিতৰ
kabhartu,কাভাৰটো
onupor,অনুপৰ
bandhotu,বান্ধতো
ramkinkor,ৰামকিংকৰ
khilau,খিলাও
resomiyar,ৰেছমীয়াৰ
xotorkikoron,সতর্কীকৰণ
sahonur,চাহনুৰ
jolot,জলত
hoisiluhi,হৈছিলোঁহি
konmaniburok,কণমানিবোৰক
bohokgoi,বহকগৈ
hraxot,হ্ৰাসত
bannat,বান্নাত
khamus,খামুচ
mostofa,মস্তফা
ridersxokole,ৰাইডাৰ্ছসকলে
jatixottaxomuhok,জাতিসত্তাসমূহক
tamange,তামাঙে
xabolilbhabe,সাবলীলভাৱে
jiraftuk,জিৰাফটোক
premikai,প্রেমিকাই
taatotu,তাততো
huxein,হুসেইন
rauk,ৰাওক
uxanogori,উষানগৰী
jhasir,ঝাঁচীৰ
jubotixokoluku,যুৱতীসকলোকো
xongkrantiloi,সংক্রান্তিলৈ
xonsari,সঞ্চাৰী
satriloiu,ছাত্ৰীলৈও
modhyomkhondosthito,মধ্যমখণ্ডস্থিত
huiselor,হুইছেলৰ
ondhobiswax,অন্ধবিশ্বাস
potrokhonoloi,পত্ৰখনলৈ
monjular,মঞ্জুলাৰ
impress,ইম্প্ৰেছ
jatburor,জাতবোৰৰ
aarei,আৰেই
kabyopremi,কাব্যপ্ৰেমী
aapottibihinotar,আপত্তিবিহীনতাৰ
fasteg,ফাষ্টেগ
tamuloni,তামোলনি
bhaskornogor,ভাস্কৰনগৰ
nosanto,নচান্ত
uporhalit,উপৰহালীত
ruxeswor,ৰোষেশ্বৰ
keidalman,কেইডালমান
jatratur,যাত্ৰাটোৰ
tofajul,তফাজুল
oinbelir,অইনবেলিৰ
kahinituloi,কাহিনীটোলৈ
artiga,আৰ্টিগা
nigomeu,নিগমেও
mukhyosthan,মুখ্যস্থান
myan,ম্যান
xonthaiu,সন্থাইও
ximarekhat,সীমাৰেখাত
swodexpremor,স্বদেশপ্ৰেমৰ
beherar,বেহেৰাৰ
egorakiloi,এগৰাকীলৈ
kamarujjaman,কামাৰুজ্জামান
mosjide,মচজিদে
opokhya,অপক্ষা
kortobyohe,কৰ্তব্যহে
jyotit,জ্যোতিত
byowoharoru,ব্যৱহাৰৰো
bohulotare,বহুলতাৰে
kolaxakhat,কলাশাখাত
jambarir,জামবাৰীৰ
bubumoni,বুবুমনি
dhonjita,ধনজিতা
bibhinnojonor,বিভিন্নজনৰ
kunugune,কোনোগুণে
lipixomuhok,লিপিসমূহক
isora,ইছৰা
ongxoburor,অংশবোৰৰ
purisil,পুৰিছিল
xoymote,সয়মতে
sagoliyat,ছাগলীয়াত
myaa,ম্যা
xombordhito,সম্বৰ্ধিত
kendrostholot,কেন্দ্ৰস্থলত
xoraighatosri,শৰাইঘাটশ্ৰী
sangkakotir,চাংকাকতিৰ
rajanikanth,ৰজনীকান্ত
punoruktir,পুনৰুক্তিৰ
bopu,বপু
sromikxokolor,শ্রমিকসকলৰ
bigyaptijuge,বিজ্ঞাপ্তিযোগে
dhorilu,ধৰিলোঁ
jehadikeitai,জেহাদীকেইটাই
mnf,এমএনএফ
tupulatuloi,টোপোলাটোলৈ
khurideur,খুৰীদেউৰ
aatixorzyo,আতিশৰ্য্য
tiniugoraki,তিনিওগৰাকী
xalbarir,শালবাৰীৰ
kinabesar,কিনাবেচাৰ
dunit,দুনীত
bhumiputrok,ভূমিপুত্ৰক
dobabur,দবাবোৰ
muror,মোৰৰ
rumorpora,ৰূমৰপৰা
taarok,তাৰক
kokahote,ককাহঁতে
kesuwatuu,কেঁচুৱাটোও
juwor,যুৱৰ
khujile,খুজিলে
mouxahari,মৌসাহাৰী
podarponot,পদার্পণত
xindhantot,সিন্ধান্তত
hajutu,হাজোতো
xastrokare,শাস্ত্রকাৰে
pujapatol,পূজাপাতল
dhoniyabheti,ধনীয়াভেটি
xonturbadok,সন্তুৰবাদক
dijubostit,দিজুবস্তীত
bonaiu,বনাইও
borpeitat,বৰপেইটাত
sitroxilpigoraki,চিত্ৰশিল্পীগৰাকী
hindutwobadixokolok,হিন্দুত্ববাদীসকলক
bagisaru,বাগিচাৰো
onukoronote,অনুকৰণতে
ludhi,লোধি
sudmarson,চুডমাৰ্ছন
mugdhojyoti,মুগ্ধজ্যোতি
gorxoho,গঁড়সহ
suwaliburoloi,ছোৱালীবোৰলৈ
aadirup,আদিৰূপ
centinel,ছেণ্টিনেল
prodanok,প্রদানক
nirmulot,নির্মূলত
pendelot,পেণ্ডেলত
pobitra,পবিত্ৰা
bapertur,বাপেৰটোৰ
ranir,ৰানীৰ
xahityorajito,সাহিত্যৰাজিত
hemrajor,হেমৰাজৰ
priyongka,প্ৰিয়ংকা
paike,পাইকে
nitar,নীতাৰ
laipulir,লাইপুলিৰ
rokhyixokole,ৰক্ষীসকলে
hiug,হিউগ
jhongkare,ঝংকাৰে
sundori,চুন্দৰী
mukharjiku,মুখাৰ্জীকো
jahangire,জাহাংগীৰে
tite,টিতে
oncholburor,অঞ্চলবোৰৰ
englandbaxi,ইংলেণ্ডবাসী
protikire,প্ৰতিকীৰে
bostuke,বস্তুকে
obhinno,অভিন্ন
punyobhumi,পূণ্যভূমি
gotebilakok,গোটবিলাকক
noporhibo,নপঢ়িব
bosorbur,বছৰবোৰ
lathisolana,লাঠিচলানা
bohuharik,বহুহাৰিক
satrixokolei,ছাত্ৰীসকলেই
holhi,হলহি
andharot,আন্ধাৰত
beboni,বেবনি
nathakeneki,নাথাকেনেকি
ghotonor,ঘটনৰ
gyanxunyohin,জ্ঞানশূন্যহীন
gourer,গৌৰেৰ
dhaligaosthito,ঢালিগাঁওস্থিত
takoror,তাকৰৰ
veduri,ভেদুৰী
leikait,লেইকাইত
nidilehe,নিদিলেহে
aamulare,আমোলাৰে
xakhyoror,সাক্ষৰৰ
angxo,আংশ
xeiburoku,সেইবোৰকো
italeet,ইটালীত
duijonei,দুইজনেই
karjyokalot,কাৰ্য্যকালত
suparibhorti,চুপাৰিভৰ্তি
bibahanusthanot,বিবাহানুষ্ঠানত
xohojbudhyo,সহজবোধ্য
updatetur,আপডেটটোৰ
suiparor,ছুইপাৰৰ
tirkhel,তীৰখেল
ugrotara,উগ্ৰতাৰা
jurkoi,জোৰকৈ
axabadiu,আশাবাদীও
melathe,মেলাতহে
anarulor,আনাৰুলৰ
patoru,পাতৰো
jagannath,জগন্নাথ
formular,ফৰ্মূলাৰ
ohitkarixokolok,অহিতকাৰীসকলক
duparikoi,দুপাৰিকৈ
borahir,বৰাহীৰ
taloihe,তালৈহে
mafiar,মাফিয়াৰ
proityekei,প্ৰত্যেকেই
toluwatu,তলুৱাটো
romailu,ৰমাইলো
sepeta,চেপেটা
gureswororpora,গোৰেশ্বৰৰপৰা
grahokjone,গ্ৰাহকজনে
bharotwaxir,ভাৰতৱাসীৰ
sworor,স্বৰৰ
protipodadi,প্ৰতিপদাদি
milonbojarot,মিলনবজাৰত
kischen,কিচ্ছেন
beghaparar,বেঘাপাৰাৰ
boradar,বৰাদাৰ
kenelot,কেনেলত
sepamora,চেপামৰা
hafije,হাফিজে
merute,মেৰুতে
disthima,দিষ্ঠিমা
xalmorasthito,শালমৰাস্থিত
hawamohol,হাৱামহল
haisyokor,হাস্যকৰ
aamgurirpora,আমগুৰিৰপৰা
nothokatu,নথকাটো
prosarei,প্রচাৰেই
xumuwaisehi,সুমুৱাইছেহি
opohritar,অপহৃতাৰ
thakegoi,থাকেগৈ
othel,অথেল
tuloxidar,তুলসীদাৰ
ostroloi,অস্ত্ৰলৈ
letrinot,লেট্ৰিনত
misonere,মিছনেৰে
bonowaxi,বনৱাসী
rilis,ৰিলিছ
bordoloih,বৰদলৈঃ
selimok,ছেলিমক
jiwansoiligot,জীৱনশৈলীগত
meenu,মিনু
tempor,টেম্পৰ
linkin,লিংকিন
dukankeikhonor,দোকানকেইখনৰ
pitriloi,পিতৃলৈ
munnik,মুন্নীক
bikroy,বিক্রয়
byoboharir,ব্যৱহাৰীৰ
guliborxon,গুলিবৰ্ষণ
itihaxorei,ইতিহাসৰেই
kimanjone,কিমানজনে
kukurtuwe,কুকুৰটোৱে
ibilak,ইবিলাক
ghaipot,ঘাইপত
prothomsuwat,প্রথমছোৱাত
skutit,স্কুটিত
gaonkhuwa,গাঁওখোৱা
oronyohe,অৰণ্যহে
peling,পেলিং
nazia,নাজিয়া
proxadot,প্ৰসাদত
ubede,উবেদে
morterore,মৰ্টাৰৰে
eijonor,এইজনৰ
srinagarar,শ্রীনগৰৰ
bhagyohe,ভাগ্যহে
bodgamot,বদগামত
soturbingxoti,চতুর্বিংশতি
xingoloike,সিঙলৈকে
brohmoke,ব্রহ্মকে
bohisehi,বহিছেহি
byobohar,ব্যৱহাৰ
barandare,বাৰান্দাৰে
muhurtoi,মুহূৰ্তই
parbhonga,পাৰভঙা
andulontuwu,আন্দোলনটোও
kushre,কুশ্ৰে
jogotkhonot,জগতখনত
byaxardhor,ব্যাসাৰ্ধৰ
sristo,সৃষ্ট
xongrohotkoi,সংগ্রহতকৈ
moronotu,মৰণতো
bhumodhyoxagoror,ভূমধ্যসাগৰৰ
xorboknistho,সৰ্বকনিষ্ঠ
tuliloi,তুলিলৈ
manutuwe,মানুটোৱে
nalagene,নালাগেনে
xeemitbhabe,সীমিতভাৱে
ontito,অন্তিত
nuwarimei,নোৱাৰিমেই
xompurok,সম্পূৰক
prokritiru,প্রকৃতিৰো
prithokbadi,পৃথকবাদী
kolxomuhor,কলসমূহৰ
kongresei,কংগ্রেছেই
oprapti,অপ্রাপ্তি
usxe,উচসে
obhijugei,অভিযোগেই
morkojor,মৰ্কজৰ
tendaringor,টেণ্ডাৰিঙৰ
senelkeitar,চেনেলকেইটাৰ
xilbhodroi,শীলভদ্ৰই
jonopriyotar,জনপ্রিয়তাৰ
khalburot,খালবোৰত
ponchchetona,পঞ্চচেতনা
misingxokolor,মিচিংসকলৰ
aainul,আইনুল
gutaisil,গোটাইছিল
siroxanti,চিৰশান্তি
swagotomhe,স্বাগতমহে
bhurot,ভূৰত
bohihnirikhyoke,বহিঃনিৰীক্ষকে
komuwa,কমোৱা
devjani,দেৱজানী
bornoboixomyobadi,বর্ণবৈষম্যবাদী
gadhule,গাধুলে
ghatotu,ঘাটতো
xotyagrohi,সত্যাগ্রহী
mijelos,মিজেলছ
workorsor,ৱৰ্কৰ্ছৰ
stumping,ষ্টাম্পিং
khurakoloi,খুৰাকলৈ
krishnokendrik,কৃষ্ণকেন্দ্রিক
autorikxar,অটোৰিক্সাৰ
septomboror,চেপ্তম্বৰৰ
xondobhorto,সন্দভৰ্ত
naukhonor,নাওখনৰ
jindor,জিন্দৰ
pakistanoru,পাকিস্তানৰো
durgapujatu,দুৰ্গাপূজাতো
daaler,দালেৰ
xikhyaprod,শিক্ষাপ্রদ
jonordwara,জনৰদ্বাৰা
xomajkhone,সমাজখনে
xudhisila,সুধিছিলা
protighontat,প্ৰতিঘণ্টাত
ongkotut,অংকটোত
noibedyo,নৈৱেদ্য
menucardot,মেনুকাৰ্ডত
gopalnagar,গোপালনগৰ
meskimu,মেস্কিমো
goghor,গঘৰ
nikristo,নিকৃষ্ট
scottis,স্কটিছ
xutrodhor,সূত্রধৰ
onugotxokole,অনুগতসকলে
jaisandlal,জয়চান্দলাল
xongkhyaloghukendrik,সংখ্যালঘুকেন্দ্রিক
prarthitwot,প্রার্থিত্বত
bininno,বিনিন্ন
gandhibadok,গান্ধীবাদক
pranituk,প্ৰাণীটোক
doner,ডনাৰ
xombondhoburok,সম্বন্ধবোৰক
rehearsal,ৰিহাৰ্চেল
sriramsondroi,শ্রীৰামচন্দ্রই
gamusate,গামোচাতে
dorxoneu,দর্শনেও
xuranjonai,সুৰাঞ্জনাই
kaupar,কাউপাৰ
mijika,মিজিকা
roomkeitar,ৰূমকেইটাৰ
agrowalor,আগ্ৰৱালৰ
byowosthabilak,ব্যৱস্থাবিলাক
minpalokxokol,মীনপালকসকল
preronok,প্ৰেৰণক
onorbhukto,অনৰ্ভুক্ত
thopor,থপৰ
torkoloi,তৰ্কলৈ
politick,পলিটিক
enajori,এনাজৰী
protaronahe,প্ৰতাৰণাহে
seminarkhonot,ছেমিনাৰখনত
gamusar,গামোচাৰ
rohosyojon,ৰহস্যজন
hotovombho,হতভম্ভ
goraa,গৰা
boisitrohin,বৈচিত্ৰহীন
naamghore,নামঘৰে
sorkaretu,চৰকাৰেতো
xabyostu,সাব্যস্তু
bhupendroxongit,ভূপেন্দ্ৰসংগীত
walotu,ৱালতো
rulor,ৰুলৰ
nejal,নেজাল
dukhonir,দুখনিৰ
anuwara,আনোৱাৰা
debik,দেবীক
aagborhuwatu,আগবঢ়োৱাটো
ehat,এহাত
tekelifutar,টেকেলিফুটাৰ
karzokalsuwat,কার্যকালছোৱাত
bindho,বিন্ধ
jonogusthiyor,জনগোষ্ঠীয়ৰ
bibesonaxomponno,বিবেচনাসম্পন্ন
natyojgotor,নাট্যজগতৰ
bisarpotire,বিচাৰপতিৰে
jolopristo,জলপৃষ্ট
gotibidhi,গতিবিধি
kebamahor,কেবামাহৰ
puchakjuror,পোচাকযোৰৰ
funtabulas,ফাণ্টাবুলাছ
xamogrikeibidhor,সামগ্রীকেইবিধৰ
janonikhonot,জাননীখনত
budhidrum,বোধিদ্ৰুম
aamsoit,আমচৈত
bistritit,বিস্তৃতিত
koptak,কপ্তাক
peteu,পেটেও
khelkhonoloi,খেলখনলৈ
machinist,মেচিনিষ্ট
manobjyeti,মানৱজ্যেতি
naihatat,নাইহাটাত
bodre,বদ্ৰে
xomuhote,সমুহতে
jugini,যোগিনী
dhupdanitut,ধূপদানীটোত
dieisdi,ডিএইছডি
poddhotihe,পদ্ধতিহে
jolbumai,জলবোমাই
difusak,ডিফুচাক
juveneliyo,জুভেনেলীয়
kulbhuxonor,কুলভূষণৰ
kalire,কালিৰে
tupur,টুপুৰ
bagiskhonor,বাগিচখনৰ
sursangor,চুৰচাঙৰ
onoj,অনজ
khetropalor,ক্ষেত্রপালৰ
pyarelal,প্যাৰেলাল
grihomontrire,গৃহমন্ত্ৰীৰে
keranijone,কেৰাণীজনে
kandogyan,কাণ্ডজ্ঞান
nirmataxokolor,নির্মাতাসকলৰ
benugupalor,বেনুগোপালৰ
sokidarbihin,চকীদাৰবিহীন
vetituloi,ভেটিটোলৈ
lapang,লাপাং
pawaroku,পাৱাৰকো
mohaastomir,মহাঅষ্টমীৰ
kormosarikxokolok,কৰ্মচাৰীকসকলক
naharor,নাহাৰৰ
labonyo,লাবণ্য
xomyo,সম্য
aardrobhumixomuhot,আৰ্দ্ৰভূমিসমূহত
kheluoixokololoi,খেলুৱৈসকললৈ
oprotidwonditare,অপ্ৰতিদ্বন্দ্বিতাৰে
ligament,লিগামেণ্ট
statinor,ষ্টেটিনৰ
foringoti,ফৰিঙতি
xantire,শান্তিৰে
tumprengot,টুমপ্ৰেঙত
majparat,মাজপাৰাত
pindhiboloi,পিন্ধিবলৈ
tikonar,টিকনাৰ
bokkore,বক্কৰে
pothiuwak,পঠিওৱাক
pranadhik,প্রাণাধিক
bindumatro,বিন্দুমাত্ৰ
xomotulyota,সমতুল্যতা
dexpremore,দেশপ্ৰেমৰে
grandmaster,গ্ৰেণ্ডমাষ্টাৰ
gonoxoktire,গণশক্তিৰে
hingxar,হিংসাৰ
nojukto,নযুক্ত
rajibur,ৰাজিবুৰ
protyokoke,প্ৰত্যককে
darapurijir,দাৰাপুৰিজীৰ
juluki,জুলুকি
sijusat,চিজুচাত
xobhapotixokole,সভাপতিসকলে
kormokortau,কৰ্মকৰ্তাও
cdpo,চিডিপিঅ
mitargoj,মিটাৰগজ
dolbol,দলবল
pupor,পোপৰ
durodorxitare,দূৰদর্শিতাৰে
keujonor,কেওজনৰ
bitorokxokole,বিতৰকসকলে
horoloki,হৰলকি
bidixaiu,বিদিশাইও
kesai,কেঁচাই
xuproxiddho,সুপ্ৰসিদ্ধ
jonmogaont,জন্মগাঁৱত
rajnetaxokole,ৰাজনেতাসকলে
onuxondhanmulok,অনুসন্ধানমূলক
swarthalabhor,স্বাৰ্থালাভৰ
onuposthitir,অনুপস্থিতিৰ
khais,খাইছ
nischibhabe,নিশ্চিভাৱে
pedelu,পেডেলো
bitorkere,বিতৰ্কেৰে
phuntuke,ফোনটোকে
ghograpar,ঘগ্ৰাপাৰ
gonoxotru,গণশত্ৰু
debosthanom,দেৱস্থানম
jabhid,জাভিদ
rekharanir,ৰেখাৰাণীৰ
danwe,দানৱে
porixongkhyare,পৰিসংখ্যাৰে
aapottiu,আপত্তিও
onotipolomei,অনতিপলমেই
andulor,আন্দোলৰ
luddu,লুড্ডু
kep,কেপ
brended,ব্রেণ্ডেড
borbhitha,বৰভিঠা
makeupot,মেকআপত
dolatuwe,দলাটোৱে
xungutire,সোণগুটিৰে
fenoru,ফেনৰো
paamkhone,পামখনে
khoibor,খৈবৰ
streelingor,স্ত্ৰীলিংগৰ
chenterkhon,চেণ্টাৰখন
mohaxunyor,মহাশূন্যৰ
peratur,পেৰাটোৰ
kostarika,কষ্টাৰিকা
hemangginir,হেমাংগিনীৰ
odhikarxomuhor,অধিকাৰসমূহৰ
dalna,ডালনা
hamor,হামৰ
guneswarir,গুণেশ্বৰীৰ
tikokot,টিককত
roikhik,ৰৈখিক
bonaleu,বনালেও
urdhoton,উৰ্ধ্বতন
tutingot,টুটিঙত
shromdanor,শ্ৰমদানৰ
onumudonkrome,অনুমোদনক্ৰমে
bhaxakeitar,ভাষাকেইটাৰ
kakran,কাকৰান
ritabrota,ৰীতাব্ৰতা
drishyotuke,দৃশ্যটোকে
powitrotomo,পৱিত্রতম
chinti,চিন্তি
thomonar,থমনাৰ
dakhinatyor,দাক্ষিণাত্যৰ
mondaroru,মন্দাৰৰো
liyone,লিয়নে
dhuburito,ধুবুৰিত
baahol,বাহল
purnobhabe,পূর্ণভাৱে
mohabhoirobo,মহাভৈৰব
rajyobhaxa,ৰাজ্যভাষা
sabohe,চাবহে
mohmari,মহমাৰী
noxomuh,নসমূহ
bekorar,বেকৰাৰ
protikarok,প্রতিকাৰক
dhormote,ধৰ্মতে
ipahe,ইপাহে
goisi,গৈছি
utpadonhe,উৎপাদনহে
prokritiprodotto,প্রকৃতিপ্রদত্ত
bhrostasarot,ভ্রষ্টাচাৰত
dinobyapi,দিনব্যাপী
nulalone,নোলালনে
jogon,জগন
ordhoxotokxoho,অৰ্ধশতকসহ
naxika,নাসিকা
tibadot,তিবাদত
monuronjone,মনোৰঞ্জনে
khetropal,ক্ষেত্ৰপাল
mafujuddin,মফুজুদ্দিন
xijabo,সিজাব
kirilito,কিৰিলিত
kenedere,কেনেদেৰে
mohanodit,মহানদীত
bhaxaturu,ভাষাটোৰো
ohai,অহাই
nitikei,নীতিকেই
videobur,ভিডিঅবোৰ
xobhagrihor,সভাগৃহৰ
lohora,লহৰা
toumari,টৌমাৰী
madrasakhon,মাদ্ৰাছাখন
putukon,পুতুকন
ketorinar,কেটৰিনাৰ
dhonkanto,ধনকান্ত
sakiram,চাকিৰাম
xipare,সিপাৰে
akaxkhone,আকাশখনে
magnitude,মেগনিটিউড
ximajonito,সীমাজনিত
uthisehe,উঠিছেহে
bongobaxi,বংগবাসী
pondo,পণ্ড
borababuk,বৰাবাবুক
dhobongxomukhi,ধবংসমুখী
lokhyosthan,লক্ষ্যস্থান
phandot,ফাণ্ডত
brikhyore,বৃক্ষৰে
somuwapara,চমুৱাপাৰা
apsor,এপিএছৰ
dakxewokxokole,ডাকসেৱকসকলে
aatmoxomorponor,আত্মসমর্পণৰ
uhu,উহু
dhurondhore,ধুৰন্ধৰে
artis,আৰ্টিছ
xotirthore,সতীর্থৰে
bornomalika,বৰ্ণমালিকা
byaktiu,ব্যাক্তিও
pharmacol,ফাৰ্মাকল
nondontotwo,নন্দনতত্ত্ব
bejboruwadewor,বেজবৰুৱাদেৱৰ
protisthataxokole,প্রতিষ্ঠাতাসকলে
katimahor,কাতিমাহৰ
bixorgor,বিসৰ্গৰ
senijanot,চেনিজানত
paboloike,পাবলৈকে
prosarhe,প্ৰচাৰহে
prodanoh,প্ৰদানঃ
krixibhittik,কৃষিভিত্তিক
jatidruhir,জাতিদ্ৰোহীৰ
hivoltageor,হাইভল্টেজৰ
obhibhutkari,অভিভূতকাৰী
setiyake,চেতিয়াকে
calverttu,কালভাৰ্টটো
supau,চুপাও
dhristotare,ধৃষ্টতাৰে
ritujonit,ঋতুজনিত
xeikhonote,সেইখনতে
bhebarghatot,ভেবাৰঘাটত
xobdoi,শব্দই
khukhabosti,খোখাবস্তি
obhyaxgot,অভ্যাসগত
lelawotire,লেলাৱতিৰে
xomprotiu,সম্প্ৰতিও
rongjengor,ৰংজেঙৰ
bhoirobpuror,ভৈৰৱপুৰৰ
kikon,কিকন
jubomorsar,যুৱমৰ্চাৰ
bartajibi,বার্তাজীৱী
kolejorpora,কলেজৰপৰা
benuka,বেনুকা
biruddhehe,বিৰুদ্ধেহে
smritidiwox,স্মৃতিদিৱস
nuworakhini,নোৱৰাখিনি
keut,কেউট
bhittot,ভিত্তত
batoritu,বাতৰিটো
odhikarxomuhu,অধিকাৰসমূহো
thaarit,ঠাৰিত
muktamoni,মুক্তামণি
jesipi,জেচিপি
sabunere,চাবোনেৰে
certification,চাৰ্টিফিকেশ্যন
munindra,মুনিন্দ্ৰ
toilokhyetrou,তৈলক্ষেত্ৰও
futukik,ফুটুকীক
banpanitu,বানপানীতো
haraxastire,হাৰাশাস্তিৰে
belgaum,বেলগাম
lrig,লৃগ
odhikarxomuhok,অধিকাৰসমূহক
pexa,পেশা
probhubhokti,প্ৰভুভক্তি
jasminera,জেচমিনাৰা
bijeri,বিজেৰি
thaikhonotei,ঠাইখনতেই
gabhoruxokolei,গাভৰুসকলেই
siporangor,চিপৰাঙৰ
pradhikoronot,প্ৰাধিকৰণত
merkuchit,মেৰকুছিত
kromangko,ক্ৰমাংক
serepajan,চেৰেপাজান
marutir,মাৰুতিৰ
durdoxagrosto,দুৰ্দশাগ্ৰস্ত
xutrot,সূত্ৰত
thaamos,থামচ
ussosthan,উচ্চস্থান
hendimenor,হেন্দিমেনৰ
lagilone,লাগিলনে
thomoka,থমকা
xusolotar,সুচলতাৰ
mujafforpurot,মুজাফ্ফৰপুৰত
durorpora,দূৰৰপৰা
bhodromhilai,ভদ্ৰমহিলাই
dujurgostholir,দুযোর্গস্থলীৰ
karzoxursi,কাৰ্যসূৰ্চী
aaget,আগেত
rijarbhartur,ৰিজাৰ্ভাৰটোৰ
khaisila,খাইছিলা
boguwanot,বগুৱানত
goribi,গৰিবী
xongkotbure,সংকটবোৰে
xakhyorota,সাক্ষৰতা
mutayen,মোতায়েন
protijugir,প্রতিযোগীৰ
kiuri,কিউৰি
johnston,জনষ্টন
pyerulot,প্যেৰোলত
toru,তৰোঁ
modhyoprodexe,মধ্যপ্ৰদেশে
unisefor,ইউনিছেফৰ
nahortoli,নাহৰতলী
kordoigurir,কৰ্দৈগুৰীৰ
nunuxing,নুনুসিং
communistotkoi,কমিউনিষ্টতকৈ
toweinor,টোৱেইনৰ
jagibor,জাগিবৰ
silence,ছাইলেন্স
bhratrixoho,ভ্রাতৃসহ
ontorbhuktik,অন্তৰ্ভূক্তিক
dorbarote,দৰবাৰতে
upadanxomuhok,উপাদানসমূহক
bharali,ভৰালী
kornatokoloi,কৰ্ণাটকলৈ
rabbani,ৰাব্বানি
kixure,কিশোৰে
dhritiraj,ধৃতিৰাজ
protibadstholito,প্ৰতিবাদস্থলিত
lekhisilu,লেখিছিলোঁ
kobitarei,কবিতাৰেই
gorbhotei,গৰ্ভতেই
katimohiya,কাতিমহীয়া
riksasalokjonor,ৰিক্সাচালকজনৰ
ukonir,ওকণিৰ
nilehi,নিলেহি
lomil,লমিল
kolongore,কলঙৰে
bandhunotkoi,বান্ধোনতকৈ
xinghou,সিংহও
tegtut,টেগটোত
porixodxomuhoru,পৰিষদসমূহৰো
bhromonu,ভ্ৰমণো
nimontronoloi,নিমন্ত্ৰণলৈ
dhormoxomuhe,ধর্মসমূহে
haspataloloi,হাচপাতাললৈ
lefafatu,লেফাফাটো
koraute,কৰাওঁতে
xompotir,সম্পতিৰ
apartmentor,এপাৰ্টমেন্টৰ
skoropi,স্কৰপি
husorijurar,হুঁচৰিজোৰাৰ
dholongpolong,ঢলংপলং
solapothar,চলাপথাৰ
ekod,একদ
poustik,পৌষ্টিক
borphir,বৰফিৰ
kixurxokolor,কিশোৰসকলৰ
golpoxomuhot,গল্পসমূহত
sorengor,চৰেঙৰ
mirzapuror,মিৰ্জাপুৰৰ
sipahikeijonoloi,চিপাহীকেইজনলৈ
okhilexe,অখিলেশে
borsunghatot,বৰচুংঘাটত
rajneetitu,ৰাজনীতিতো
rajdruhir,ৰাজদ্ৰোহীৰ
lokhyonxomuh,লক্ষণসমূহ
gorbanondo,গৰ্বানন্দ
khandow,খাণ্ডৱ
kuri,কুৰি
xinohuwa,শিনহুৱা
shrutir,শ্ৰুতিৰ
soraikhulat,চৰাইখোলাত
gotipothtur,গতিপথটোৰ
manuhjonorhe,মানুহজনৰহে
xotyobhomar,সত্যভমাৰ
mukhaboybo,মুখাবয়ব
kuchaise,কোঁচাইছে
lukoloike,লোকলৈকে
xikhyokxokolei,শিক্ষকসকলেই
grihojilat,গৃহজিলাত
noworong,নৱৰং
xompadokxokolor,সম্পাদকসকলৰ
progotire,প্ৰগতিৰে
kolakhyetroi,কলাক্ষেত্ৰই
jhumuror,ঝুমুৰৰ
ontorbhuktikoronor,অন্তৰ্ভুক্তিকৰণৰ
ghahonire,ঘাঁহনিৰে
argentinat,আৰ্জেন্টিনাত
oxarhe,অসাৰহে
detailsot,ডিটেইলছত
wetland,ৱেটলেণ্ড
kurkuri,কুৰকুৰি
xudhonagartuwu,শোধনাগাৰটোও
kortripokhyoxomuhor,কৰ্তৃপক্ষসমূহৰ
mijuramote,মিজোৰামতে
komok,কমক
banijyor,বানিজ্যৰ
obhinetrirupe,অভিনেত্ৰীৰূপে
bosorere,বছৰেৰে
bibhi,বিভি
jonuba,জনোবা
anel,এনেল
menejarok,মেনেজাৰক
dwondot,দ্বন্দ্বত
patpara,পাটপাৰা
sotrongor,চত্ৰঙৰ
