fusharun,फुशारुन
shirpechatil,शिरपेचातील
muddampane,मुद्दामपणे
pujyashricha,पूज्यश्रीचा
charitragranthane,चरित्रग्रंथाने
karmanla,करमानला
patkarnyasarkhanch,पत्करण्यासारखंच
partnershipmadhun,पार्टनरशिपमधून
dmvs,डीएमव्हीज्
jantrichya,जंत्रीच्या
jivantpanihi,जिवंतपणीही
vinoj,विनोज
jamatach,जमातच
sambandhitaviruddha,संबंधिताविरूद्ध
karnyavishayin,करण्याविषयीं
bhashanantun,भाषणांतून
sankshiptikaranachi,संक्षिप्तीकरणाची
sunthet,सुंठेत
maela,माएला
vakshasthalancha,वक्षस्थळांचा
kalasanchit,कलासंचित
dhinkatika,ढिंकटिका
smiling,स्माइलींग
saijabaddal,साइजबद्दल
borulkar,बोरूळकर
dovalancha,डोवालांचा
tarkhebarobarach,तारखेबरोबरच
rekhatanyavar,रेखाटण्यावर
lalani,ललानी
tomatomule,टोमॅटोमुळे
pramanpurvak,प्रमाणपूर्वक
napkinmadhil,नॅपकिनमधील
dahashatvadyasarkhi,दहशतवाद्यासारखी
toyabacha,तोयबाचा
tolachya,तोळाच्या
prakriyanshi,प्रक्रियांशी
dahashadvadavaril,दहशदवादावरील
kathurani,कथुरानी
anbhigyapane,अनभिज्ञपणे
fofavanari,फोफावणारी
prakrutisthir,प्रकृतीस्थिर
vedanganche,वेदांगांचे
positions,पोझीशन्स
madhuribaddal,माधुरीबद्दल
jeelhyachi,जिल्ह्याची
rekhate,रेखते
nimittekam,निमित्तेकम
sukalyasarkhe,सुकल्यासारखे
modelingla,मॉडलिंगला
kabarstan,कबरस्तान
dubtil,डुबतील
jagadishwarala,जगदिश्वराला
ubharlyane,उभारल्याने
langerchi,लँगरची
dudhgangache,दूधगंगाचे
hasnin,हसनिन
itihaskarancha,इतिहासकरांचा
hoilsuddha,होईलसुद्धा
shikshantod,शिक्षणतोड
kuldaivatanche,कुलदैवतांचे
anasthebabat,अनास्थेबाबत
crujhe,क्रुझ
ghamejalelo,घामेजलेलो
prashnachehi,प्रश्नाचेही
garkapetha,गर्कापेठा
chalanvadhis,चलनवाढीस
vyaktirekhambabatahi,व्यक्तिरेखांबाबतही
ghotabharach,घोटभरच
tambimattu,तंबीमट्टू
firkikade,फिरकीकडे
siddhatesambandhi,सिद्धतेसंबंधी
lekhanpeksha,लेखांपेक्षा
handlercha,हँडलरचा
anjanitai,अंजनीताई
mahanagarpalikeche,महानगरपालिकेचे
gajayache,गाजायचे
yankherij,यांखेरिज
ghadalyashivay,घडल्याशिवाय
rewards,रिवॉर्डस्
vidyarthakade,विद्यार्थाकडे
avmoolanavar,अवमूलनावर
radavlela,रडवलेला
dhikkarali,धिक्कारली
keshakartanacha,केशकर्तनाचा
chenduchya,चेंडुच्या
inflammatory,इंफ्लेमेट्री
aaherrao,आहेरराव
binbahyacha,बिनबाह्याचा
langerla,लँगरला
characharavar,चराचरावर
vyaparayanparyant,व्यापाऱयांपर्यंत
kinaryakadil,किनाऱ्याकडील
parishadeveli,परिषदेवेळी
nashkatla,नाशकातला
modivirodhachi,मोदीविरोधाची
mhatrenvirodhat,म्हात्रेंविरोधात
galatinantar,गळतीनंतर
merisarkhya,मेरीसारख्या
jinkun,जिंकून
khanaryanchich,खाणाऱ्यांचीच
abhangatil,अभंगातील
pathachi,पाठाची
overspeeding,ओव्हरस्पिडिंग
asavich,असावीच
sadvipra,सद्विप्रा
jalsretanmadhye,जलस्रेतांमध्ये
appliances,अप्लायन्स
bahusankhyankade,बहुसंख्यांकडे
anuyuddhapasun,अणुयुद्धापासून
sampatraj,संपतराज
closetmadhun,क्लोसेटमधून
kakviche,काकवीचे
rashivyatirikt,राशीव्यतिरिक्त
sanchan,संचन
ekpanacha,एकपणाचा
kafapasoon,कफापासून
padyavarlya,पाड्यावरल्या
janaranjan,जनरंजन
divelaganinantar,दिवेलागणीनंतर
rokharhit,रोखरहित
terminemadheel,टर्मीनमधील
afganistanparyantche,अफगाणिस्तानपर्यंतचे
posterbajinantar,पोस्टरबाजीनंतर
already,अल्रेडी
vauxal,वॉक्सल
parlasa,पार्लस
prasisad,प्रसिसाद
bukyane,बुक्याने
kestuleelahi,केस्तुलीलाही
vastimagil,वस्तीमागील
engineeringla,इंजिनीयरींगला
chakuhallyat,चाकूहल्ल्यात
aavka,आवका
khadyotsavachi,खाद्योत्सवाची
aalelich,आलेलीच
jaindharmacha,जैनधर्माचा
mukhyamantripadacham,मुख्यमंत्रिपदाचं
malangsathi,मलंगसाठी
tasikechi,तासिकेची
gargotipasun,गारगोटीपासून
tattvachintanatmak,तत्त्वचिंतनात्मक
shalesamorchya,शाळेसमोरच्या
rastavar,रस्तावर
jodahe,जोडहे
daredevilshy,डेअरडेव्हिलशी
bhavikbhaktankadun,भाविकभक्तांकडून
paragliding,पैराग्लाइडिंग
koriyanmadhye,कोरियांमध्ये
ganakyantre,गणकयंत्रे
samarasatevishayi,समरसतेविषयी
sandhikaran,संधीकरण
mentality,मेंटॅलिटी
nishedhamule,निषेधामुळे
zimal,झिमल
spotifiver,स्पॉटिफायवर
jatanechya,जतनेच्या
aatesht,आतेष्ट
parnaricha,परनारीचा
vyaktinpeksha,व्यक्तींपेक्षा
khechanyachya,खेचण्याच्या
hatvinarach,हटविणारच
waitage,वेटेज
nettubai,नेट्टूबाई
ekmajali,एकमजली
bangaloormadhoon,बंगळूरमधून
svachchatechyababatit,स्वच्छतेच्याबाबतीत
brahmacharyala,ब्रह्मचर्याला
aathvadyanchich,आठवड्यांचीच
bavadkar,बावडकर
telababat,तेलाबाबत
borgavat,बोरगावात
ballotchi,बॅलटची
matrudatt,मातृदत्त
dakshinaafrikevar,दक्षिणआफ्रिकेवर
adhipatyakhalchya,अधिपत्याखालच्या
menuku,मेनुकू
dhatunmadhil,धातूंमधील
vruttapatrasarkhe,वृत्तपत्रासारखे
antiguamadhye,एन्टीगुआमध्ये
tarini,तरिणी
hiroinisarkhi,हिरोइनीसारखी
dhurinanche,धुरिणांचे
futavayache,फुटावयाचे
rahvilen,राहविलें
bankensmadhye,बँकेन्समध्ये
kathole,काठोळे
rohidaschya,रोहिदासच्या
kavitanna,कवितांना
lavdyacha,लवड्याचा
aarakshanapasun,आरक्षणापासून
sompur,सोमपूर
chilkhatach,चिलखतच
sudipsobat,सुदीपसोबत
nazakachya,नाझकाच्या
paryavaranasambadhit,पर्यावरणासंबधित
academyla,अकॅडमीला
nitisarkhi,नीतीसारखी
rajapuratahi,राजापुरातही
odishamadhil,ओडिशामधील
sansthatarfe,संस्थातर्फे
mitrabhanu,मित्रभानू
mangansathi,मांगांसाठी
adhikarambaddal,अधिकारांबद्दल
pakistahun,पाकिस्ताहून
shuikadoon,शुईकडून
kalavadhisathi,कालावाधीसाठी
haltanacha,हलतानाचा
solventschya,सॉल्व्हेंट्सच्या
sarvanche,सर्वांचे
panchkarmanantar,पंचकर्मानंतर
vitine,विटीने
lecturemadhyech,लेक्चरमध्येच
kitalyancha,किटल्यांचा
gunjavanet,गुंजवणेत
paij,पैज
karmaaivaji,कर्माऐवजी
sangwan,संगवान
mapche,मापचे
hydrogale,हायड्रोगेल
arjunavyatirikt,अर्जुनाव्यतिरिक्त
aayushyavant,आयुष्यवंत
khopadenchya,खोपडेंच्या
gramsevkanshi,ग्रामसेवकांशी
plainla,प्लेनला
patalancha,पटलांचा
bhandyakundyavar,भांड्याकुंड्यावर
dilipbabu,दिलीपबाबू
prakalpansobat,प्रकल्पांसोबत
nepalalasuddha,नेपाळलासुद्धा
mrudahi,मृदाही
manachidekhil,मनाचीदेखील
vhidionmadhye,व्हिडिओंमध्ये
dilgiricha,दिलगिरीचा
playofsathi,प्लेऑफसाठी
vighneshwara,विघ्नेश्वरा
kalbhairvay,काळभैरवाय
jaldharanashakti,जलधारणाशक्ती
auximeter,ऑक्सीमीटर
carborterdware,कार्बॉर्टरद्वारे
jangicha,जंगीचा
maharane,महाराने
sagarhi,सागरही
bagayatintun,बागायतींतून
kunchalahi,कुंचलाही
pohachavayachya,पोहचवायच्या
bhakaspanache,भकासपणाचे
shanivarach,शनिवारच
biraj,बिराज
sambhava,संभवा
corena,कोरेना
pravasivargatun,प्रवासीवर्गातून
palsejaval,पळसेजवळ
panalyst,पॅनॅलिस्ट
bahutulene,बहुतुलेने
bhalbhalanare,भळभळणारे
shetkarivarganchya,शेतकरीवर्गांच्या
baddhakoshthatasah,बद्धकोष्ठतासह
tapalela,टपलेला
mudrita,मुद्रिता
hastaksharacha,हस्ताक्षराचा
mallyaviruddha,मल्ल्याविरूद्ध
lonidevkar,लोणीदेवकर
cryzophania,क्रिझोफेनिया
gunanukramank,गुणानुक्रमांक
prakrutivishayichya,प्रकृतीविषयीच्या
swasthavrutt,स्वस्थवृत्त
shaharvashi,शहरवाशी
imoonchya,इमूंच्या
mediterranian,मेडिटरेनियन
anunkapa,अनुंकपा
superstarsasathi,सुपरस्टार्ससाठी
sushamanchi,सुषमांची
asalyasambandhit,असल्यासंबंधित
labadibaddal,लबाडीबद्दल
sayakalich,सायकलीच
vidheykanmule,विधेयकांमुळे
parvatiraman,पार्वतीरमण
gotrajanna,गोत्रजांना
agnisatra,अग्निसत्र
gomanara,गोमणारा
gulalapramane,गुलालाप्रमाणे
shikshanpranalit,शिक्षणप्रणालीत
surakshetracha,सूरक्षेत्राचा
samnyansambandhit,सामन्यांसंबंधित
tafficmadhun,टॅफिकमधून
nimanusar,निमानुसार
hinavnara,हिणवणारा
coldfield,कोल्डफिल्ड
bedini,बेदिनी
anyapurva,अन्यपूर्वा
khadsennich,खडसेंनीच
vishvasant,विश्वसंत
standshejarchya,स्टँडशेजारच्या
dissenting,डिसेंटिंग
baykanmadhye,बायकांमध्ये
visheshankavar,विशेषांकावर
dirghkalche,दीर्घकाळचे
danashivay,दानाशिवाय
utkalika,उत्कलिका
cartoonistne,कार्टूनिस्टने
dushmanachi,दुश्मनाची
uddheshwar,उद्धेश्वर
sunricemadhe,सनराईसमध्ये
gunasankhyevarun,गुणसंख्येवरून
reanche,रियानचे
tarmac,टारमॅक
shrimantankarita,श्रीमंतांकरिता
spelman,स्पेलमन
nandpumar,नंदपुमार
bandhlelich,बांधलेलीच
hangarimadhye,हंगरीमध्ये
bhetisuddha,भेटीसुद्धा
rohitrahi,रोहित्रही
sanadmadhye,सनदमध्ये
meghech,मेघेच
shishyavrutyanna,शिष्यवृत्त्यांना
disnemadhye,डिस्नेमध्ये
badalyamadhil,बदल्यामधील
bhajpavirodhachya,भाजपविरोधाच्या
victoriatun,व्हिक्टोरियातून
generator,जनरेटर
khanyachyababatit,खाण्याच्याबाबतीत
dhutales,धुतलेस
koryo,कोर्यो
purnimatainni,पूर्णिमाताईंनी
stedkhambanpaiki,स्टेडखांबांपैकी
galibchi,गालिबची
dukanasarkhech,दुकानासारखेच
ayodhyaprashni,अयोध्याप्रश्नी
sampalevar,संपलेवर
tharmakolpasun,थर्माकोलपासून
nanefekibabat,नाणेफेकीबाबत
mahimmadhye,माहिममध्ये
dharmbandhunna,धर्मबंधूंना
bajarsarkhi,बाजारसारखी
residencyla,रेसिडन्सीला
driipers,ड्रीपर्स
bobakhtar,बोबाख्तर
harivanshpuranat,हरिवंशपुराणात
girkarwada,गिरकरवाडा
kautilyiy,कौटिल्यीय
nachtach,नाचताच
fandasarkhe,फंडासारखे
janmamaranache,जन्ममरणाचे
jaypurkadoon,जयपूरकडून
arijita,अर्जिता
lagnasamarambhas,लग्नसमारंभास
shantatemulech,शांततेमुळेच
dharapkadichya,धरपकडीच्या
malikebarobarach,मालिकेबरोबरच
vairagyarupi,वैराग्यरूपी
paniparishadetil,पाणीपरिषदेतील
suryasiddhantat,सूर्यसिद्धान्तात
sonyachya,सोन्याच्या
gharagharansamor,घराघरांसमोर
totit,तोटीत
prayatnanmulech,प्रयत्नांमुळेचं
bukali,बुकली
khodaiche,खोदाईचे
budato,बुडतो
khagolshastratale,खगोलशास्त्रातले
jivanala,जिवनाला
sthankabaheril,स्थानकाबाहेरील
bhatcha,भटचा
cricketvishwachi,क्रिकेटविश्वाची
samityansathichya,समित्यांसाठीच्या
bhenga,भेंगा
deepkaba,दीपकाबा
puvinchya,पूवींच्या
chinchavadmadhale,चिंचवडमधले
kavadimolacha,कवडीमोलाचा
sattebajibabat,सट्टेबाजीबाबत
fugvyanmule,फुगव्यांमुळे
arifbhai,अरीफभाई
shinare,शिनारे
jevanavarunhi,जेवणावरूनही
katalshilpanchi,कातळशिल्पांची
lifeguard,लाईफगार्ड
arishtacha,अरिष्टाचा
sarvmanyataprapt,सर्वमान्यताप्राप्त
mhorakya,म्होरक्या
malharbas,मल्हारबास
dhajayala,धजायला
sahebala,साहेबाला
jivannishtheshi,जीवननिष्ठेशी
govindbagetla,गोविंदबागेतला
tumbler,टम्बलर
shikshanadhikaryachya,शिक्षणाधिकाऱ्याच्या
vyasavith,व्यासवीठ
standers,स्टॅंडर्स
girbi,गिरबी
trademarksathi,ट्रेडमार्कसाठी
tembhusathi,टेंभूसाठी
guttenshi,गुट्टेंशी
badyanvar,बड्यांवर
taltipancha,तळटीपांचा
khanderit,खंडेरीत
crustcha,क्रस्टचा
katoryat,कटोऱ्यात
govekarachya,गोवेकराच्या
dakhali,दाखली
shodhanarach,शोधणारच
ghadyalalahi,घड्याळालाही
meepane,मीपणे
parivaralach,परिवारालाच
shrishankarbhakt,श्रीशंकरभक्त
ganpatibappanech,गणपतीबाप्पानेच
karyashailivar,कार्यशैलीवर
dhariyachi,धारियाची
navnitasam,नवनीतासम
prabandhanmadhun,प्रबंधांमधून
sadasadvivekbuddhishi,सदसद्विवेकबुद्धीशी
micromous,मायक्रोमस
pakshijivanacha,पक्षिजीवनाचा
koganolimadhyech,कोगनोळीमध्येच
dhurpichya,धुरपीच्या
unchavalele,उंचावलेले
vijaydashmichya,विजयदशमीच्या
aasthapananvar,आस्थापनांवर
latkanyachya,लटकण्याच्या
mudderajyachya,मुद्देराज्याच्या
khabdari,खबदारी
asthirahi,अस्थिरही
aliba,अलीबा
yavarsha,यावर्षा
bandhusinh,बंधुसिंह
vittasansthanmarfat,वित्तसंस्थांमार्फत
dabholiparyant,दाभोलीपर्यंत
atmyache,आत्म्याचे
muladharat,मुलाधारात
kuratadanyas,कुरतडण्यास
shanimaharajanshi,शनिमहाराजांशी
natkatalach,नाटकातलाच
vadkaras,वाडकरास
kitkane,कीटकाने
muktibhoomi,मुक्तीभूमी
chinchanaka,चिंचनाका
rastyanjikche,रस्त्यानजिकचे
narkagnicha,नरकाग्नीचा
gethin,गेथिन
sangitkarachanhi,संगीतकाराचंही
kejrival,केजरीवल
chakakila,चकाकीला
sanmargache,सन्मार्गाचे
adakanyas,अडकण्यास
dimolo,डिमोलो
savarkar,सावरकर
raigadsarkha,रायगडसारखा
havelock,हावलॉक
vasahatavad,वसाहतवाद
chhatachi,छताची
moolpeshinchya,मूळपेशींच्या
hotelanmadhye,होटेलांमध्ये
aaplyalkade,आपल्यालकडे
sommar,सोम्मार
ramnagaram,रामनगरम
kaifsobat,कैफसोबत
greensathi,ग्रीनसाठी
divanichya,दिवानीच्या
svabhavachach,स्वभावाचाच
kuchkatpanacha,कुचकटपणाचा
bhatkyankadun,भटक्यांकडून
parikshanakarita,परिक्षणाकरिता
limozine,लिमोझीन
zopewell,झोपवेल
esteban,एस्तेबान
paroparine,परोपरीने
everesterne,एव्हरेस्टरने
parkinsonchya,पार्कीन्सनच्या
vavarinkache,वावरिंकाचे
banglabhashik,बांगलाभाषिक
hakalele,हाकलेले
majaychi,माजायची
solent,सोलेंट
yokach,योकच
agarvudchi,अगरवूडची
donapeksha,दोनापेक्षा
rokoprakarani,रोकोप्रकरणी
panchkothi,पंचकोठी
bokadamadhye,बोकडामध्ये
udoyag,उदोयग
kshetravaril,क्षेत्रावरील
lagnaghadi,लग्नघडी
majhyanave,माझ्यानावे
gandhakanchya,गंधकांच्या
deshadeshanchya,देशादेशांच्या
direect,डायरेक्ट
kelelyat,केलेल्यात
chapatisobat,चपातीसोबत
ginila,गिनीला
hotelmalkanshi,हॉटेलमालकांशी
jasnani,जसनानी
vardhmananchi,वर्धमानांची
papantoon,पापांतून
bhilaji,भिलाजी
vavoshi,वावोशी
chaknooran,चकनूरन
sunavalyababat,सुनावल्याबाबत
kremarne,क्रेमरने
simanchal,सिमांचल
paoloni,पाओलोनी
orbadalyamule,ओरबडल्यामुळे
nafekhari,नफेखारी
uchkatato,उचकटतो
mujaryakadun,मुजऱ्याकडून
mitrapakshanchya,मित्रपक्षांच्या
selenavar,सेलेनावर
hetuncha,हेतुंचा
dhempo,धेम्पो
dearness,डिअरनेस
yathasatya,यथासत्य
yusheng,युशेंग
songavatil,सोनगावातील
bahumasamvet,बहुमासमवेत
tikeparyant,टिकेपर्यंत
aashramshalanmadhale,आश्रमशाळांमधले
parprantiyanchich,परप्रांतियांचीच
bharasarkhya,भारासारख्या
punyatalyasarkhe,पुण्यातल्यासारखे
istraelmadhil,इस्त्राएलमधील
tempohi,टेंपोही
sapadatoch,सापडतोच
keypax,किपॅक्स
mulanantar,मुलानंतर
panchkosi,पंचकोसी
kathesarkhach,कथेसारखाच
sohanmadhil,सोहंमधील
chorichori,चोरीचोरी
komun,कोमुन
talukalyatil,तालुकल्यातील
mukhyadhyapakapadache,मुख्याध्यापकपदाचे
baliraje,बळीराजे
yansarkhyanchi,यांसारख्यांची
sawarkoot,सावरकूट
bolatase,बोलतसे
dhabya,धाब्या
savatinni,सवतींनी
daridyane,दारिद्याने
gruhmantripadachya,गृहमंत्रिपदाच्या
kimatinne,किमतींने
kupechya,कुपेच्या
asthairyahi,अस्थैर्यही
jethalia,जेठलिया
aajranjali,आजरांजली
pakshapracharasathi,पक्षप्रचारासाठी
gappasatranmadhe,गप्पासत्रांमधे
kalebabatit,कलेबाबतीत
bhoyaredarmyan,भोयरेदरम्यान
kamakshi,कामाक्षी
bebiaatyavar,बेबीआत्यावर
trichandi,त्रिचंडी
toya,तोया
shambhuparv,शंभूपर्व
fatyapur,फत्यापूर
ganeshpurechi,गणेशपुरेची
marammat,मरम्मत
pilavanukisah,पिळवणुकीसह
federationsathi,फेडरेशनसाठी
coltrain,कोल्त्रेन
aayushyachich,आयुष्याचीच
nilsandhya,नीलसंध्या
posterbazi,पोस्टरबाजी
tambakhudware,तंबाखूद्वारे
avasthemadhyech,अवस्थेमध्येच
panipuravathamantri,पाणीपुरवठामंत्री
olyavalya,ओल्यावल्या
survyanna,सुर्व्यांना
moolyachi,मूल्याची
vistarkansah,विस्तारकांसह
spardhasaravasathi,स्पर्धासरावासाठी
alambyachya,अळंब्याच्या
skrabpramane,स्क्रबप्रमाणे
velocitychya,वेलॉसिटीच्या
nucless,न्यूक्लेस
odhanyamule,ओढण्यामुळे
shivpratimela,शिवप्रतिमेला
rahibaicha,राहीबाईचा
abkadai,अबकडई
galatil,गळातील
merku,मेर्कू
zaparde,झापर्डे
shanivarpramanech,शनिवारप्रमाणेच
vagnyamagcha,वागण्यामागचा
mukhyamantracha,मुख्यमंत्राचा
palmarinha,पाल्मारिन्हा
kavitetlya,कवितेतल्या
bhelpuriche,भेळपुरीचे
parinamasahit,परिणामासहित
zootopia,झुटोपिया
bhalatyachya,भलत्याच्या
dianingwar,डायनिंगवर
istche,इस्टचे
dolhyabhavati,डोळ्याभवती
puneesh,पुनीश
sthankambaherchya,स्थानकांबाहेरच्या
kauthadi,कौठडी
adyakrantiguru,आद्यक्रांतिगुरु
milakoon,मिळकून
samajarosh,समाजरोष
tondavalyavarun,तोंडावळ्यावरून
vishvavarhi,विश्वावरही
untavadi,उंटवडी
dhagavarach,ढगावरच
chimurmadhun,चिमूरमधून
balamadhil,बाळामधील
lakshmankund,लक्ष्मणकुंड
purvajant,पूर्वजांत
pakshiyanchi,पक्षियांची
chalishinantarche,चाळिशीनंतरचे
savatachya,सवताच्या
kogoshima,कोगोशिमा
sisodiyanni,सिसोदीयांनी
ilchela,इल्चेला
nukos,नुकोस
janmalyapasun,जन्मल्यापासुन
kayadepaddhati,कायदेपद्धति
vdjunkey,व्हिडीजंक
dhvanipradushanatun,ध्वनिप्रदूषणातून
aaplyamagcha,आपल्यामागचा
chilhar,चिल्हर
yoganidreche,योगनिद्रेचे
ahitkarak,अहितकारक
trangadyat,त्रांगड्यात
vatalyamulech,वाटल्यामुळेच
kshobhala,क्षोभाला
gorenchahi,गोरेंचाही
dragonsobat,ड्रॅगनसोबत
prashikshanapurata,प्रशिक्षणापुरता
chimottanasana,चिमोत्तानासन
networkchehi,नेटवर्कचेही
bedepada,बेडेपाडा
maryadache,मर्यादाचे
apghatmadhye,अपघातमध्ये
fittingch,फिटिंगच
vardhmanachi,वर्धमानाची
sanshodheeka,संशोधिका
kavayitrinchi,कवयित्रींची
duravaleli,दुरावलेली
cii,सीआयआय
trichit,त्रिचीत
karnikala,कर्णिकला
utaranvarchya,उतारांवरच्या
konarknagar,कोनार्कनगर
ladgaonkar,लाडगावकर
sainyachach,सैन्याचाच
kdmtche,केडीएमटीचे
rangole,रांगोळे
febrick,फेब्रिक
porashi,पोराशी
nandgavmadhun,नंदगावमधून
buddhivantanchya,बुद्धिवंतांच्या
antidiabetic,अँटिडायबेटिक
noparking,नोपार्किंग
atyacharanchihi,अत्याचारांचीही
pandito,पंडितो
momos,मोमोस
baishakhi,बैशाखी
gabhyapashi,गाभ्यापाशी
peparsandarbhat,पेपरसंदर्भात
chachpadale,चाचपडले
swasthasathi,स्वास्थासाठी
samarveera,समरवीरा
uchchayogache,उच्चायोगाचे
dvigunitach,द्विगुणीतच
jayakumaranna,जयकुमारांना
prapojche,प्रपोजचे
futiratavadyanchahi,फुटीरतावाद्यांचाही
bolisuddha,बोलीसुद्धा
chauhananvar,चौहानांवर
haptyavaril,हप्त्यावरील
pirsahebanche,पीरसाहेबांचे
arnalkaranchi,अर्नाळकरांची
thapyat,ठप्यात
natannihi,नटांनीही
adhigrahanasaha,अधिग्रहणासह
panyanantar,पाण्यानंतर
aajgadila,आजघडीला
nyayshastratil,न्यायशास्त्रातील
halyanchi,हाल्यांची
hangers,हॅंगर्स
karyasthalavaril,कार्यस्थळावरील
nalyantunahi,नाल्यांतूनही
ragavalyache,रागावल्याचे
daivatancha,दैवतांचा
nagarsevkankadehi,नगरसेवकांकडेही
shishirotsavacha,शिशिरोत्सवाचा
indomarengo,इंडोमॅरेंगो
afaratfarprakarani,अफरातफरप्रकरणी
thips,थिप्स
khodsalpanachehi,खोडसाळपणाचेही
malharravanna,मल्हाररावांना
jikte,जिकते
jehovah,जेहोवा
premiyugulane,प्रेमीयुगुलाने
raudrarupadhoran,रौद्ररुपधोरण
mahamastak,महामस्तक
aatursanyas,आतुरसन्यास
kolesnikovne,कोलेसनिकोव्हने
shodhanaryanpaiki,शोधणाऱ्यांपैकी
vibhaktata,विभक्तता
devyonitil,देवयोनीतील
parichchhedavarun,परिच्छेदावरून
bharatababatchi,भारताबाबतची
surekhshi,सुरेखशी
chitrapsrushtisaha,चित्रपसृष्टीसह
visarjanghatache,विसर्जनघाटाचे
malprabhakadun,मलप्रभाकडून
mamitala,मामिटाला
ervine,अर्व्हाइन
sanrakshakakadun,संरक्षकाकडून
aacharala,आचाराला
sthankabarobarach,स्थानकाबरोबरच
padtalanidekhil,पडताळणीदेखील
hardvearparyant,हार्डवेअरपर्यंत
mothahi,मोठही
godache,गोदाचे
vharayatimule,व्हरायटीमुळे
netyakadunahi,नेत्याकडूनही
tungbhagdrechya,तुंगभगद्रेच्या
gazalgatha,गझलगाथा
vidhyechya,विध्येच्या
viharanmadhye,विहारांमध्ये
shakyancha,शाक्यांचा
rankund,रणकुंड
mathatil,मठातील
suvarnapadakat,सुवर्णपदकात
kautukachehi,कौतुकाचेही
pabhakar,पभाकर
shrisaisachcharitavar,श्रीसाईसच्चरितावर
bandeko,बंदेको
cellfish,सेलफिश
magistic,मॅजिस्टीक
modherache,मोढेराचे
pimpalacha,पिंपळाचा
stagemadhun,स्टेजमधून
eprilamaharashtra,एप्रिलमहाराष्ट्र
missionkadoon,मिशनकडून
kshobhay,क्षोभय
nirmalsinh,निर्मलसिंह
rudrasukta,रुद्रसूक्त
itihasvedacha,इतिहासवेदाचा
usavikas,उसविकास
phirojasheth,फिरोजशेठ
notansobatch,नोटांसोबतच
kityekinche,कित्येकींचे
shivjayantisathi,शिवजयंतीसाठी
sarkaradoon,सरकारडून
navantil,नावांतील
alpativra,अल्पतीव्र
khase,खासे
murkhapramane,मुर्खाप्रमाणे
shavke,शावके
kurusova,कुरुसोवा
diacorach,डायकोरच
hatyaprakarani,हत्याप्रकरणी
amitjinsobat,अमितजींसोबत
ramdasabhainna,रामदासभाईंना
savalatinvirodhat,सवलतींविरोधात
tajub,ताजुब
vastushilpancha,वास्तूशिल्पांचा
haverfordwestchya,हेवरफोर्डवेस्टच्या
vicharalyache,विचारल्याचे
mandalinprati,मंडळींप्रती
cardboardver,कार्डबोर्डवर
chhagandas,छगनदास
omumamua,ओमुमामुआ
magnyanvirodhat,मागण्यांविरोधात
ghalmelichi,घालमेलीची
vartmanpatrantle,वर्तमानपत्रांतले
khandedekhil,खांदेदेखील
natevaikannaa,नातेवाईकांना
sabhagruhatdekhil,सभागृहातदेखील
captionmule,कॅप्शनमुळे
bhingadware,भिंगाद्वारे
addachalakanna,अड्डाचालकांना
gazapattimadhye,गाझापट्टीमध्ये
holwellche,हॉलवेलचे
iimc,आयआयएमसी
tudavilyashivay,तुडविल्याशिवाय
naincha,नैनचा
talmajalyaparyant,तळमजल्यापर्यंत
guhesamorcha,गुहेसमोरचा
namardachi,नामर्दाची
salmanbaddal,सलमानबद्दल
betsla,बेट्सला
vahalelya,वाहलेल्या
divalkhoritach,दिवाळखोरीतच
nimbar,निंबार
mishab,मिशाब
oesophagus,इसोफेगस
anityat,अनित्यात
kumarbharati,कुमारभारती
lutaruni,लुटारूनी
kramakachya,क्रमाकाच्या
namdaranchi,नामदारांची
saitkadoon,साइटकडून
vajpainjinche,वाजपेइंजींचे
hattiholli,हट्टीहोळ्ळी
pavanshethi,पवनशेठी
farmavlya,फर्मावल्या
utaravanyababat,उतरवण्याबाबत
picturemule,पिक्चरमुळे
drushyasamor,दृश्यासमोर
ashog,अशोग
ksharane,क्षाराने
uso,यूएसओ
sadegavmadhye,साडेगावमध्ये
karyakramansathichya,कार्यक्रमांसाठीच्या
ghantagadichalakankadun,घंटागाडीचालकांकडून
footballpatuchi,फुटबॉलपटूची
khataki,खटकी
apratyakshat,अप्रत्यक्षात
jallauddin,जल्लाउद्दिन
padge,पाडगे
kapote,कपोटे
midvinarahi,मिळविणाराही
umerkhed,उमेरखेड
madhmabhagi,मध्मभागी
raynier,रेनियर
monto,मोंटो
bhavkitilach,भावकीतीलच
dharanadhikaramadhye,धारणाधिकारामध्ये
kumarparvata,कुमारपर्वता
deshpramachya,देशप्रमाच्या
midkatipramane,मिळकतीप्रमाणे
thopavane,थोपवणे
pochavilya,पोचविल्या
unhatach,उन्हातच
samiyachya,सामियाच्या
dhyen,ध्येन
pathanala,पठाणाला
surakshesi,सुरक्षेसी
jigav,जिगाव
kapatatahi,कपाटातही
sharirachyach,शरीराच्याच
brushes,ब्रशेस
karbharavarche,कारभारावरचे
tyadivasat,त्यादिवसात
pelicisar,पेलिसिसर
singapuracha,सिंगापुराचा
isharapune,इशारापुणे
crisis,क्रायसिस
bhetatayat,भेटतायत
mosho,मोशो
oxygeneration,ऑक्सीजनरेशन
kroojarcha,क्रूजरचा
nehakadun,नेहाकडून
sarbuldjung,सरबुलदजंग
notabadalichi,नोटाबदलीची
murtipujecha,मूर्तिपूजेचा
nijamuddit,निजामुद्दीत
sutrala,सूत्राला
processed,प्रोसेस्ड्
